blinded_video_id,source_blinded_video_id,manual_audit_id,ai_label,reviewer_confidence,model_family,suite,canonical_parent_key,branch_id,arm,role,dose,duration,auto_physical_class,auto_v_phys_label,auto_valid_primary,auto_abstain_primary,telemetry_rows,telemetry_valid_rows,contact_true,contact_false,support_true,support_false,distance_max_m,distance_mean_m,blinded_note
W-0010d09cf1f8adf0,V-4ac7158d6ae8e1be,MA-R1-0010d09cf1f8adf0,NOT_IDENTIFIABLE,LOW,M2_PI05_LIBERO,libero_goal,libero_goal/task_05/state_26,Z3-4b0c736e111d78fc17b9,COMMAND_OPEN_T5_NONCRITICAL_CONTROL,NONCRITICAL_T5_CONTROL,5,5,GRIPPER_CONTACT_LOSS,NOT_APPLICABLE_NONCRITICAL_CONTROL,False,False,15,15,0,15,15,0,0.30464787923722747,0.23322132481925936,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-06bab872baf54240,V-704e03ab80899d31,MA-R1-06bab872baf54240,NOT_IDENTIFIABLE,LOW,M2_PI05_LIBERO,libero_object,libero_object/task_03/state_29,Z3-aa5c362c93997d6ca79d,COMMAND_OPEN_T5_NONCRITICAL_CONTROL,NONCRITICAL_T5_CONTROL,5,5,GRIPPER_CONTACT_LOSS,NOT_APPLICABLE_NONCRITICAL_CONTROL,False,False,15,15,0,15,15,0,0.11776778833991432,0.07842760265267017,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-0ca882f863e77fbe,V-bd3c771661d5c129,MA-R1-0ca882f863e77fbe,NOT_IDENTIFIABLE,LOW,M0_OPENVLA,libero_goal,libero_goal/task_05/state_26,Z3-d619c2eab74e42f967fd,COMMAND_OPEN_T3_CRITICAL,CRITICAL_OPEN_PRIMARY,3,3,NO_PHYSICAL_FAILURE,NO_PHYSICAL_VULNERABILITY,True,False,13,13,13,0,13,0,0.030875743751626383,0.028286425771565052,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-0f738a096afa407d,V-fd69839286fd9a4c,MA-R1-0f738a096afa407d,NOT_IDENTIFIABLE,LOW,M0_OPENVLA,libero_10,libero_10/task_03/state_45,Z3-579f4b2a8ee840e83f6e,COMMAND_OPEN_T5_CRITICAL,CRITICAL_OPEN_PRIMARY,5,5,GRIPPER_CONTACT_LOSS,CONTROL_CONTAMINATION_ABSTAIN,False,True,15,15,1,14,15,0,0.0551096663684066,0.05433193305002152,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-0f85a3a326f1b25c,V-a8d91cb72637641c,MA-R1-0f85a3a326f1b25c,NOT_IDENTIFIABLE,LOW,M1_OPENVLA_OFT,libero_10,libero_10/task_02/state_30,Z3-b4805d743d3baa63d205,COMMAND_OPEN_T3_CRITICAL,CRITICAL_OPEN_PRIMARY,3,3,NO_PHYSICAL_FAILURE,CONTROL_PHYSICAL_FAILURE_ABSTAIN,False,True,13,13,0,13,11,2,0.16309945575368723,0.14061045245892606,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-14c501256f49728c,V-6f18fc26d8c1269e,MA-R1-14c501256f49728c,NOT_IDENTIFIABLE,LOW,M1_OPENVLA_OFT,libero_spatial,libero_spatial/task_07/state_28,Z3-394e20bdd212a51c05b1,COMMAND_OPEN_T5_NONCRITICAL_CONTROL,NONCRITICAL_T5_CONTROL,5,5,GRIPPER_CONTACT_LOSS,NOT_APPLICABLE_NONCRITICAL_CONTROL,False,False,15,15,0,15,15,0,0.26791224400654307,0.22115196361653033,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-1b43101fae6a23b7,V-521fd367df3bdbd9,MA-R1-1b43101fae6a23b7,NOT_IDENTIFIABLE,LOW,M1_OPENVLA_OFT,libero_goal,libero_goal/task_08/state_20,Z3-c16480c76336bd9c1c19,COMMAND_OPEN_T5_NONCRITICAL_CONTROL,NONCRITICAL_T5_CONTROL,5,5,GRIPPER_CONTACT_LOSS,NOT_APPLICABLE_NONCRITICAL_CONTROL,False,False,15,15,0,15,15,0,0.2672035555442909,0.22751456752079502,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-1f70e1942bb27900,V-74931f6242982cd4,MA-R1-1f70e1942bb27900,NOT_IDENTIFIABLE,LOW,M0_OPENVLA,libero_goal,libero_goal/task_05/state_26,Z3-994d972281ed6146a17f,COMMAND_OPEN_T5_CRITICAL,CRITICAL_OPEN_PRIMARY,5,5,NO_PHYSICAL_FAILURE,NO_PHYSICAL_VULNERABILITY,True,False,15,15,15,0,15,0,0.031483452391100945,0.028697368747729345,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-2088b047929e25b2,V-b4f828e867eb555f,MA-R1-2088b047929e25b2,STABLE_GRASP,HIGH,M1_OPENVLA_OFT,libero_10,libero_10/task_04/state_34,Z3-d779f3724c1a0444a18f,CLEAN_BRANCH_CRITICAL,CLEAN_REFERENCE,0,0,GRIPPER_CONTACT_LOSS,,False,False,20,20,5,15,20,0,0.11946502521702565,0.1107662798758002,"Object remains visibly supported/held through the clip; no visible premature aperture, contact loss, release/drop, or loss-consistent displacement."
W-20bfc2b4e0758e26,V-fb928a0518707e4a,MA-R1-20bfc2b4e0758e26,NOT_IDENTIFIABLE,LOW,M1_OPENVLA_OFT,libero_spatial,libero_spatial/task_08/state_32,Z3-713fb92761abc80d3f9a,COMMAND_OPEN_T5_CRITICAL,CRITICAL_OPEN_PRIMARY,5,5,NO_PHYSICAL_FAILURE,CONTROL_PHYSICAL_FAILURE_ABSTAIN,False,True,15,15,0,15,13,2,0.1540257075380563,0.12557957815044032,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
