run_name,run_status,test_positive_event_no_emit_rate,test_negative_episode_false_emit_rate,test_primary_positive_emit_recall,test_supplementary_positive_emit_recall,test_primary_positive_episode_count,test_supplementary_positive_episode_count,test_event_f1,test_false_trigger_episode_rate,test_no_emit_rate
M1_in_domain_libero_spatial_seed1,COMPLETED,0.012048192771084338,0.8823529411764706,0.9397590361445783,0.0,83,0,0.8666666666666667,0.19,0.03
M1_in_domain_libero_spatial_seed2,COMPLETED,0.0,0.8235294117647058,0.9518072289156626,0.0,83,0,0.8777777777777778,0.18,0.03
M1_in_domain_libero_spatial_seed3,COMPLETED,0.0,0.8235294117647058,0.9518072289156626,0.0,83,0,0.8777777777777778,0.18,0.03
M1_in_domain_libero_goal_seed1,COMPLETED,0.0625,0.21428571428571427,0.8958333333333334,0.0,48,0,0.8431372549019608,0.12222222222222222,0.4
M1_in_domain_libero_goal_seed2,COMPLETED,0.10416666666666667,0.16666666666666666,0.8333333333333334,0.0,48,0,0.816326530612245,0.1111111111111111,0.4444444444444444
M1_in_domain_libero_goal_seed3,COMPLETED,0.020833333333333332,0.21428571428571427,0.9375,0.0,48,0,0.8653846153846154,0.12222222222222222,0.37777777777777777
M1_in_domain_libero_10_seed1,COMPLETED,0.17073170731707318,0.02040816326530612,0.0,0.8048780487804879,0,41,0.868421052631579,0.022222222222222223,0.6111111111111112
M1_in_domain_libero_10_seed2,COMPLETED,0.024390243902439025,0.16326530612244897,0.0,0.9512195121951219,0,41,0.8764044943820225,0.1,0.4666666666666667
M1_in_domain_libero_10_seed3,COMPLETED,0.07317073170731707,0.061224489795918366,0.0,0.9024390243902439,0,41,0.9024390243902439,0.044444444444444446,0.5444444444444444
M2_leave_one_suite_out_test_libero_spatial_seed1,COMPLETED,0.4457831325301205,0.4117647058823529,0.4819277108433735,0.0,83,0,0.5882352941176471,0.13,0.47
M2_leave_one_suite_out_test_libero_spatial_seed2,COMPLETED,0.46987951807228917,0.47058823529411764,0.5060240963855421,0.0,83,0,0.6222222222222222,0.1,0.48
M2_leave_one_suite_out_test_libero_spatial_seed3,COMPLETED,0.3132530120481928,0.29411764705882354,0.5542168674698795,0.0,83,0,0.6344827586206897,0.16,0.38
M2_leave_one_suite_out_test_libero_spatial_seed4,COMPLETED,0.5421686746987951,0.29411764705882354,0.4578313253012048,0.0,83,0,0.6031746031746031,0.05,0.57
M2_leave_one_suite_out_test_libero_spatial_seed5,COMPLETED,0.3373493975903614,0.35294117647058826,0.6385542168674698,0.0,83,0,0.7361111111111112,0.08,0.39
M2_leave_one_suite_out_test_libero_goal_seed1,COMPLETED,0.020833333333333332,0.23809523809523808,0.9375,0.0,48,0,0.8571428571428572,0.13333333333333333,0.36666666666666664
M2_leave_one_suite_out_test_libero_goal_seed2,COMPLETED,0.0,0.21428571428571427,0.9166666666666666,0.0,48,0,0.838095238095238,0.14444444444444443,0.36666666666666664
M2_leave_one_suite_out_test_libero_goal_seed3,COMPLETED,0.020833333333333332,0.19047619047619047,0.9375,0.0,48,0,0.8737864077669902,0.1111111111111111,0.3888888888888889
M2_leave_one_suite_out_test_libero_goal_seed4,COMPLETED,0.0,0.21428571428571427,0.9375,0.0,48,0,0.8571428571428572,0.13333333333333333,0.36666666666666664
M2_leave_one_suite_out_test_libero_goal_seed5,COMPLETED,0.0,0.21428571428571427,0.9166666666666666,0.0,48,0,0.838095238095238,0.14444444444444443,0.36666666666666664
M2_leave_one_suite_out_test_libero_10_seed1,COMPLETED,0.36585365853658536,0.2653061224489796,0.0,0.6097560975609756,0,41,0.625,0.15555555555555556,0.5666666666666667
M2_leave_one_suite_out_test_libero_10_seed2,COMPLETED,0.21951219512195122,0.5306122448979592,0.0,0.6585365853658537,0,41,0.5454545454545454,0.34444444444444444,0.35555555555555557
M2_leave_one_suite_out_test_libero_10_seed3,COMPLETED,0.1951219512195122,0.42857142857142855,0.0,0.6585365853658537,0,41,0.5684210526315789,0.3,0.4
M2_leave_one_suite_out_test_libero_10_seed4,COMPLETED,0.2682926829268293,0.3673469387755102,0.0,0.6585365853658537,0,41,0.6067415730337078,0.23333333333333334,0.4666666666666667
M2_leave_one_suite_out_test_libero_10_seed5,COMPLETED,0.17073170731707318,0.5918367346938775,0.0,0.6585365853658537,0,41,0.5192307692307693,0.4,0.3
