task_key,state_id,seed,job_id,filename,source_path,full_sha256,row_count,status
alphabet_soup,0,0,500000,trace_alphabet_soup_s0_w0_10_s20d_clean_seed0_job500000.csv,/data/liuyu/outputs/stageb_d2_fresh_clean_20260615/trace_alphabet_soup_s0_w0_10_s20d_clean_seed0_job500000.csv,ec6e74c1c83ff0094fb7616816878bfaca809b73efd2bd2f4ca6d81bc63ab754,280,collected
alphabet_soup,3,0,500000,trace_alphabet_soup_s3_w0_10_s20d_clean_seed0_job500000.csv,/data/liuyu/outputs/stageb_d2_fresh_clean_20260615/trace_alphabet_soup_s3_w0_10_s20d_clean_seed0_job500000.csv,68f8cf7155853b55276a482cf3e1f580c3f2378cd4eacebffcf1aa0132df67aa,136,collected
alphabet_soup,4,0,500000,trace_alphabet_soup_s4_w0_10_s20d_clean_seed0_job500000.csv,/data/liuyu/outputs/stageb_d2_fresh_clean_20260615/trace_alphabet_soup_s4_w0_10_s20d_clean_seed0_job500000.csv,e994a18e95ea988ff46a9a90b0639f2f9af466bac26ad30407df387ea8ebb4e2,280,collected
alphabet_soup,5,0,500000,trace_alphabet_soup_s5_w0_10_s20d_clean_seed0_job500000.csv,/data/liuyu/outputs/stageb_d2_fresh_clean_20260615/trace_alphabet_soup_s5_w0_10_s20d_clean_seed0_job500000.csv,bbad0afdd0b23ebea8a58d1a8efad318db5c85286a466e6b97d6c1feb8795a51,178,collected
alphabet_soup,6,0,500000,trace_alphabet_soup_s6_w0_10_s20d_clean_seed0_job500000.csv,/data/liuyu/outputs/stageb_d2_fresh_clean_20260615/trace_alphabet_soup_s6_w0_10_s20d_clean_seed0_job500000.csv,79a6ff9cbd575f46be60686e11b11c1d63613898194fa8bd2b50cb563986fee3,159,collected
alphabet_soup,7,0,500000,trace_alphabet_soup_s7_w0_10_s20d_clean_seed0_job500000.csv,/data/liuyu/outputs/stageb_d2_fresh_clean_20260615/trace_alphabet_soup_s7_w0_10_s20d_clean_seed0_job500000.csv,d423d4c329c900054e2ea499a1dd2c5522eb46d6d4894a668198437604e0f854,192,collected
alphabet_soup,8,0,540200,trace_alphabet_soup_s8_w0_10_s20d_clean_seed0_job540200.csv,/data/liuyu/outputs/stageb_d2_fresh_clean_20260615/trace_alphabet_soup_s8_w0_10_s20d_clean_seed0_job540200.csv,f66874d54eae09e4a395fa381e7f863cd71815bd16b2452e52ae582740deeb3b,280,collected
alphabet_soup,9,0,540200,trace_alphabet_soup_s9_w0_10_s20d_clean_seed0_job540200.csv,/data/liuyu/outputs/stageb_d2_fresh_clean_20260615/trace_alphabet_soup_s9_w0_10_s20d_clean_seed0_job540200.csv,382c233e7506c20fb3e591409b88f0f881c6f4b0a79089c40e3d32a560529a62,164,collected
alphabet_soup,11,0,540200,trace_alphabet_soup_s11_w0_10_s20d_clean_seed0_job540200.csv,/data/liuyu/outputs/stageb_d2_fresh_clean_20260615/trace_alphabet_soup_s11_w0_10_s20d_clean_seed0_job540200.csv,23330a842c8bcd8b074f5f00612a4d900a63d740173a487a190ada86036ec654,165,collected
alphabet_soup,23,0,540200,trace_alphabet_soup_s23_w0_10_s20d_clean_seed0_job540200.csv,/data/liuyu/outputs/stageb_d2_fresh_clean_20260615/trace_alphabet_soup_s23_w0_10_s20d_clean_seed0_job540200.csv,5d66bd6e88b105d9cd0543a382f92efb7b7c53577fce7fc47fd1d83eb977ff0b,280,collected
