task_key,state_id,seed,job_id
alphabet_soup,0,0,500000
alphabet_soup,3,0,500001
alphabet_soup,4,0,500002
alphabet_soup,5,0,500003
alphabet_soup,6,0,500004
alphabet_soup,7,0,500005
alphabet_soup,8,0,500006
alphabet_soup,9,0,500007
alphabet_soup,11,0,500008
alphabet_soup,23,0,500009
alphabet_soup,26,0,500010
alphabet_soup,28,0,500011
bbq_sauce,1,0,500012
bbq_sauce,4,0,500013
bbq_sauce,5,0,500014
bbq_sauce,6,0,500015
bbq_sauce,7,0,500016
bbq_sauce,8,0,500017
bbq_sauce,9,0,500018
butter,0,0,500019
butter,3,0,500020
butter,4,0,500021
butter,5,0,500022
butter,6,0,500023
butter,7,0,500024
butter,8,0,500025
butter,9,0,500026
chocolate_pudding,0,0,500027
chocolate_pudding,3,0,500028
chocolate_pudding,4,0,500029
chocolate_pudding,5,0,500030
chocolate_pudding,6,0,500031
chocolate_pudding,7,0,500032
chocolate_pudding,8,0,500033
chocolate_pudding,9,0,500034
chocolate_pudding,16,0,500035
cream_cheese,0,0,500036
cream_cheese,3,0,500037
cream_cheese,4,0,500038
cream_cheese,5,0,500039
cream_cheese,6,0,500040
cream_cheese,7,0,500041
cream_cheese,8,0,500042
cream_cheese,9,0,500043
ketchup,0,0,500044
ketchup,1,0,500045
ketchup,4,0,500046
ketchup,5,0,500047
ketchup,6,0,500048
ketchup,7,0,500049
ketchup,8,0,500050
ketchup,9,0,500051
milk,0,0,500052
milk,3,0,500053
milk,4,0,500054
milk,5,0,500055
milk,6,0,500056
milk,7,0,500057
milk,8,0,500058
milk,9,0,500059
milk,47,0,500060
orange_juice,0,0,500061
orange_juice,3,0,500062
orange_juice,4,0,500063
orange_juice,5,0,500064
orange_juice,6,0,500065
orange_juice,7,0,500066
orange_juice,8,0,500067
orange_juice,9,0,500068
orange_juice,33,0,500069
salad_dressing,0,0,500070
salad_dressing,3,0,500071
salad_dressing,4,0,500072
salad_dressing,5,0,500073
salad_dressing,6,0,500074
salad_dressing,7,0,500075
salad_dressing,8,0,500076
salad_dressing,9,0,500077
salad_dressing,20,0,500078
salad_dressing,22,0,500079
salad_dressing,35,0,500080
salad_dressing,36,0,500081
salad_dressing,47,0,500082
tomato_sauce,0,0,500083
tomato_sauce,3,0,500084
tomato_sauce,4,0,500085
tomato_sauce,5,0,500086
tomato_sauce,6,0,500087
tomato_sauce,7,0,500088
tomato_sauce,8,0,500089
tomato_sauce,9,0,500090
tomato_sauce,21,0,500091
tomato_sauce,27,0,500092
tomato_sauce,30,0,500093
tomato_sauce,37,0,500094
tomato_sauce,43,0,500095
tomato_sauce,44,0,500096
tomato_sauce,48,0,500097
