trace_id,task_key,state_id,candidate_step,candidate_index,is_teacher_p,teacher_p_criteria_pass,distance_to_teacher_p,total_score,raw_crossing_bonus,close_streak_bonus,close_onset_qpos_bonus,eef_deceleration_bonus,qpos_ready_bonus,eef_speed_now,eef_speed_prev,eef_deceleration_delta,close_streak,raw_crossing,close_onset,qpos,time_since_prev_close,time_since_last_open,selector_abstain_reason,selector_emittable,eef_to_obj_distance_at_close,grasp_privilege_local_valid,max_cumulative_vertical_dz,max_sustained_vertical_frames,eef_attachment_consistent,tp_abstain_reason
trace_alphabet_soup_s0_w0_10_s20d_clean_seed0_job500000,alphabet_soup,0,50,0,0,0,,3.3,1.5,1.0,0.5,0.0,0.3,0.01158,0.011781,-0.000201,1,1,1,-0.01606053,,1,,1,0.041571,1,0.001742,0,0,no_sustained_vertical_lift_type=no_sustained_motion
trace_alphabet_soup_s0_w0_10_s20d_clean_seed0_job500000,alphabet_soup,0,67,1,0,0,,3.3,1.5,1.0,0.5,0.0,0.3,0.015752,0.020361,-0.004609,1,1,1,-4.257e-05,17,1,,1,0.140342,1,0.0,0,1,eef_not_near_object_dist=0.1403
trace_alphabet_soup_s0_w0_10_s20d_clean_seed0_job500000,alphabet_soup,0,70,2,0,0,,3.8,1.5,1.0,0.5,0.5,0.3,0.009188,0.009891,-0.000703,1,1,1,-4.823e-05,3,1,,1,0.149486,1,0.0,0,1,eef_not_near_object_dist=0.1495
trace_alphabet_soup_s0_w0_10_s20d_clean_seed0_job500000,alphabet_soup,0,81,3,0,0,,3.8,1.5,1.0,0.5,0.5,0.3,0.007477,0.013954,-0.006477,1,1,1,-0.00010969,11,1,,1,0.20853,1,0.0,0,1,eef_not_near_object_dist=0.2085
trace_alphabet_soup_s0_w0_10_s20d_clean_seed0_job500000,alphabet_soup,0,92,4,0,0,,3.3,1.5,1.0,0.5,0.0,0.3,0.019814,0.012626,0.007188,1,1,1,-0.00016107,11,1,,1,0.19896,1,0.0,0,1,eef_not_near_object_dist=0.1990
trace_alphabet_soup_s0_w0_10_s20d_clean_seed0_job500000,alphabet_soup,0,127,5,0,0,,3.3,1.5,1.0,0.5,0.0,0.3,0.004418,0.004347,7.1e-05,1,1,1,-0.00082884,35,1,,1,0.069104,1,0.004878,10,1,no_sustained_vertical_lift_type=sustained_horizontal_transport
trace_alphabet_soup_s0_w0_10_s20d_clean_seed0_job500000,alphabet_soup,0,133,6,0,0,,3.8,1.5,1.0,0.5,0.5,0.3,0.004477,0.00464,-0.000163,1,1,1,-0.01106906,6,1,,1,0.065599,1,0.001959,2,0,no_sustained_vertical_lift_type=sustained_horizontal_transport
trace_alphabet_soup_s0_w0_10_s20d_clean_seed0_job500000,alphabet_soup,0,138,7,0,0,,3.3,1.5,1.0,0.5,0.0,0.3,0.005671,0.004694,0.000977,1,1,1,-0.01468184,5,1,,1,0.061319,1,0.000716,2,0,no_sustained_vertical_lift_type=sustained_horizontal_transport
trace_alphabet_soup_s0_w0_10_s20d_clean_seed0_job500000,alphabet_soup,0,145,8,0,0,,3.3,1.5,1.0,0.5,0.0,0.3,0.010836,0.013585,-0.002749,1,1,1,-0.00027225,7,1,,1,0.097292,1,0.0,0,1,eef_not_near_object_dist=0.0973
trace_alphabet_soup_s0_w0_10_s20d_clean_seed0_job500000,alphabet_soup,0,149,9,0,0,,3.3,1.5,1.0,0.5,0.0,0.3,0.009342,0.007931,0.001411,1,1,1,7.79e-06,4,1,,1,0.104977,1,0.0,0,1,eef_not_near_object_dist=0.1050
