step,model_inference_us,detector_update_us,env_step_us
0,2468111,24,22456
1,1092676,21,23072
2,1100326,50,22899
3,1092696,22,22614
4,1078272,20,21324
5,1080398,23,22227
6,1078086,20,21690
7,1079630,20,21949
8,1094616,23,22230
9,1087121,56,22684
10,1095763,21,21881
11,1076380,20,21996
12,1076910,22,21553
13,1103735,23,23068
14,1100554,21,22250
15,1081023,22,21844
16,1093407,21,21825
17,1083008,21,21274
18,1089535,22,21735
19,1081517,21,21810
20,1081232,49,21990
21,1083546,23,21675
22,1088098,22,22230
23,1088363,21,22236
24,1077961,23,21413
25,1083512,21,21522
26,1078520,21,21306
27,1078094,21,21638
28,1086694,21,22040
29,1081780,21,21354
30,1076413,20,21293
31,1099146,22,22616
32,1077806,32,21505
33,1079630,21,22123
34,1076766,21,21171
35,1076626,20,21098
36,1088551,20,21546
37,1078379,22,21411
38,1081430,20,22192
39,1084678,55,22516
40,1088518,35,21616
41,1087554,22,21380
42,1081704,22,21657
43,1080920,19,21647
44,1076620,21,21367
45,1075653,20,21520
46,1078896,20,21955
47,1075598,18,21259
48,1074477,20,21884
49,1088615,2740,22484
50,1107346,23,22508
51,1087184,21,21537
52,1084762,20,21704
53,1084420,19,22860
54,1083183,21,22619
55,1079969,20,22442
56,1088234,20,22761
57,1077552,18,22896
58,1080636,20,23357
59,1089839,23,24023
60,1085513,20,22343
61,1096594,21,22744
62,1084356,20,22129
63,1082497,2727,22701
64,1091754,22,23183
65,1082594,20,21550
66,1087728,2766,21914
67,1083040,18,21618
68,1086919,32,22669
69,1084147,21,21733
70,1083218,19,21103
71,1081653,20,21730
72,1087442,22,21737
73,1084426,21,22224
74,1084307,21,22071
75,1082240,48,21815
76,1089046,28,21331
77,1081039,21,21282
78,1106410,3656,22224
79,1083135,23,21721
80,1082990,18,20866
81,1099186,22,22417
82,1087806,20,21370
83,1092623,21,22001
84,1078351,32,21646
85,1078901,31,21664
86,1089493,21,22809
87,1081055,21,21296
88,1080487,3621,22176
89,1080602,21,21516
90,1075705,20,21290
91,1089860,21,21611
92,1077355,19,21127
93,1081112,3655,21909
94,1084139,22,22112
95,1081158,18,21491
96,1102402,4166,22440
97,1088120,18,21075
98,1086959,22,22415
99,1086378,29,21500
100,1077954,21,21063
101,1100398,21,21527
102,1081480,20,21246
103,1081633,20,21885
104,1081257,23,21881
105,1083750,20,21501
106,1104948,22,22488
107,1083082,20,21370
108,1078254,22,21824
109,1092610,22,22280
110,1082728,21,21353
111,1100718,34,21378
112,1103124,22,21734
113,1084022,20,21754
114,1084938,21,21650
115,1103639,22,23220
116,1097432,20,22904
117,1082506,19,22177
118,1086847,4674,21977
119,1083182,21,21693
120,1094189,21,22201
121,1093129,4808,22005
122,1084343,19,21649
123,1087501,20,22201
124,1106956,22,24030
125,1099506,50,25683
126,1099236,22,24895
127,1091283,23,23005
128,1090362,23,23484
129,1083879,24,22958
130,1082886,20,23264
131,1093862,21,23644
132,1077841,19,24038
133,1107855,22,25537
134,1082331,20,23018
135,1081843,19,22513
136,1086483,20,23185
137,1081840,20,23818
138,1089873,21,24759
139,1083165,21,24141
140,1086008,19,24348
141,1099113,20,24397
142,1085272,20,24478
143,1100142,21,25426
144,1083052,20,24835
145,1083303,19,24106
146,1084225,21,23278
147,1085631,22,23639
148,1102480,25,23503
149,1079935,21,22834
150,1076868,20,23070
151,1084916,21,22648
152,1080906,21,22621
153,1088833,22,23588
154,1087649,21,23481
155,1092624,20,23070
156,1091949,22,23730
157,1083529,19,22261
158,1096764,21,22968
159,1080546,19,22498
160,1076269,21,22566
161,1082921,21,23077
162,1079158,20,22472
163,1088536,21,23368
164,1080603,21,22200
165,1077261,18,22411
166,1082558,21,22418
167,1079373,20,22498
168,1094664,22,24671
169,1088805,20,22999
170,1107674,30,23661
171,1088748,21,23161
172,1079288,20,22920
173,1099594,24,23913
174,1081675,18,22444
175,1078348,22,22856
176,1078948,20,22408
177,1086660,47,22561
178,1094742,22,23435
179,1105734,25,24352
180,1082019,19,22379
181,1082177,20,22676
182,1079053,18,22444
183,1091032,24,23417
184,1083188,18,22286
185,1084917,19,22957
186,1087052,20,22700
187,1082115,17,22352
188,1103429,20,23363
189,1079839,19,23140
190,1082991,20,22778
191,1082209,20,22996
192,1083777,20,22655
193,1094239,20,23424
194,1082547,20,22926
195,1082082,18,22400
196,1085159,21,23055
197,1082969,19,22955
198,1082967,21,23160
199,1081563,22,23980
200,1087943,21,22934
201,1084761,20,22925
202,1085823,19,22738
203,1083387,20,22821
204,1084278,20,22937
205,1081012,19,22636
206,1099820,32,24189
207,1084586,21,23538
208,1095790,20,24545
209,1082573,20,22981
210,1083713,20,23113
211,1090561,20,23396
212,1082899,18,22952
213,1097189,22,24464
214,1094982,21,23380
215,1085838,20,24536
216,1105866,22,23975
