step,action_hash_pre,action_hash_post,action_identical,env_action_hash,obs_hash
0,73238944984146347e7511144112abcc26ee29ae18d049b67cd4dc0c7b7e3a63,73238944984146347e7511144112abcc26ee29ae18d049b67cd4dc0c7b7e3a63,1,b12bc12eadcdc1ec49b14f77cc1404171eedb2fe5b2a6c597c919094f8b0e899,26934d1a80f280a2a5c1bf2ff0f726a853fd80e63d20c5e0421e17b2414d5c76
1,73238944984146347e7511144112abcc26ee29ae18d049b67cd4dc0c7b7e3a63,73238944984146347e7511144112abcc26ee29ae18d049b67cd4dc0c7b7e3a63,1,b12bc12eadcdc1ec49b14f77cc1404171eedb2fe5b2a6c597c919094f8b0e899,06fa644a1d2984ff520aceda1c98bd31cb956cbc8cbd66ca7961a2f0ca3ce097
2,7e11bdefae01ef60bf3936d6648a89e010418cc10355afdb6511d7df5ba2964a,7e11bdefae01ef60bf3936d6648a89e010418cc10355afdb6511d7df5ba2964a,1,31e9f1b937584a2a9a0689e3fdefd1d59c2fcac03d60218aaadf9585949710fc,2a78c7050103ca060de9c3232ca34134f0287ddb4ed2c83f369964b952c8b445
3,8d51e1fee3895346dd92230e29ba96adb42ee4e829820202eef9b87c90682d62,8d51e1fee3895346dd92230e29ba96adb42ee4e829820202eef9b87c90682d62,1,9ba8aea6f5361aa16d0850a2e50f1e2242538fb1fe4b29e3d9494e69b5519350,680296fa82a1bb623ce5be313671d0070e0e97a9730b7566bfc5f7920f7b8978
4,375d09330a3674896a7e728bb1b9a9db89dcb9462135d66e39603baec405d977,375d09330a3674896a7e728bb1b9a9db89dcb9462135d66e39603baec405d977,1,5d1d6b60b5b30ab30e5d803bd7eb4a30032f57bd7ffeb2894ece3e1d070fbc3d,6ca9cc468e6ddae4edb34e7e36afc9f9245bb88c8612265b7d54cecd70a4e036
5,018a5233a8ddbec1bb310d81536a00614be78e310768f3b149e9789243d92327,018a5233a8ddbec1bb310d81536a00614be78e310768f3b149e9789243d92327,1,4a90da071e7b66c603580bf766e8a396112394b95994c62054799273364f2e8c,6dd132f107abd772f0f070d7b976f83297d9cdbf8d76628ff7daf8b3b693474a
6,73238944984146347e7511144112abcc26ee29ae18d049b67cd4dc0c7b7e3a63,73238944984146347e7511144112abcc26ee29ae18d049b67cd4dc0c7b7e3a63,1,b12bc12eadcdc1ec49b14f77cc1404171eedb2fe5b2a6c597c919094f8b0e899,7cd38657c7b1b7af32b1946cefe82b378256f67b47d27513317ff874df4b40b0
7,e33e92405fb537b10315e6bdc97b7a29bbb663a0164d59f2b80ceb6c61181597,e33e92405fb537b10315e6bdc97b7a29bbb663a0164d59f2b80ceb6c61181597,1,607b779cda2cddf1eaf967cfcaf977523ef92e583f811586daba24a40ee70fde,d4dafbd62903fe52ccbd81f51fd0c5905b251cede09f1aae1c5417647559fa60
8,83ea3887ce100f11be08ac49185ee422a081e64e45e4c03fdac0be65dfa4257b,83ea3887ce100f11be08ac49185ee422a081e64e45e4c03fdac0be65dfa4257b,1,34ffb68dd7e64af830eb418fb211ab805e22ba4557177103886fbc984d715e3b,3f2ea5aeef90af340cea4ae580addcb0a8c7a12bbcf6746255f3f4211bca1ef0
9,83ea3887ce100f11be08ac49185ee422a081e64e45e4c03fdac0be65dfa4257b,83ea3887ce100f11be08ac49185ee422a081e64e45e4c03fdac0be65dfa4257b,1,34ffb68dd7e64af830eb418fb211ab805e22ba4557177103886fbc984d715e3b,0cadfa69a0ea5362fd2c9e5949c6e5abddc37e4bacfd341eebe679e9c5c82db4
