task,parent_state,template,seed,count,is_duplicate
0,23,P0,42,1,False
0,24,P0,42,1,False
0,25,P0,42,1,False
0,26,P0,42,1,False
0,27,P0,42,1,False
1,23,P0,42,1,False
1,24,P0,42,1,False
1,25,P0,42,1,False
1,26,P0,42,1,False
1,27,P0,42,1,False
2,23,P0,42,1,False
2,24,P0,42,1,False
2,25,P0,42,1,False
2,26,P0,42,1,False
2,27,P0,42,1,False
3,23,P0,42,1,False
3,24,P0,42,1,False
3,25,P0,42,1,False
3,26,P0,42,1,False
3,27,P0,42,1,False
4,23,P0,42,1,False
4,24,P0,42,1,False
4,25,P0,42,1,False
4,26,P0,42,1,False
4,27,P0,42,1,False
5,23,P0,42,1,False
5,24,P0,42,1,False
5,25,P0,42,1,False
5,26,P0,42,1,False
5,27,P0,42,1,False
6,23,P0,42,1,False
6,24,P0,42,1,False
6,25,P0,42,1,False
6,26,P0,42,1,False
6,27,P0,42,1,False
7,23,P0,42,1,False
7,24,P0,42,1,False
7,25,P0,42,1,False
7,26,P0,42,1,False
7,27,P0,42,1,False
8,23,P0,42,1,False
8,24,P0,42,1,False
8,25,P0,42,1,False
8,26,P0,42,1,False
8,27,P0,42,1,False
9,23,P0,42,1,False
9,24,P0,42,1,False
9,25,P0,42,1,False
9,26,P0,42,1,False
9,27,P0,42,1,False
0,10,P0,42,1,False
0,11,P0,42,1,False
0,12,P0,42,1,False
0,13,P0,42,1,False
0,14,P0,42,1,False
0,15,P0,42,1,False
0,16,P0,42,1,False
0,17,P0,42,1,False
0,18,P0,42,1,False
0,19,P0,42,1,False
0,20,P0,42,1,False
0,21,P0,42,1,False
0,22,P0,42,1,False
0,3,P0,42,1,False
0,4,P0,42,1,False
0,5,P0,42,1,False
0,6,P0,42,1,False
0,7,P0,42,1,False
0,8,P0,42,1,False
0,9,P0,42,1,False
1,10,P0,42,1,False
1,11,P0,42,1,False
1,12,P0,42,1,False
1,13,P0,42,1,False
1,14,P0,42,1,False
1,15,P0,42,1,False
1,16,P0,42,1,False
1,17,P0,42,1,False
1,18,P0,42,1,False
1,19,P0,42,1,False
1,20,P0,42,1,False
1,21,P0,42,1,False
1,22,P0,42,1,False
1,3,P0,42,1,False
1,4,P0,42,1,False
1,5,P0,42,1,False
1,6,P0,42,1,False
1,7,P0,42,1,False
1,8,P0,42,1,False
1,9,P0,42,1,False
2,10,P0,42,1,False
2,11,P0,42,1,False
2,12,P0,42,1,False
2,13,P0,42,1,False
2,14,P0,42,1,False
2,15,P0,42,1,False
2,16,P0,42,1,False
2,17,P0,42,1,False
2,18,P0,42,1,False
2,19,P0,42,1,False
2,20,P0,42,1,False
2,21,P0,42,1,False
2,22,P0,42,1,False
2,3,P0,42,1,False
2,4,P0,42,1,False
2,5,P0,42,1,False
2,6,P0,42,1,False
2,7,P0,42,1,False
2,8,P0,42,1,False
2,9,P0,42,1,False
3,10,P0,42,1,False
3,11,P0,42,1,False
3,12,P0,42,1,False
3,13,P0,42,1,False
3,14,P0,42,1,False
3,15,P0,42,1,False
3,16,P0,42,1,False
3,17,P0,42,1,False
3,18,P0,42,1,False
3,19,P0,42,1,False
3,20,P0,42,1,False
3,21,P0,42,1,False
3,22,P0,42,1,False
3,3,P0,42,1,False
3,4,P0,42,1,False
3,5,P0,42,1,False
3,6,P0,42,1,False
3,7,P0,42,1,False
3,8,P0,42,1,False
3,9,P0,42,1,False
4,10,P0,42,1,False
4,11,P0,42,1,False
4,12,P0,42,1,False
4,13,P0,42,1,False
4,14,P0,42,1,False
4,15,P0,42,1,False
4,16,P0,42,1,False
4,17,P0,42,1,False
4,18,P0,42,1,False
4,19,P0,42,1,False
4,20,P0,42,1,False
4,21,P0,42,1,False
4,22,P0,42,1,False
4,3,P0,42,1,False
4,4,P0,42,1,False
4,5,P0,42,1,False
4,6,P0,42,1,False
4,7,P0,42,1,False
4,8,P0,42,1,False
4,9,P0,42,1,False
5,10,P0,42,1,False
5,11,P0,42,1,False
5,12,P0,42,1,False
