task_idx,parent_state,perturbation_template,base_seed,perturbation_type,pool
0,3,0,42,hard_negative_neighbor,train
0,4,1,42,hard_negative_neighbor,train
0,3,2,42,hard_negative_neighbor,train
0,4,3,42,hard_negative_neighbor,train
0,3,4,42,hard_negative_neighbor,train
0,4,5,42,hard_negative_neighbor,train
0,3,6,42,hard_negative_neighbor,train
0,4,7,42,hard_negative_neighbor,train
0,3,0,42,hard_positive_boundary,train
0,4,1,42,hard_positive_boundary,train
0,3,2,42,hard_positive_boundary,train
0,4,3,42,hard_positive_boundary,train
0,3,4,42,generic_clean,train
0,4,5,42,generic_clean,train
0,3,6,42,generic_clean,train
0,4,7,42,generic_clean,train
1,5,0,42,hard_negative_neighbor,train
1,6,1,42,hard_negative_neighbor,train
1,5,2,42,hard_negative_neighbor,train
1,6,3,42,hard_negative_neighbor,train
1,5,4,42,hard_negative_neighbor,train
1,6,5,42,hard_negative_neighbor,train
1,5,6,42,hard_negative_neighbor,train
1,6,7,42,hard_negative_neighbor,train
1,5,0,42,hard_positive_boundary,train
1,6,1,42,hard_positive_boundary,train
1,5,2,42,hard_positive_boundary,train
1,6,3,42,hard_positive_boundary,train
1,5,4,42,generic_clean,train
1,6,5,42,generic_clean,train
1,5,6,42,generic_clean,train
1,6,7,42,generic_clean,train
2,7,0,42,hard_negative_neighbor,train
2,8,1,42,hard_negative_neighbor,train
2,7,2,42,hard_negative_neighbor,train
2,8,3,42,hard_negative_neighbor,train
2,7,4,42,hard_negative_neighbor,train
2,8,5,42,hard_negative_neighbor,train
2,7,6,42,hard_negative_neighbor,train
2,8,7,42,hard_negative_neighbor,train
2,7,0,42,hard_positive_boundary,train
2,8,1,42,hard_positive_boundary,train
2,7,2,42,hard_positive_boundary,train
2,8,3,42,hard_positive_boundary,train
2,7,4,42,generic_clean,train
2,8,5,42,generic_clean,train
2,7,6,42,generic_clean,train
2,8,7,42,generic_clean,train
3,9,0,42,hard_negative_neighbor,train
3,10,1,42,hard_negative_neighbor,train
3,9,2,42,hard_negative_neighbor,train
3,10,3,42,hard_negative_neighbor,train
3,9,4,42,hard_negative_neighbor,train
3,10,5,42,hard_negative_neighbor,train
3,9,6,42,hard_negative_neighbor,train
3,10,7,42,hard_negative_neighbor,train
3,9,0,42,hard_positive_boundary,train
3,10,1,42,hard_positive_boundary,train
3,9,2,42,hard_positive_boundary,train
3,10,3,42,hard_positive_boundary,train
3,9,4,42,generic_clean,train
3,10,5,42,generic_clean,train
3,9,6,42,generic_clean,train
3,10,7,42,generic_clean,train
4,11,0,42,hard_negative_neighbor,train
4,12,1,42,hard_negative_neighbor,train
4,11,2,42,hard_negative_neighbor,train
4,12,3,42,hard_negative_neighbor,train
4,11,4,42,hard_negative_neighbor,train
4,12,5,42,hard_negative_neighbor,train
4,11,6,42,hard_negative_neighbor,train
4,12,7,42,hard_negative_neighbor,train
4,11,0,42,hard_positive_boundary,train
4,12,1,42,hard_positive_boundary,train
4,11,2,42,hard_positive_boundary,train
4,12,3,42,hard_positive_boundary,train
4,11,4,42,generic_clean,train
4,12,5,42,generic_clean,train
4,11,6,42,generic_clean,train
4,12,7,42,generic_clean,train
5,13,0,42,hard_negative_neighbor,train
5,14,1,42,hard_negative_neighbor,train
5,13,2,42,hard_negative_neighbor,train
5,14,3,42,hard_negative_neighbor,train
5,13,4,42,hard_negative_neighbor,train
5,14,5,42,hard_negative_neighbor,train
5,13,6,42,hard_negative_neighbor,train
5,14,7,42,hard_negative_neighbor,train
5,13,0,42,hard_positive_boundary,train
5,14,1,42,hard_positive_boundary,train
5,13,2,42,hard_positive_boundary,train
5,14,3,42,hard_positive_boundary,train
5,13,4,42,generic_clean,train
5,14,5,42,generic_clean,train
5,13,6,42,generic_clean,train
5,14,7,42,generic_clean,train
6,15,0,42,hard_negative_neighbor,train
6,16,1,42,hard_negative_neighbor,train
6,15,2,42,hard_negative_neighbor,train
6,16,3,42,hard_negative_neighbor,train
6,15,4,42,hard_negative_neighbor,train
6,16,5,42,hard_negative_neighbor,train
6,15,6,42,hard_negative_neighbor,train
6,16,7,42,hard_negative_neighbor,train
6,15,0,42,hard_positive_boundary,train
6,16,1,42,hard_positive_boundary,train
6,15,2,42,hard_positive_boundary,train
6,16,3,42,hard_positive_boundary,train
6,15,4,42,generic_clean,train
6,16,5,42,generic_clean,train
6,15,6,42,generic_clean,train
6,16,7,42,generic_clean,train
7,17,0,42,hard_negative_neighbor,train
7,18,1,42,hard_negative_neighbor,train
7,17,2,42,hard_negative_neighbor,train
7,18,3,42,hard_negative_neighbor,train
7,17,4,42,hard_negative_neighbor,train
7,18,5,42,hard_negative_neighbor,train
7,17,6,42,hard_negative_neighbor,train
7,18,7,42,hard_negative_neighbor,train
7,17,0,42,hard_positive_boundary,train
7,18,1,42,hard_positive_boundary,train
7,17,2,42,hard_positive_boundary,train
7,18,3,42,hard_positive_boundary,train
7,17,4,42,generic_clean,train
7,18,5,42,generic_clean,train
7,17,6,42,generic_clean,train
7,18,7,42,generic_clean,train
8,19,0,42,hard_negative_neighbor,train
8,20,1,42,hard_negative_neighbor,train
8,19,2,42,hard_negative_neighbor,train
8,20,3,42,hard_negative_neighbor,train
8,19,4,42,hard_negative_neighbor,train
8,20,5,42,hard_negative_neighbor,train
8,19,6,42,hard_negative_neighbor,train
8,20,7,42,hard_negative_neighbor,train
8,19,0,42,hard_positive_boundary,train
8,20,1,42,hard_positive_boundary,train
8,19,2,42,hard_positive_boundary,train
8,20,3,42,hard_positive_boundary,train
8,19,4,42,generic_clean,train
8,20,5,42,generic_clean,train
8,19,6,42,generic_clean,train
8,20,7,42,generic_clean,train
9,21,0,42,hard_negative_neighbor,train
9,22,1,42,hard_negative_neighbor,train
9,21,2,42,hard_negative_neighbor,train
9,22,3,42,hard_negative_neighbor,train
9,21,4,42,hard_negative_neighbor,train
9,22,5,42,hard_negative_neighbor,train
9,21,6,42,hard_negative_neighbor,train
9,22,7,42,hard_negative_neighbor,train
9,21,0,42,hard_positive_boundary,train
9,22,1,42,hard_positive_boundary,train
9,21,2,42,hard_positive_boundary,train
9,22,3,42,hard_positive_boundary,train
9,21,4,42,generic_clean,train
9,22,5,42,generic_clean,train
9,21,6,42,generic_clean,train
9,22,7,42,generic_clean,train
