task_idx,parent_state,perturbation_template,base_seed,perturbation_type,pool
0,3,0,44,reserve,train
0,3,1,44,reserve,train
0,3,2,44,reserve,train
0,3,3,44,reserve,train
0,3,4,44,reserve,train
0,3,5,44,reserve,train
0,3,6,44,reserve,train
0,3,7,44,reserve,train
1,4,0,44,reserve,train
1,4,1,44,reserve,train
1,4,2,44,reserve,train
1,4,3,44,reserve,train
1,4,4,44,reserve,train
1,4,5,44,reserve,train
1,4,6,44,reserve,train
1,4,7,44,reserve,train
2,5,0,44,reserve,train
2,5,1,44,reserve,train
2,5,2,44,reserve,train
2,5,3,44,reserve,train
2,5,4,44,reserve,train
2,5,5,44,reserve,train
2,5,6,44,reserve,train
2,5,7,44,reserve,train
3,6,0,44,reserve,train
3,6,1,44,reserve,train
3,6,2,44,reserve,train
3,6,3,44,reserve,train
3,6,4,44,reserve,train
3,6,5,44,reserve,train
3,6,6,44,reserve,train
3,6,7,44,reserve,train
4,7,0,44,reserve,train
4,7,1,44,reserve,train
4,7,2,44,reserve,train
4,7,3,44,reserve,train
4,7,4,44,reserve,train
4,7,5,44,reserve,train
4,7,6,44,reserve,train
4,7,7,44,reserve,train
5,8,0,44,reserve,train
5,8,1,44,reserve,train
5,8,2,44,reserve,train
5,8,3,44,reserve,train
5,8,4,44,reserve,train
5,8,5,44,reserve,train
5,8,6,44,reserve,train
5,8,7,44,reserve,train
6,9,0,44,reserve,train
6,9,1,44,reserve,train
6,9,2,44,reserve,train
6,9,3,44,reserve,train
6,9,4,44,reserve,train
6,9,5,44,reserve,train
6,9,6,44,reserve,train
6,9,7,44,reserve,train
7,10,0,44,reserve,train
7,10,1,44,reserve,train
7,10,2,44,reserve,train
7,10,3,44,reserve,train
7,10,4,44,reserve,train
7,10,5,44,reserve,train
7,10,6,44,reserve,train
7,10,7,44,reserve,train
8,11,0,44,reserve,train
8,11,1,44,reserve,train
8,11,2,44,reserve,train
8,11,3,44,reserve,train
8,11,4,44,reserve,train
8,11,5,44,reserve,train
8,11,6,44,reserve,train
8,11,7,44,reserve,train
9,12,0,44,reserve,train
9,12,1,44,reserve,train
9,12,2,44,reserve,train
9,12,3,44,reserve,train
9,12,4,44,reserve,train
9,12,5,44,reserve,train
9,12,6,44,reserve,train
9,12,7,44,reserve,train
