trace_path,task_key,state_id
e2_v4_traces/trace_butter_s2_w0_10_s20d_clean_seed0_job250005.csv,butter,2
e2_v4_traces/trace_butter_s1_w0_10_s20d_clean_seed0_job250004.csv,butter,1
e2_v4_traces/trace_cream_cheese_s2_w0_10_s20d_clean_seed0_job250013.csv,cream_cheese,2
e2_v4_traces/trace_cream_cheese_s1_w0_10_s20d_clean_seed0_job230765.csv,cream_cheese,1
e2_v4_traces/trace_bbq_sauce_s0_w0_10_s20d_clean_seed0_job250001.csv,bbq_sauce,0
e2_v4_traces/trace_bbq_sauce_s2_w0_10_s20d_clean_seed0_job250002.csv,bbq_sauce,2
e2_v4_traces/trace_chocolate_pudding_s2_w0_10_s20d_clean_seed0_job250007.csv,chocolate_pudding,2
e2_v4_traces/trace_chocolate_pudding_s1_w0_10_s20d_clean_seed0_job250006.csv,chocolate_pudding,1
e2_v4_traces/trace_ketchup_s2_w0_10_s20d_clean_seed0_job250008.csv,ketchup,2
e2_v4_traces/trace_ketchup_s3_w0_10_s20d_clean_seed0_job250009.csv,ketchup,3
e2_v4_traces/trace_alphabet_soup_s2_w0_10_s20d_clean_seed0_job250016.csv,alphabet_soup,2
e2_v4_traces/trace_alphabet_soup_s1_w0_10_s20d_clean_seed0_job230571.csv,alphabet_soup,1
