task_key,state_id,trace_id,reason
alphabet_soup,39,trace_alphabet_soup_s39_w0_10_s20d_clean_seed0_job330030,D1b_val
alphabet_soup,41,trace_alphabet_soup_s41_w0_10_s20d_clean_seed0_job330032,D1b_val
alphabet_soup,42,trace_alphabet_soup_s42_w0_10_s20d_clean_seed0_job330033,D1b_val
alphabet_soup,43,trace_alphabet_soup_s43_w0_10_s20d_clean_seed0_job330034,D1b_test
alphabet_soup,47,trace_alphabet_soup_s47_w0_10_s20d_clean_seed0_job330038,D1b_test
alphabet_soup,49,trace_alphabet_soup_s49_w0_10_s20d_clean_seed0_job330040,D1b_test
bbq_sauce,39,trace_bbq_sauce_s39_w0_10_s20d_clean_seed0_job330070,D1b_val
bbq_sauce,43,trace_bbq_sauce_s43_w0_10_s20d_clean_seed0_job330074,D1b_val
bbq_sauce,45,trace_bbq_sauce_s45_w0_10_s20d_clean_seed0_job330076,D1b_test
bbq_sauce,46,trace_bbq_sauce_s46_w0_10_s20d_clean_seed0_job330077,D1b_test
butter,40,trace_butter_s40_w0_10_s20d_clean_seed0_job330111,D1b_val
butter,41,trace_butter_s41_w0_10_s20d_clean_seed0_job330112,D1b_val
butter,42,trace_butter_s42_w0_10_s20d_clean_seed0_job330113,D1b_test
butter,46,trace_butter_s46_w0_10_s20d_clean_seed0_job330117,D1b_test
butter,48,trace_butter_s48_w0_10_s20d_clean_seed0_job330119,D1b_test
chocolate_pudding,46,trace_chocolate_pudding_s46_w0_10_s20d_clean_seed0_job330157,D1b_val
chocolate_pudding,49,trace_chocolate_pudding_s49_w0_10_s20d_clean_seed0_job330160,D1b_test
cream_cheese,33,trace_cream_cheese_s33_w0_10_s20d_clean_seed0_job330184,D1b_val
cream_cheese,36,trace_cream_cheese_s36_w0_10_s20d_clean_seed0_job330187,D1b_val
cream_cheese,38,trace_cream_cheese_s38_w0_10_s20d_clean_seed0_job330189,D1b_val
cream_cheese,41,trace_cream_cheese_s41_w0_10_s20d_clean_seed0_job330192,D1b_test
cream_cheese,43,trace_cream_cheese_s43_w0_10_s20d_clean_seed0_job330194,D1b_test
ketchup,38,trace_ketchup_s38_w0_10_s20d_clean_seed0_job330229,D1b_val
ketchup,41,trace_ketchup_s41_w0_10_s20d_clean_seed0_job330232,D1b_val
ketchup,43,trace_ketchup_s43_w0_10_s20d_clean_seed0_job330234,D1b_val
ketchup,45,trace_ketchup_s45_w0_10_s20d_clean_seed0_job330236,D1b_test
ketchup,47,trace_ketchup_s47_w0_10_s20d_clean_seed0_job330238,D1b_test
ketchup,48,trace_ketchup_s48_w0_10_s20d_clean_seed0_job330239,D1b_test
ketchup,49,trace_ketchup_s49_w0_10_s20d_clean_seed0_job330240,D1b_test
milk,39,trace_milk_s39_w0_10_s20d_clean_seed0_job330270,D1b_val
milk,45,trace_milk_s45_w0_10_s20d_clean_seed0_job330276,D1b_test
orange_juice,37,trace_orange_juice_s37_w0_10_s20d_clean_seed0_job330308,D1b_val
orange_juice,40,trace_orange_juice_s40_w0_10_s20d_clean_seed0_job330311,D1b_val
orange_juice,43,trace_orange_juice_s43_w0_10_s20d_clean_seed0_job330314,D1b_test
salad_dressing,31,trace_salad_dressing_s31_w0_10_s20d_clean_seed0_job330342,D1b_val
salad_dressing,38,trace_salad_dressing_s38_w0_10_s20d_clean_seed0_job330349,D1b_test
salad_dressing,40,trace_salad_dressing_s40_w0_10_s20d_clean_seed0_job330351,D1b_test
