review_id,task_instruction,review_clip_path,review_clip_sha256,review_frame_strip_path,review_frame_strip_sha256,contact_label,reason_code,reviewer,review_timestamp,optional_short_note
M001,pick up the black bowl from table center and place it on the plate,/llm_jzm/dty_user/openvla_attack_d1_screening_clean_20260818/D1R_CONTINUATION/T1D1M0_REVIEW_PACKET/M001/review_clip.mp4,0bcd2ca72b00a9b39b765b9499cdda03022aa7f3f9430ab9030eb5eaec34d5ed,/llm_jzm/dty_user/openvla_attack_d1_screening_clean_20260818/D1R_CONTINUATION/T1D1M0_REVIEW_PACKET/M001/review_frame_strip.png,f0afd02e5f720542edf4ca4d1087977730f642141115fb54f71d161c8af9df07,,,,,
M002,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,/llm_jzm/dty_user/openvla_attack_d1_screening_clean_20260818/D1R_CONTINUATION/T1D1M0_REVIEW_PACKET/M002/review_clip.mp4,98e6cd3d57ad75d987c3d8e40cc41c5d0b6a4568b97eba9d2be0e085c38bf112,/llm_jzm/dty_user/openvla_attack_d1_screening_clean_20260818/D1R_CONTINUATION/T1D1M0_REVIEW_PACKET/M002/review_frame_strip.png,9e6b3eb17f62ec15ad5bb5134e68518470a3ac5eb9c421f06cad0e5ed20d4726,,,,,
M003,put the wine bottle on top of the cabinet,/llm_jzm/dty_user/openvla_attack_d1_screening_clean_20260818/D1R_CONTINUATION/T1D1M0_REVIEW_PACKET/M003/review_clip.mp4,3b03aa8e669d98d936b9a912b141cc039f97751deb95cdfccdb6f30036144b9c,/llm_jzm/dty_user/openvla_attack_d1_screening_clean_20260818/D1R_CONTINUATION/T1D1M0_REVIEW_PACKET/M003/review_frame_strip.png,d797f8ca0b85ec787618a0574c0e692b35f71b825d144a4586c8faea150efa70,,,,,
M004,pick up the ketchup and place it in the basket,/llm_jzm/dty_user/openvla_attack_d1_screening_clean_20260818/D1R_CONTINUATION/T1D1M0_REVIEW_PACKET/M004/review_clip.mp4,5b801a4a8925ad47b9b8b1b3b95c243f4e10865da868a7b8e0036efc7d76fe5f,/llm_jzm/dty_user/openvla_attack_d1_screening_clean_20260818/D1R_CONTINUATION/T1D1M0_REVIEW_PACKET/M004/review_frame_strip.png,233c1ba513355f8e57cc9a4cc615ac3003b399abb342c19193b8be00f83a0fe7,,,,,
M005,pick up the bbq sauce and place it in the basket,/llm_jzm/dty_user/openvla_attack_d1_screening_clean_20260818/D1R_CONTINUATION/T1D1M0_REVIEW_PACKET/M005/review_clip.mp4,38921f7ca86da2918c70754160534b10f02e391d260322a6f528996efa420b82,/llm_jzm/dty_user/openvla_attack_d1_screening_clean_20260818/D1R_CONTINUATION/T1D1M0_REVIEW_PACKET/M005/review_frame_strip.png,eef597fa533bfa88b81c68af93596dae0463d2b2ac2fb20f9ea755f1b516eeea,,,,,
M006,pick up the black bowl next to the ramekin and place it on the plate,/llm_jzm/dty_user/openvla_attack_d1_screening_clean_20260818/D1R_CONTINUATION/T1D1M0_REVIEW_PACKET/M006/review_clip.mp4,e167cf976fbd052cbd244625b21d389d74f1d8162b9dff4cac024a7205c251fd,/llm_jzm/dty_user/openvla_attack_d1_screening_clean_20260818/D1R_CONTINUATION/T1D1M0_REVIEW_PACKET/M006/review_frame_strip.png,ecc525a5b05fc32c0ef81f1799d208837112e877337dcf7ec1de17475e290bfc,,,,,
M007,put the white mug on the left plate and put the yellow and white mug on the right plate,/llm_jzm/dty_user/openvla_attack_d1_screening_clean_20260818/D1R_CONTINUATION/T1D1M0_REVIEW_PACKET/M007/review_clip.mp4,65ef11288903c4004a0ad10757e63fbdc2997f2589fcb324f497152d7f9c3aaa,/llm_jzm/dty_user/openvla_attack_d1_screening_clean_20260818/D1R_CONTINUATION/T1D1M0_REVIEW_PACKET/M007/review_frame_strip.png,3b9f746023c01fdaff285c6a57c64241aeb65cf98f651f4da1ea8e42394c5de3,,,,,
M008,pick up the black bowl on the ramekin and place it on the plate,/llm_jzm/dty_user/openvla_attack_d1_screening_clean_20260818/D1R_CONTINUATION/T1D1M0_REVIEW_PACKET/M008/review_clip.mp4,dc1ddc901228a5f54b5af550940f4ac58beb074dfec72c70b1b77eba1dc75076,/llm_jzm/dty_user/openvla_attack_d1_screening_clean_20260818/D1R_CONTINUATION/T1D1M0_REVIEW_PACKET/M008/review_frame_strip.png,69a6d6f53b52facbfdccccadb3b90ba2a24debd4f3f13f6def9423708f1e45a2,,,,,
M009,pick up the black bowl next to the cookie box and place it on the plate,/llm_jzm/dty_user/openvla_attack_d1_screening_clean_20260818/D1R_CONTINUATION/T1D1M0_REVIEW_PACKET/M009/review_clip.mp4,bf76afbb5ee2f6aceba84e078ebfb61d60653db6eda1f4cdbb818b405179b6e8,/llm_jzm/dty_user/openvla_attack_d1_screening_clean_20260818/D1R_CONTINUATION/T1D1M0_REVIEW_PACKET/M009/review_frame_strip.png,9e66f76bc5ae2acb9daf5f6c6fbd788752ca65b9e28c5ddc0e7032f6795cff93,,,,,
M010,put the bowl on top of the cabinet,/llm_jzm/dty_user/openvla_attack_d1_screening_clean_20260818/D1R_CONTINUATION/T1D1M0_REVIEW_PACKET/M010/review_clip.mp4,fde77e6f6851a98da7360c7a959903b53a419134be6ff49e72bc83395fdf15f4,/llm_jzm/dty_user/openvla_attack_d1_screening_clean_20260818/D1R_CONTINUATION/T1D1M0_REVIEW_PACKET/M010/review_frame_strip.png,eb2f5809e866ee53cfb4aa589acaa6ed2e1089399b20da5e38605bc01780edf7,,,,,
