subset,task_key,state_id,selection_hash,trace_id,source,frozen_order
canary,milk,23,00c0519964dc882a693c9c37575390f3aae4555124fe255c9dbc6786570ab954,trace_milk_s23_w0_10_s20d_clean_seed0_job330254,historical_402,0
canary,salad_dressing,19,0181ca71c22d73ce74ed02eb441728a85bc84f62daa1d173e6fcbc8d096b8816,trace_salad_dressing_s19_w0_10_s20d_clean_seed0_job330330,historical_402,1
canary,bbq_sauce,36,01d05e76287fcba158227c44358fbea258ec7f548f2e61f8c2fef32b7688b7ff,trace_bbq_sauce_s36_w0_10_s20d_clean_seed0_job330067,historical_402,2
canary,tomato_sauce,6,01ea480edc739c1cbc1b1009244209ce5b028b806ad7413b75170852dab691d5,trace_tomato_sauce_s6_w0_10_s20d_clean_seed0_job510000,d2_fresh_98,3
panel,alphabet_soup,34,14347d2c783ff7b33b7e9ff47cd72519eea8abc2095e586433a56514b92e32f6,trace_alphabet_soup_s34_w0_10_s20d_clean_seed0_job330025,historical_402,4
panel,alphabet_soup,11,16f1b2682f7e100f3a9e53fdfbc95794dd457a0d10dd3ed5f3def3fc08cf6708,trace_alphabet_soup_s11_w0_10_s20d_clean_seed0_job540200,d2_fresh_98,5
panel,alphabet_soup,7,1ddae6ebf25ab0343aa6861096e2953a08339fa8af83db74954c68a22ba5e25b,trace_alphabet_soup_s7_w0_10_s20d_clean_seed0_job500000,d2_fresh_98,6
panel,bbq_sauce,31,0ad91e1301f49ba0a2736e9481a200448950774e5cb492ee82f3d90bcd7c90bc,trace_bbq_sauce_s31_w0_10_s20d_clean_seed0_job330062,historical_402,7
panel,bbq_sauce,48,10a64e0d06c31dd99b3bc1da86aea7c48eaf96eed00a729697e866da557d8212,trace_bbq_sauce_s48_w0_10_s20d_clean_seed0_job330079,historical_402,8
panel,bbq_sauce,2,11787bc19e7ba21a128a85495faf7250fcf1264e2864a909194a931df673dcc1,trace_bbq_sauce_s2_w0_10_s20d_clean_seed0_job250002,historical_402,9
panel,butter,31,03afbcff8eae01747f432ee61d3158fff6186815f26edb91a75f32bb5ff33b57,trace_butter_s31_w0_10_s20d_clean_seed0_job330102,historical_402,10
panel,butter,9,04b6d530254df71fcce2ccf5b6b41450a81f443e122ad898ea007b81d36ce95d,trace_butter_s9_w0_10_s20d_clean_seed0_job590100,d2_fresh_98,11
panel,butter,49,05c38cf6a7532681fd104b267d912563357868c0dda4b5987b58f6d0441af28b,trace_butter_s49_w0_10_s20d_clean_seed0_job330120,historical_402,12
panel,chocolate_pudding,7,07ae5f98767afd686f303f85bfc5d7d89d7654c8e7138f1a55768fb264c21dc9,trace_chocolate_pudding_s7_w0_10_s20d_clean_seed0_job520100,d2_fresh_98,13
panel,chocolate_pudding,27,09a3b056b66f371cf8bd7698f97e5e7ceeab90f00806ff713e66b6dce6c69762,trace_chocolate_pudding_s27_w0_10_s20d_clean_seed0_job330138,historical_402,14
panel,chocolate_pudding,15,0b3c82f626a59539d578fb0f621dae29c4ca4971109ed08e833f0b1d7114d59f,trace_chocolate_pudding_s15_w0_10_s20d_clean_seed0_job330126,historical_402,15
panel,cream_cheese,17,02200720dd979838cad37a1d0f248c8e331d43ab379cc0a77137d5806a2415a9,trace_cream_cheese_s17_w0_10_s20d_clean_seed0_job330168,historical_402,16
panel,cream_cheese,12,0497a09c1aa24c94cf6991ab0cc84788f0be6b806f3bb0d5096bd2d4118977a5,trace_cream_cheese_s12_w0_10_s20d_clean_seed0_job330163,historical_402,17
panel,cream_cheese,30,0709c4ef4acf323b0cba4fba49fd50f80c49f31d96612ec82268e5fd90cb7631,trace_cream_cheese_s30_w0_10_s20d_clean_seed0_job330181,historical_402,18
panel,ketchup,8,050369e251b996738f5e266c21b066c164f8844bd7b7923904f77bfdaa8510e3,trace_ketchup_s8_w0_10_s20d_clean_seed0_job590200,d2_fresh_98,19
panel,ketchup,16,06b469bea82d6e4e2d1af55859d570e216f5f54b4ba363fa2c04dd96522ce567,trace_ketchup_s16_w0_10_s20d_clean_seed0_job330207,historical_402,20
panel,ketchup,29,079b9f9bc059cb4aad7965e107b0b512f38b06daa8206735737f872ae618fa23,trace_ketchup_s29_w0_10_s20d_clean_seed0_job330220,historical_402,21
panel,milk,18,0496e5f995f8c7538da4ca211b61725ed9908726bceb2e66e519095120ef0f36,trace_milk_s18_w0_10_s20d_clean_seed0_job330249,historical_402,22
panel,milk,0,05d954c563dfcfb1d2655096eb0d464beb76f1210f65a44a5c8ac8f29194f5e7,trace_milk_s0_w0_10_s20d_clean_seed0_job530000,d2_fresh_98,23
panel,milk,1,095f02a5eca088b3701fa1906600c38ee00c08bef0bdc061ea3950f84ba3e1e7,trace_milk_s1_w0_10_s20d_clean_seed0_job230490,historical_402,24
panel,orange_juice,15,02ea715ef412721e78a1d7ecf59d584cc577754eb2aa82a9efbb5f0efc1f9055,trace_orange_juice_s15_w0_10_s20d_clean_seed0_job330286,historical_402,25
panel,orange_juice,17,089b4b21a7a3f12fe97546cdb7a162a5d96cd7f413df2395eacbf8e0114c302f,trace_orange_juice_s17_w0_10_s20d_clean_seed0_job330288,historical_402,26
panel,orange_juice,48,18fca4a35e8c33952c0febecc5fb98d21caea240210d39fb6475ba7af3e73179,trace_orange_juice_s48_w0_10_s20d_clean_seed0_job330319,historical_402,27
panel,salad_dressing,9,04e70a92b335971232ea404e167a588626fb95c9319fa4bc6db6a6e8d1956cef,trace_salad_dressing_s9_w0_10_s20d_clean_seed0_job520000,d2_fresh_98,28
panel,salad_dressing,18,08d905cf9d4f46ac6331c0850d19775d4e209c9492c3ee40fa56510eb807cf97,trace_salad_dressing_s18_w0_10_s20d_clean_seed0_job330329,historical_402,29
panel,salad_dressing,12,198ba514e83966608379979e9b625d66b01df0de0fbd9e63a1e5192169a6afb7,trace_salad_dressing_s12_w0_10_s20d_clean_seed0_job330323,historical_402,30
panel,tomato_sauce,16,0ae9d2142c4da0e6bfc0f455f6d40cbdd2fd3c9c58a592a4df3c06ad4ab5d81e,trace_tomato_sauce_s16_w0_10_s20d_clean_seed0_job330367,historical_402,31
panel,tomato_sauce,8,0b018199adb680d38675554ec7d4d88d19a63394d2964086c0a6f985e11ff81b,trace_tomato_sauce_s8_w0_10_s20d_clean_seed0_job510000,d2_fresh_98,32
panel,tomato_sauce,5,146edf727f7e9edb156ca660c410ca9c376c6d34889c6ab5a7ba984b0d4ec804,trace_tomato_sauce_s5_w0_10_s20d_clean_seed0_job510000,d2_fresh_98,33
