suite,task_index,reason_code,window_count
libero_10,2,V1_NO_GROUNDED_OBJECT,5171
libero_10,3,V1_NO_GROUNDED_OBJECT,4440
libero_10,3,V1_TARGET_MATCH_FAILED_OR_DISTRACTOR,546
libero_10,5,V1_NO_GROUNDED_OBJECT,2777
libero_10,8,V1_NO_GROUNDED_OBJECT,5823
libero_10,8,V1_TARGET_MATCH_FAILED_OR_DISTRACTOR,31
libero_10,9,V1_NO_GROUNDED_OBJECT,5701
libero_10,9,V1_TARGET_MATCH_FAILED_OR_DISTRACTOR,41
libero_goal,0,V1_NO_GROUNDED_OBJECT,7318
libero_goal,0,V1_TARGET_MATCH_FAILED_OR_DISTRACTOR,2434
libero_goal,1,V1_NO_GROUNDED_OBJECT,2075
libero_goal,1,V1_TARGET_MATCH_FAILED_OR_DISTRACTOR,152
libero_goal,2,V1_NO_GROUNDED_OBJECT,4811
libero_goal,2,V1_TARGET_MATCH_FAILED_OR_DISTRACTOR,13
libero_goal,3,V1_NO_GROUNDED_OBJECT,7263
libero_goal,3,V1_TARGET_MATCH_FAILED_OR_DISTRACTOR,622
libero_goal,4,V1_NO_GROUNDED_OBJECT,1732
libero_goal,4,V1_TARGET_MATCH_FAILED_OR_DISTRACTOR,9
libero_goal,5,V1_NO_GROUNDED_OBJECT,2102
libero_goal,5,V1_TARGET_MATCH_FAILED_OR_DISTRACTOR,902
libero_goal,6,V1_NO_GROUNDED_OBJECT,2505
libero_goal,6,V1_TARGET_MATCH_FAILED_OR_DISTRACTOR,77
libero_goal,7,V1_NO_GROUNDED_OBJECT,2610
libero_goal,8,V1_NO_GROUNDED_OBJECT,2244
libero_goal,8,V1_TARGET_MATCH_FAILED_OR_DISTRACTOR,421
libero_goal,9,V1_NO_GROUNDED_OBJECT,4582
libero_goal,9,V1_TARGET_MATCH_FAILED_OR_DISTRACTOR,5
libero_object,0,V1_NO_GROUNDED_OBJECT,1049
libero_object,0,V1_TARGET_MATCH_FAILED_OR_DISTRACTOR,11
libero_object,1,V1_NO_GROUNDED_OBJECT,953
libero_object,2,V1_NO_GROUNDED_OBJECT,406
libero_object,2,V1_TARGET_MATCH_FAILED_OR_DISTRACTOR,33
libero_object,3,V1_NO_GROUNDED_OBJECT,67
libero_object,3,V1_TARGET_MATCH_FAILED_OR_DISTRACTOR,7
libero_object,4,V1_NO_GROUNDED_OBJECT,421
libero_object,5,V1_NO_GROUNDED_OBJECT,87
libero_object,6,V1_NO_GROUNDED_OBJECT,590
libero_object,6,V1_TARGET_MATCH_FAILED_OR_DISTRACTOR,626
libero_object,7,V1_NO_GROUNDED_OBJECT,590
libero_object,7,V1_TARGET_MATCH_FAILED_OR_DISTRACTOR,180
libero_object,9,V1_NO_GROUNDED_OBJECT,82
libero_object,9,V1_TARGET_MATCH_FAILED_OR_DISTRACTOR,121
libero_spatial,0,V1_NO_GROUNDED_OBJECT,1595
libero_spatial,0,V1_TARGET_MATCH_FAILED_OR_DISTRACTOR,3
libero_spatial,1,V1_NO_GROUNDED_OBJECT,2480
libero_spatial,2,V1_NO_GROUNDED_OBJECT,2154
libero_spatial,2,V1_TARGET_MATCH_FAILED_OR_DISTRACTOR,3
libero_spatial,3,V1_NO_GROUNDED_OBJECT,1887
libero_spatial,3,V1_TARGET_MATCH_FAILED_OR_DISTRACTOR,88
libero_spatial,4,V1_NO_GROUNDED_OBJECT,2796
libero_spatial,4,V1_TARGET_MATCH_FAILED_OR_DISTRACTOR,96
libero_spatial,5,V1_NO_GROUNDED_OBJECT,3194
libero_spatial,5,V1_TARGET_MATCH_FAILED_OR_DISTRACTOR,5
libero_spatial,6,V1_NO_GROUNDED_OBJECT,2047
libero_spatial,6,V1_TARGET_MATCH_FAILED_OR_DISTRACTOR,232
libero_spatial,7,V1_NO_GROUNDED_OBJECT,1535
libero_spatial,7,V1_TARGET_MATCH_FAILED_OR_DISTRACTOR,338
libero_spatial,8,V1_NO_GROUNDED_OBJECT,2541
libero_spatial,8,V1_TARGET_MATCH_FAILED_OR_DISTRACTOR,98
libero_spatial,9,V1_NO_GROUNDED_OBJECT,2795
libero_spatial,9,V1_TARGET_MATCH_FAILED_OR_DISTRACTOR,139
