task_key,state_id,teacher_p_step,teacher_p_score,n_strictly_higher,n_equal_to_P,competition_rank,ordinal_rank,is_unique_top1,total_close_candidates,max_candidate_score
butter,2,68,3.8,0,1,1,1,1,6,3.8
butter,1,72,3.3,2,7,3,9,0,9,3.8
cream_cheese,2,63,3.8,0,1,1,1,1,4,3.8
cream_cheese,1,54,3.3,1,3,2,3,0,4,3.8
bbq_sauce,0,85,3.3,4,3,5,7,0,7,3.8
chocolate_pudding,2,58,3.3,1,2,2,2,0,3,3.8
ketchup,2,56,3.3,0,1,1,1,1,1,3.3
ketchup,3,55,3.3,1,2,2,2,0,3,3.8
alphabet_soup,2,55,3.3,0,1,1,1,1,1,3.3
alphabet_soup,1,122,3.3,3,7,4,10,0,10,3.8
