split,suite,episodes,supervised_episode_count,positive_episode_count,positive_task_ids,status_counts,event_count,supplementary_event_count,primary_supplementary_event_count
train,libero_spatial,80,80,68,0 1 2 3 4 5 6 7 8 9,"{""NO_RELEVANT_GRASP_EVENT"": 12, ""ELIGIBLE_EVENT"": 68}",,,
train,libero_goal,80,72,37,1 2 4 6 8 9,"{""NO_RELEVANT_GRASP_EVENT"": 11, ""CORRECT_SEMANTIC_ABSTAIN"": 24, ""ELIGIBLE_EVENT"": 37, ""RESOLVER_NOT_IMPLEMENTED_FOR_MECHANISM"": 8}",,,
train,libero_10,80,72,33,0 1 2 3 6 7,"{""SUPPLEMENTARY_EVENT_ELIGIBLE"": 33, ""NO_RELEVANT_GRASP_EVENT"": 39, ""TARGET_BINDING_AMBIGUOUS"": 8}",,,
train,ALL,240,224,138,,"{""CORRECT_SEMANTIC_ABSTAIN"": 24, ""ELIGIBLE_EVENT"": 105, ""NO_RELEVANT_GRASP_EVENT"": 62, ""RESOLVER_NOT_IMPLEMENTED_FOR_MECHANISM"": 8, ""SUPPLEMENTARY_EVENT_ELIGIBLE"": 33, ""TARGET_BINDING_AMBIGUOUS"": 8}",152,47,33
val,libero_spatial,20,20,17,0 1 2 3 4 5 6 7 8 9,"{""NO_RELEVANT_GRASP_EVENT"": 3, ""ELIGIBLE_EVENT"": 17}",,,
val,libero_goal,20,18,10,1 2 4 6 8 9,"{""NO_RELEVANT_GRASP_EVENT"": 2, ""CORRECT_SEMANTIC_ABSTAIN"": 6, ""ELIGIBLE_EVENT"": 10, ""RESOLVER_NOT_IMPLEMENTED_FOR_MECHANISM"": 2}",,,
val,libero_10,20,18,10,0 1 2 3 6 7,"{""SUPPLEMENTARY_EVENT_ELIGIBLE"": 10, ""NO_RELEVANT_GRASP_EVENT"": 8, ""TARGET_BINDING_AMBIGUOUS"": 2}",,,
val,ALL,60,56,37,,"{""CORRECT_SEMANTIC_ABSTAIN"": 6, ""ELIGIBLE_EVENT"": 27, ""NO_RELEVANT_GRASP_EVENT"": 13, ""RESOLVER_NOT_IMPLEMENTED_FOR_MECHANISM"": 2, ""SUPPLEMENTARY_EVENT_ELIGIBLE"": 10, ""TARGET_BINDING_AMBIGUOUS"": 2}",41,14,10
held_out,libero_spatial,100,100,83,0 1 2 3 4 5 6 7 8 9,"{""ELIGIBLE_EVENT"": 83, ""NO_RELEVANT_GRASP_EVENT"": 17}",,,
held_out,libero_goal,100,90,48,1 2 4 6 8 9,"{""ELIGIBLE_EVENT"": 48, ""NO_RELEVANT_GRASP_EVENT"": 12, ""CORRECT_SEMANTIC_ABSTAIN"": 30, ""RESOLVER_NOT_IMPLEMENTED_FOR_MECHANISM"": 10}",,,
held_out,libero_10,100,90,41,0 1 2 3 6 7,"{""SUPPLEMENTARY_EVENT_ELIGIBLE"": 41, ""NO_RELEVANT_GRASP_EVENT"": 49, ""TARGET_BINDING_AMBIGUOUS"": 10}",,,
held_out,ALL,300,280,172,,"{""CORRECT_SEMANTIC_ABSTAIN"": 30, ""ELIGIBLE_EVENT"": 131, ""NO_RELEVANT_GRASP_EVENT"": 78, ""RESOLVER_NOT_IMPLEMENTED_FOR_MECHANISM"": 10, ""SUPPLEMENTARY_EVENT_ELIGIBLE"": 41, ""TARGET_BINDING_AMBIGUOUS"": 10}",187,56,41
