trace_id,prod_n_cands,batch_n_cands,step_mismatch,feat_mismatch,max_score_diff,emit_match,prod_emit,batch_emit,status
trace_alphabet_soup_s26_w0_10_s20d_clean_seed0_job590300,6,6,0,0,4.614706,True,92,92,OK
trace_alphabet_soup_s43_w0_10_s20d_clean_seed0_job330034,6,6,0,0,4.745968,True,-1,-1,OK
trace_alphabet_soup_s47_w0_10_s20d_clean_seed0_job330038,2,2,0,0,3.971007,True,-1,-1,OK
trace_alphabet_soup_s49_w0_10_s20d_clean_seed0_job330040,8,8,0,0,4.078422,True,56,56,OK
trace_alphabet_soup_s5_w0_10_s20d_clean_seed0_job500000,3,3,0,0,3.672975,True,74,74,OK
trace_alphabet_soup_s8_w0_10_s20d_clean_seed0_job540200,12,12,0,0,4.31204,True,49,49,OK
trace_alphabet_soup_s9_w0_10_s20d_clean_seed0_job540200,11,11,0,0,4.137247,True,50,50,OK
trace_bbq_sauce_s45_w0_10_s20d_clean_seed0_job330076,9,9,0,0,4.485308,True,117,117,OK
trace_bbq_sauce_s46_w0_10_s20d_clean_seed0_job330077,2,2,0,0,4.350129,True,-1,-1,OK
trace_butter_s3_w0_10_s20d_clean_seed0_job510100,3,3,0,0,4.484815,True,-1,-1,OK
trace_butter_s42_w0_10_s20d_clean_seed0_job330113,12,12,0,0,4.254087,True,54,54,OK
trace_butter_s46_w0_10_s20d_clean_seed0_job330117,4,4,0,0,4.012461,True,62,62,OK
trace_butter_s48_w0_10_s20d_clean_seed0_job330119,5,5,0,0,4.55693,True,-1,-1,OK
trace_butter_s6_w0_10_s20d_clean_seed0_job590100,8,8,0,0,4.702269,True,-1,-1,OK
trace_butter_s8_w0_10_s20d_clean_seed0_job590100,4,4,0,0,4.562003,True,62,62,OK
trace_chocolate_pudding_s16_w0_10_s20d_clean_seed0_job590000,3,3,0,0,4.294759,True,55,55,OK
trace_chocolate_pudding_s49_w0_10_s20d_clean_seed0_job330160,4,4,0,0,4.351483,True,50,50,OK
trace_chocolate_pudding_s4_w0_10_s20d_clean_seed0_job520100,8,8,0,0,4.451345,True,-1,-1,OK
trace_chocolate_pudding_s5_w0_10_s20d_clean_seed0_job520100,6,6,0,0,4.316838,True,55,55,OK
trace_cream_cheese_s0_w0_10_s20d_clean_seed0_job540000,3,3,0,0,4.362692,True,62,62,OK
trace_cream_cheese_s41_w0_10_s20d_clean_seed0_job330192,3,3,0,0,4.567278,True,64,64,OK
trace_cream_cheese_s43_w0_10_s20d_clean_seed0_job330194,14,14,0,0,4.615638,True,-1,-1,OK
trace_cream_cheese_s6_w0_10_s20d_clean_seed0_job540000,4,4,0,0,4.294277,True,56,56,OK
trace_cream_cheese_s8_w0_10_s20d_clean_seed0_job570000,7,7,0,0,4.405465,True,-1,-1,OK
trace_cream_cheese_s9_w0_10_s20d_clean_seed0_job590100,2,2,0,0,4.053329,True,55,55,OK
trace_ketchup_s0_w0_10_s20d_clean_seed0_job540100,3,3,0,0,4.380517,True,56,56,OK
trace_ketchup_s45_w0_10_s20d_clean_seed0_job330236,3,3,0,0,4.45638,True,-1,-1,OK
trace_ketchup_s47_w0_10_s20d_clean_seed0_job330238,6,6,0,0,4.672749,True,-1,-1,OK
trace_ketchup_s48_w0_10_s20d_clean_seed0_job330239,4,4,0,0,4.275538,True,-1,-1,OK
trace_ketchup_s49_w0_10_s20d_clean_seed0_job330240,4,4,0,0,4.325022,True,-1,-1,OK
trace_ketchup_s6_w0_10_s20d_clean_seed0_job590200,6,6,0,0,4.735864,True,132,132,OK
trace_milk_s3_w0_10_s20d_clean_seed0_job530000,3,3,0,0,4.237876,True,54,54,OK
trace_milk_s45_w0_10_s20d_clean_seed0_job330276,2,2,0,0,4.153542,True,52,52,OK
trace_milk_s8_w0_10_s20d_clean_seed0_job530000,9,9,0,0,4.729503,True,-1,-1,OK
trace_orange_juice_s0_w0_10_s20d_clean_seed0_job530100,5,5,0,0,4.352262,True,-1,-1,OK
trace_orange_juice_s43_w0_10_s20d_clean_seed0_job330314,3,3,0,0,4.244852,True,-1,-1,OK
trace_salad_dressing_s20_w0_10_s20d_clean_seed0_job520000,2,2,0,0,4.368133,True,-1,-1,OK
trace_salad_dressing_s22_w0_10_s20d_clean_seed0_job520000,2,2,0,0,4.25645,True,-1,-1,OK
trace_salad_dressing_s36_w0_10_s20d_clean_seed0_job520000,2,2,0,0,4.010795,True,55,55,OK
trace_salad_dressing_s38_w0_10_s20d_clean_seed0_job330349,3,3,0,0,4.111445,True,64,64,OK
trace_salad_dressing_s40_w0_10_s20d_clean_seed0_job330351,3,3,0,0,4.045344,True,46,46,OK
trace_tomato_sauce_s30_w0_10_s20d_clean_seed0_job590200,4,4,0,0,3.853328,True,59,59,OK
trace_tomato_sauce_s41_w0_10_s20d_clean_seed0_job330392,2,2,0,0,4.288877,True,64,64,OK
trace_tomato_sauce_s42_w0_10_s20d_clean_seed0_job330393,2,2,0,0,3.779881,True,59,59,OK
trace_tomato_sauce_s48_w0_10_s20d_clean_seed0_job590200,29,29,0,0,4.578925,True,68,68,OK
trace_tomato_sauce_s9_w0_10_s20d_clean_seed0_job560000,2,2,0,0,3.581669,True,63,63,OK
