task_key,n_total,n_train,n_val,n_test,train_state_ids,val_state_ids,test_state_ids
alphabet_soup,18,12,3,3,"1,17,19,21,22,25,27,29,32,35,37,38","39,41,42","43,47,49"
bbq_sauce,13,9,2,2,"0,11,12,13,19,24,28,30,38","39,43","45,46"
butter,17,12,2,3,"1,2,10,14,15,17,20,28,31,33,35,36","40,41","42,46,48"
chocolate_pudding,7,5,1,1,"2,23,25,33,44",46,49
cream_cheese,15,10,3,2,"2,10,12,13,15,18,22,23,29,31","33,36,38","41,43"
ketchup,21,14,3,4,"2,3,10,12,13,22,23,25,26,30,33,34,35,36","38,41,43","45,47,48,49"
milk,6,4,1,1,"1,25,31,37",39,45
orange_juice,8,5,2,1,"11,13,15,22,32","37,40",43
salad_dressing,10,7,1,2,"2,11,12,16,17,29,30",31,"38,40"
tomato_sauce,16,12,2,2,"2,10,11,12,13,15,18,19,23,24,35,36","39,40","41,42"
