suite,task_id,index_task_name,official_task_name,official_task_identifier,bddl_path,bddl_sha256,exact_match,normalized_match,index_truncated,official_registry_source,official_registry_sha256,notes
libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,libero_10/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,/mnt/sdc/dty_user/openvla_attack/envs/openvla-official-a800/lib/python3.10/site-packages/libero/libero/bddl_files/libero_10/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket.bddl,2e661058917f683a25bce480015197f0a2c1911bcbc2b9dd9d947199069c9618,True,True,False,/mnt/sdc/dty_user/openvla_attack/envs/openvla-official-a800/lib/python3.10/site-packages/libero/libero/benchmark/libero_suite_task_map.py,0c950df0a785aa55de968bb38ccd865d2017f71ddbe6f48cfd05ac0742b6d62d,OFFICIAL_LIBERO_REGISTRY_MATCH_PASS
libero_10,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,libero_10/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,/mnt/sdc/dty_user/openvla_attack/envs/openvla-official-a800/lib/python3.10/site-packages/libero/libero/bddl_files/libero_10/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket.bddl,3f552805c7ab34c44debcf38a48b8131d6fee3011dd86c039650b84e0f77d058,True,True,False,/mnt/sdc/dty_user/openvla_attack/envs/openvla-official-a800/lib/python3.10/site-packages/libero/libero/benchmark/libero_suite_task_map.py,0c950df0a785aa55de968bb38ccd865d2017f71ddbe6f48cfd05ac0742b6d62d,OFFICIAL_LIBERO_REGISTRY_MATCH_PASS
libero_10,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,libero_10/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,/mnt/sdc/dty_user/openvla_attack/envs/openvla-official-a800/lib/python3.10/site-packages/libero/libero/bddl_files/libero_10/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it.bddl,491835cc2eb6956f7ce3d1ee4e266377116168fe453e6529fe105e3b0333635d,True,True,False,/mnt/sdc/dty_user/openvla_attack/envs/openvla-official-a800/lib/python3.10/site-packages/libero/libero/benchmark/libero_suite_task_map.py,0c950df0a785aa55de968bb38ccd865d2017f71ddbe6f48cfd05ac0742b6d62d,OFFICIAL_LIBERO_REGISTRY_MATCH_PASS
libero_10,3,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,libero_10/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,/mnt/sdc/dty_user/openvla_attack/envs/openvla-official-a800/lib/python3.10/site-packages/libero/libero/bddl_files/libero_10/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it.bddl,5255fe54d7f25fad4dee8fa30a30033d8cb908f1708d953c91ab609264fb4fb8,True,True,False,/mnt/sdc/dty_user/openvla_attack/envs/openvla-official-a800/lib/python3.10/site-packages/libero/libero/benchmark/libero_suite_task_map.py,0c950df0a785aa55de968bb38ccd865d2017f71ddbe6f48cfd05ac0742b6d62d,OFFICIAL_LIBERO_REGISTRY_MATCH_PASS
libero_10,4,LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,libero_10/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,/mnt/sdc/dty_user/openvla_attack/envs/openvla-official-a800/lib/python3.10/site-packages/libero/libero/bddl_files/libero_10/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate.bddl,0c6749b920bff1e1efe47ffb0e0b801a3e6959a650e710f376dd2b812c74e865,True,True,False,/mnt/sdc/dty_user/openvla_attack/envs/openvla-official-a800/lib/python3.10/site-packages/libero/libero/benchmark/libero_suite_task_map.py,0c950df0a785aa55de968bb38ccd865d2017f71ddbe6f48cfd05ac0742b6d62d,OFFICIAL_LIBERO_REGISTRY_MATCH_PASS
libero_10,5,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,libero_10/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,/mnt/sdc/dty_user/openvla_attack/envs/openvla-official-a800/lib/python3.10/site-packages/libero/libero/bddl_files/libero_10/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy.bddl,07ca32c940d70c065e870452ef9c63e6dfa1d8506e6a86cf9b3763f652ba2d9f,True,True,False,/mnt/sdc/dty_user/openvla_attack/envs/openvla-official-a800/lib/python3.10/site-packages/libero/libero/benchmark/libero_suite_task_map.py,0c950df0a785aa55de968bb38ccd865d2017f71ddbe6f48cfd05ac0742b6d62d,OFFICIAL_LIBERO_REGISTRY_MATCH_PASS
libero_10,6,LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,libero_10/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,/mnt/sdc/dty_user/openvla_attack/envs/openvla-official-a800/lib/python3.10/site-packages/libero/libero/bddl_files/libero_10/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate.bddl,dbc9464b424cdc9b771b92d0b8a8c185b1b539f6a4133b323dc858bcf8f6a9c2,True,True,False,/mnt/sdc/dty_user/openvla_attack/envs/openvla-official-a800/lib/python3.10/site-packages/libero/libero/benchmark/libero_suite_task_map.py,0c950df0a785aa55de968bb38ccd865d2017f71ddbe6f48cfd05ac0742b6d62d,OFFICIAL_LIBERO_REGISTRY_MATCH_PASS
libero_10,7,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,libero_10/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,/mnt/sdc/dty_user/openvla_attack/envs/openvla-official-a800/lib/python3.10/site-packages/libero/libero/bddl_files/libero_10/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket.bddl,e27ab37f512fe42e35771d6130f531e6a9656929e7b4c60b348b81360cf5675d,True,True,False,/mnt/sdc/dty_user/openvla_attack/envs/openvla-official-a800/lib/python3.10/site-packages/libero/libero/benchmark/libero_suite_task_map.py,0c950df0a785aa55de968bb38ccd865d2017f71ddbe6f48cfd05ac0742b6d62d,OFFICIAL_LIBERO_REGISTRY_MATCH_PASS
libero_10,8,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,libero_10/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,/mnt/sdc/dty_user/openvla_attack/envs/openvla-official-a800/lib/python3.10/site-packages/libero/libero/bddl_files/libero_10/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove.bddl,ae1299a707d3e810096ad648948c517de40474bcdacca93a15e17d191e34454a,True,True,False,/mnt/sdc/dty_user/openvla_attack/envs/openvla-official-a800/lib/python3.10/site-packages/libero/libero/benchmark/libero_suite_task_map.py,0c950df0a785aa55de968bb38ccd865d2017f71ddbe6f48cfd05ac0742b6d62d,OFFICIAL_LIBERO_REGISTRY_MATCH_PASS
libero_10,9,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,libero_10/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,/mnt/sdc/dty_user/openvla_attack/envs/openvla-official-a800/lib/python3.10/site-packages/libero/libero/bddl_files/libero_10/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it.bddl,456d145f92be049f445fc77673dc583d9d17ea7afe92f6ffcb2fd1fa5565d420,True,True,False,/mnt/sdc/dty_user/openvla_attack/envs/openvla-official-a800/lib/python3.10/site-packages/libero/libero/benchmark/libero_suite_task_map.py,0c950df0a785aa55de968bb38ccd865d2017f71ddbe6f48cfd05ac0742b6d62d,OFFICIAL_LIBERO_REGISTRY_MATCH_PASS
