file_path,file_size,mtime,sha256,git_tracked,dirty,used_by,risk_level
src/gripper_attack/attack_adapter.py,unknown,unknown,3ff284a3ed100073f292bed1ff8121bb803eba37329c8a5ebfd44db8fe8df4ed,true,true,Object+TMA+UMA+SHUFFLED,HIGH
scripts/stageb/run_v2_vis_sc5_mlp_bridge.py,unknown,unknown,4ce75f9af67c4fd94bfd9d64b51ccba5324d37c1ab1b28d5f74c485860701d6f,true,true,Object+TMA+UMA+SHUFFLED,HIGH
scripts/v4_run_eval_openvla.py,unknown,unknown,df148fe21d89bf70051817eb8f5f99a951c1edb0425cb85d8a86bf8b84b20327,true,true,Object eval/pipeline,MEDIUM
scripts/stageb/run_sc5_cross_suite_clean.py,unknown,unknown,fc74c6c40315357a4fa6ea33babdbb0128a4ece78cad89cea52aa2a29d6b530c,true,true,CLEAN2000 collection,MEDIUM
commands/run_sota_worker.py,unknown,unknown,46250ffc32305482fcb7daa72a6a718c999f8176a374e2cd4f24244e784861d6,false,false,TMA+UMA+SHUFFLED workers,HIGH
commands/run_v2_vis_sc5_mlp_bridge.py,unknown,unknown,4ce75f9af67c4fd94bfd9d64b51ccba5324d37c1ab1b28d5f74c485860701d6f,false,false,Bridge process,HIGH
commands/validate_sota_condition.py,unknown,unknown,b077e766b5e11f5a0a58829cbf7c62ac25abbf6de574a9f73d8ce4291a4deefc,false,false,Formal validators,HIGH
commands/build_formal_manifest.py,unknown,unknown,fca4328431f76ecdd916204eeeefe2b99bcb52660107202ddf7fd6cfd52f38c9,false,false,Manifest building,HIGH
commands/run_oracle_env_gripper_bridge.py,unknown,unknown,ef31add0fc14d593e677edee2151c8288bc003b632b085efb44623caefc64cef,false,false,Oracle experiments,MEDIUM
commands/run_oracle_env_gripper_worker.py,unknown,unknown,3192fc2bc90f2e9d5180cd4562ada547e9cb4a45ba405b5e44b51b1347512963,false,false,Oracle experiments,MEDIUM
commands/chain_stage2_canary.sh,unknown,unknown,8dad758088edcaae1f4dc32860d2bcfde54799207aa68bfd38d1622a9a675813,false,false,Chain stage 2,MEDIUM
commands/chain_stage3_tma_full.sh,unknown,unknown,f05d0d1ee4f1414921bfa409dd0228eabf4e6bf99b6e1d2a0476c97ac79e3dcb,false,false,Chain stage 3,MEDIUM
commands/chain_stage4_uma_shuffled.sh,unknown,unknown,5ed5b6710b18c3d9aafda85bc6068821b1aa53d2b203acf2058d5cc9cb289bf1,false,false,Chain stage 4,MEDIUM
commands/chain_stage5_aggregate.sh,unknown,unknown,b2171e0c17cb3b60dcb7eab83d867d7ffda1efcff92911d8486e351b8d0eb355,false,false,Aggregation,LOW
commands/supervisor_oracle_sota.sh,unknown,unknown,749a8095449466f1d4b3b84ac0b566a1abc549516fa4cb3f43f0e7f7f6439278,false,false,Oracle supervisor,MEDIUM
condition_specs/TABLE1_SOTA_CONDITION_REGISTRY_V1.csv,unknown,unknown,not_hashed,false,false,Condition registry,MEDIUM
