episode_key,fold,state,detector_seed,perturbation_seed,in_true_universe,true_selected,in_early_artifacts,in_oracle_artifacts,selected_mask_match,true_summary_sha,early_summary_sha,oracle_summary_sha,true_attack_applied,early_attack_applied,oracle_attack_applied
fold_01/state_0/det_seed_1/pert_seed_0,01,0,1,0,True,True,True,True,True,3020772e1a3ee3324f774aee2fe2064c6cb4015e40461cee4abfc3961dd7b936,84c4b5a4529cf742dd8d7bed25a69470631070994670108ffce491ce5d5efa60,e8f8ef53ef8c65351e143ea97590dc3d6b4f341f89d7845a19b7497be7b665f9,False,False,False
fold_01/state_0/det_seed_1/pert_seed_1,01,0,1,1,True,True,True,True,True,3020772e1a3ee3324f774aee2fe2064c6cb4015e40461cee4abfc3961dd7b936,38126a7956dbf6e852884b3692f366b5346790bfd3a574e1d72e2a17ccfc0f2f,e8f8ef53ef8c65351e143ea97590dc3d6b4f341f89d7845a19b7497be7b665f9,False,False,False
fold_01/state_0/det_seed_1/pert_seed_2,01,0,1,2,True,True,True,True,True,3020772e1a3ee3324f774aee2fe2064c6cb4015e40461cee4abfc3961dd7b936,38126a7956dbf6e852884b3692f366b5346790bfd3a574e1d72e2a17ccfc0f2f,e8f8ef53ef8c65351e143ea97590dc3d6b4f341f89d7845a19b7497be7b665f9,False,False,False
fold_01/state_0/det_seed_2/pert_seed_0,01,0,2,0,True,True,True,True,True,19c526a714885471f7a8fce74e2fde8f13bcb396019735dcd7637e5176fcd239,062ba9e201431dffe5f7c31d6c785b901cf9f20bee522284a8b66face77b6b52,d2a24804e14d35a3369694b7605c413b8adac08c3fe13c726a73c9fea0d99c0a,False,False,False
fold_01/state_0/det_seed_2/pert_seed_1,01,0,2,1,True,True,True,True,True,19c526a714885471f7a8fce74e2fde8f13bcb396019735dcd7637e5176fcd239,062ba9e201431dffe5f7c31d6c785b901cf9f20bee522284a8b66face77b6b52,d2a24804e14d35a3369694b7605c413b8adac08c3fe13c726a73c9fea0d99c0a,False,False,False
fold_01/state_0/det_seed_2/pert_seed_2,01,0,2,2,True,True,True,True,True,19c526a714885471f7a8fce74e2fde8f13bcb396019735dcd7637e5176fcd239,062ba9e201431dffe5f7c31d6c785b901cf9f20bee522284a8b66face77b6b52,d2a24804e14d35a3369694b7605c413b8adac08c3fe13c726a73c9fea0d99c0a,False,False,False
fold_01/state_0/det_seed_3/pert_seed_0,01,0,3,0,True,True,True,True,True,ddc68228efe73ac9d1d137a12a0315e04a326f1df4a9a8e70a167ac393308caa,b13617ed3d138ae2a9bbd39371bba3ade7a17793a1d77623863f4d7134ca7b92,14db33bbf3088a899f5bc5942a65303751d1c1bcc4d6cf155e926f452cfd6238,False,False,False
fold_01/state_0/det_seed_3/pert_seed_1,01,0,3,1,True,True,True,True,True,ddc68228efe73ac9d1d137a12a0315e04a326f1df4a9a8e70a167ac393308caa,56e169fb274e23336d6928c0a3139a30252c9298cc8275f3a883d4eb2aaad8e3,14db33bbf3088a899f5bc5942a65303751d1c1bcc4d6cf155e926f452cfd6238,False,False,False
fold_01/state_0/det_seed_3/pert_seed_2,01,0,3,2,True,True,True,True,True,ddc68228efe73ac9d1d137a12a0315e04a326f1df4a9a8e70a167ac393308caa,2fdad5d5e5a11cd95fb63d6ea08a45b0bbb71cfec54e216cd7743cf968fcb64d,14db33bbf3088a899f5bc5942a65303751d1c1bcc4d6cf155e926f452cfd6238,False,False,False
fold_01/state_2/det_seed_1/pert_seed_0,01,2,1,0,True,True,True,True,True,94d72e2784068cf06ebd72a0e58ae6ce2a0da32df4c2a347ee3c76ac2b971fc7,236c47da55f3527c2f7d923fc331afaf3e82efe6f590705599bc49cf7aa5843f,a0123e1c3cfe18953b73f9053b32d0ff4a228cbd98f3c7d3de97edcf545c6925,False,False,False
fold_01/state_2/det_seed_1/pert_seed_1,01,2,1,1,True,True,True,True,True,94d72e2784068cf06ebd72a0e58ae6ce2a0da32df4c2a347ee3c76ac2b971fc7,df356b6771c0e7f23edd57b5e81b704c6cd898afd7005ea1fb70e447b74d74fc,a0123e1c3cfe18953b73f9053b32d0ff4a228cbd98f3c7d3de97edcf545c6925,False,False,False
fold_01/state_2/det_seed_1/pert_seed_2,01,2,1,2,True,True,True,True,True,94d72e2784068cf06ebd72a0e58ae6ce2a0da32df4c2a347ee3c76ac2b971fc7,92fa25e945810d2058b9705a6a0ebe839f11da5a692650887b7f7df9aeca7582,a0123e1c3cfe18953b73f9053b32d0ff4a228cbd98f3c7d3de97edcf545c6925,False,False,False
fold_01/state_2/det_seed_2/pert_seed_0,01,2,2,0,True,True,True,True,True,3ea4d37a863c3a4aeb5244ebd0000fb5b6748064371a64021d3215a8a04267f6,09ce5ca1f496f8f8dccee385ff3be20eb1d56c8f06cab9d4831c2103d6a51f58,aa9f39532c799de21a19783e963ca5f5fa3c44fe245235d05bbe54891c65411b,False,False,False
fold_01/state_2/det_seed_2/pert_seed_1,01,2,2,1,True,True,True,True,True,3ea4d37a863c3a4aeb5244ebd0000fb5b6748064371a64021d3215a8a04267f6,081660941f35eee02f27f9ae83a46d3c6717d8823fb2531783805464ba6a3746,aa9f39532c799de21a19783e963ca5f5fa3c44fe245235d05bbe54891c65411b,False,False,False
fold_01/state_2/det_seed_2/pert_seed_2,01,2,2,2,True,True,True,True,True,3ea4d37a863c3a4aeb5244ebd0000fb5b6748064371a64021d3215a8a04267f6,200f0f2179a4b4500a8a5e7e55303091060c28f94959f40329b895a33a2077e7,aa9f39532c799de21a19783e963ca5f5fa3c44fe245235d05bbe54891c65411b,False,False,False
fold_01/state_2/det_seed_3/pert_seed_0,01,2,3,0,True,True,True,True,True,5a8f9d15c54815edb6d23fa10fe77b52ac74a504013db315915ae9fce4356dca,9f412321cfef8199e694469cd2cab5db66ded7e90288537bab3742d7c42f7e01,a8a3e7edb6226147d75006ef1f78a0fbad29382007e80dcc5b6284e8799e26ef,False,False,False
fold_01/state_2/det_seed_3/pert_seed_1,01,2,3,1,True,True,True,True,True,5a8f9d15c54815edb6d23fa10fe77b52ac74a504013db315915ae9fce4356dca,fd913d01275826e83293064cda262669fc9ca786065a3611e899db8eba0797ad,a8a3e7edb6226147d75006ef1f78a0fbad29382007e80dcc5b6284e8799e26ef,False,False,False
fold_01/state_2/det_seed_3/pert_seed_2,01,2,3,2,True,True,True,True,True,5a8f9d15c54815edb6d23fa10fe77b52ac74a504013db315915ae9fce4356dca,fec9942b48ed5eab3d93a4279515ccc10cd1c357810095d1af342fdd03cb65a6,a8a3e7edb6226147d75006ef1f78a0fbad29382007e80dcc5b6284e8799e26ef,False,False,False
fold_02/state_0/det_seed_1/pert_seed_0,02,0,1,0,True,True,True,True,True,7e93e23544dd44b2efb44db9d5c3f395d43da80e226b50be06004dba132f8261,adeb58490991a8251dd6354b61e59db64b4bef17461fd7676e6e2d3f16b806ba,dba2514f6af13fe19b60b635a5b32ab2152b0674b0028467ede3408c6ef6b278,False,False,False
fold_02/state_0/det_seed_1/pert_seed_1,02,0,1,1,True,True,True,True,True,1a6d4f9a2a09137702d197f00bbbe67c1ca52f163225802c9517e5f1775524e9,78739b991f94f793ddec4082b5779c2d28762c074bc21138700beccef6184e6d,dba2514f6af13fe19b60b635a5b32ab2152b0674b0028467ede3408c6ef6b278,False,False,False
fold_02/state_0/det_seed_1/pert_seed_2,02,0,1,2,True,True,True,True,True,1a6d4f9a2a09137702d197f00bbbe67c1ca52f163225802c9517e5f1775524e9,fd8f9ceb6c32417a2c218d2ca3d7b122c9db2ee37b77d5c517ec1f104dbe8756,dba2514f6af13fe19b60b635a5b32ab2152b0674b0028467ede3408c6ef6b278,False,False,False
fold_02/state_0/det_seed_2/pert_seed_0,02,0,2,0,True,True,True,True,True,61feb6f96e6fa3eff99537727f8eb03219b88bd1901e036e469fa2fda61a89c2,518a02a34a953aeb10e3254299e9815589b4e6a7fe47d9eb225a90ca70ae0ed9,45822037055ee0f5ff1f5b71380c46210a37d0ee1edc2b505f0e60d84e1a7b58,False,False,False
fold_02/state_0/det_seed_2/pert_seed_1,02,0,2,1,True,True,True,True,True,61feb6f96e6fa3eff99537727f8eb03219b88bd1901e036e469fa2fda61a89c2,bf0df00fd1dff47b24ec3ab6d85184a291e7e9cb5c45b588f8c0cd2334e5a8e7,45822037055ee0f5ff1f5b71380c46210a37d0ee1edc2b505f0e60d84e1a7b58,False,False,False
fold_02/state_0/det_seed_2/pert_seed_2,02,0,2,2,True,True,True,True,True,61feb6f96e6fa3eff99537727f8eb03219b88bd1901e036e469fa2fda61a89c2,4c14477877456c2729840eaafcbb1a72b83d0411789e10d897ef93cbfd19705d,45822037055ee0f5ff1f5b71380c46210a37d0ee1edc2b505f0e60d84e1a7b58,False,False,False
fold_02/state_0/det_seed_3/pert_seed_0,02,0,3,0,True,True,True,True,True,ddccfdee5c1d43979315f5f690c5c770e1d806b4cfb81d8fcb42a2d1f362e735,2a1ce394d904ec135f3e26a5873b85c9971ec2658d571529a536c369e49b837a,3bed77806928db661fae290d82e639204b4eb77d742e8dfc353f28508a534434,False,False,False
fold_02/state_0/det_seed_3/pert_seed_1,02,0,3,1,True,True,True,True,True,ddccfdee5c1d43979315f5f690c5c770e1d806b4cfb81d8fcb42a2d1f362e735,7e1fb447edc59d1ef6242c68702b91ba0d65ffa20c547c8ad052234c4f936130,3bed77806928db661fae290d82e639204b4eb77d742e8dfc353f28508a534434,False,False,False
fold_02/state_0/det_seed_3/pert_seed_2,02,0,3,2,True,True,True,True,True,ddccfdee5c1d43979315f5f690c5c770e1d806b4cfb81d8fcb42a2d1f362e735,128705ea388265b7cfa1b7f0b55e48ccc8ae45b13551737336cda9ad65e6083d,3bed77806928db661fae290d82e639204b4eb77d742e8dfc353f28508a534434,False,False,False
fold_02/state_1/det_seed_1/pert_seed_0,02,1,1,0,True,True,True,True,True,8425fbaa16ca7804b60753d3cb2808af212f2edc24cddf6f5d7710459fbe1517,c6350cc4ae34d61fd5dce3cf3409c49b33a78783a2c54aec328ca5471afc6bdc,2ed9eb8e41a4d3e95807b3a4ff2caf0c47e07ddb091f3e3d90d0f207a5bcba82,False,False,False
fold_02/state_1/det_seed_1/pert_seed_1,02,1,1,1,True,True,True,True,True,8425fbaa16ca7804b60753d3cb2808af212f2edc24cddf6f5d7710459fbe1517,84da560deea4452ec417aff52ac71c920548e18d78e3a64ae402b8e0dbaefccf,2ed9eb8e41a4d3e95807b3a4ff2caf0c47e07ddb091f3e3d90d0f207a5bcba82,False,False,False
fold_02/state_1/det_seed_1/pert_seed_2,02,1,1,2,True,True,True,True,True,8425fbaa16ca7804b60753d3cb2808af212f2edc24cddf6f5d7710459fbe1517,ca6640e3a8e1a503356afe113f6936bc9d958c2e3a49c3c1c51265795ef34f89,2ed9eb8e41a4d3e95807b3a4ff2caf0c47e07ddb091f3e3d90d0f207a5bcba82,False,False,False
fold_02/state_1/det_seed_2/pert_seed_0,02,1,2,0,True,True,True,True,True,bb92f47c02cd71c1aa69a7d3a49dc5429128463e9f040e2a332e90fa5af9e4bd,9948bf167500cc9c9dbbf69d4aae23dbee0b00d3cc139aa58e01579a4c3f3068,454700e5cfc0fe66d820a6a652940f3f1f39d34e0acb09d539202723966865a2,False,False,False
fold_02/state_1/det_seed_2/pert_seed_1,02,1,2,1,True,True,True,True,True,bb92f47c02cd71c1aa69a7d3a49dc5429128463e9f040e2a332e90fa5af9e4bd,1f85e5a1143f1043fe4587acbb0ffed85f3e0ec2e8e8bee35fe5baceb6c23e9b,454700e5cfc0fe66d820a6a652940f3f1f39d34e0acb09d539202723966865a2,False,False,False
fold_02/state_1/det_seed_2/pert_seed_2,02,1,2,2,True,True,True,True,True,bb92f47c02cd71c1aa69a7d3a49dc5429128463e9f040e2a332e90fa5af9e4bd,b665834f986b3b6cf78352983e85b5f6c5edb4b266a8af17ffc535a21b7fac1a,454700e5cfc0fe66d820a6a652940f3f1f39d34e0acb09d539202723966865a2,False,False,False
fold_02/state_1/det_seed_3/pert_seed_0,02,1,3,0,True,True,True,True,True,0257298e63dbdea8259f5846ebc4ef0a63cef7f4a61a1f891ba8e3eff90417a9,3e0062bca5d8ba70163e0bda27e9bfce4f4b0b7f999ae5fac12148a3ff3627c0,c0ef3774b6c50047448c051c24a44e6e7434e0edb601701ca0798787b817a9fa,False,False,False
