backup_component,relative_path,source_size,destination_size,source_sha256,destination_sha256,source_path,destination_path,path_present_in_destination,size_match,sha256_match,status
clean2000,CLEAN2000_ATTEMPT_LEDGER.jsonl,508500,508500,a415cba2b56350481bb3f8f812632b8d95e7aa6c58a0fd848d95d5197282b9e9,a415cba2b56350481bb3f8f812632b8d95e7aa6c58a0fd848d95d5197282b9e9,/mnt/sdc/dty_user/openvla_attack/evidence/CLEAN2000_CANONICAL_V1/CLEAN2000_ATTEMPT_LEDGER.jsonl,/data/liuyu/openvla_gripper_freeze/20260702_codex_verified_v3/clean2000/CLEAN2000_CANONICAL_V1/CLEAN2000_ATTEMPT_LEDGER.jsonl,True,True,True,PASS
clean2000,CLEAN2000_BUILD_MANIFEST.json,460,460,2e71d736523b5eb6a386ca04f6dcd68fdec1d3c95acf4415da9891693d85c82a,2e71d736523b5eb6a386ca04f6dcd68fdec1d3c95acf4415da9891693d85c82a,/mnt/sdc/dty_user/openvla_attack/evidence/CLEAN2000_CANONICAL_V1/CLEAN2000_BUILD_MANIFEST.json,/data/liuyu/openvla_gripper_freeze/20260702_codex_verified_v3/clean2000/CLEAN2000_CANONICAL_V1/CLEAN2000_BUILD_MANIFEST.json,True,True,True,PASS
clean2000,CLEAN2000_FEATURES_25D_ALL_STEPS.csv,287308703,287308703,3474cf0a8016b3b9c3bbdfba3aef2bd5c9b6a29c63f6ddceb63fd146fd5fe072,3474cf0a8016b3b9c3bbdfba3aef2bd5c9b6a29c63f6ddceb63fd146fd5fe072,/mnt/sdc/dty_user/openvla_attack/evidence/CLEAN2000_CANONICAL_V1/CLEAN2000_FEATURES_25D_ALL_STEPS.csv,/data/liuyu/openvla_gripper_freeze/20260702_codex_verified_v3/clean2000/CLEAN2000_CANONICAL_V1/CLEAN2000_FEATURES_25D_ALL_STEPS.csv,True,True,True,PASS
clean2000,CLEAN2000_FEATURES_25D_VALID_ONLY.csv,286638122,286638122,2461a95be535dcaf2955977354a9da49fe25ef34849d628cda5d04bf258de123,2461a95be535dcaf2955977354a9da49fe25ef34849d628cda5d04bf258de123,/mnt/sdc/dty_user/openvla_attack/evidence/CLEAN2000_CANONICAL_V1/CLEAN2000_FEATURES_25D_VALID_ONLY.csv,/data/liuyu/openvla_gripper_freeze/20260702_codex_verified_v3/clean2000/CLEAN2000_CANONICAL_V1/CLEAN2000_FEATURES_25D_VALID_ONLY.csv,True,True,True,PASS
clean2000,CLEAN2000_FEATURE_GOLDEN_PARITY.json,1009,1009,22864208cc46d31882e81af694af56a4c5fed7b1209dc93f9ba775c6460c0984,22864208cc46d31882e81af694af56a4c5fed7b1209dc93f9ba775c6460c0984,/mnt/sdc/dty_user/openvla_attack/evidence/CLEAN2000_CANONICAL_V1/CLEAN2000_FEATURE_GOLDEN_PARITY.json,/data/liuyu/openvla_gripper_freeze/20260702_codex_verified_v3/clean2000/CLEAN2000_CANONICAL_V1/CLEAN2000_FEATURE_GOLDEN_PARITY.json,True,True,True,PASS
clean2000,CLEAN2000_FEATURE_TABLE_REPORT.json,1242,1242,72834f75b33db4382bf37eadf386f4a6b00345185f852a3b5ccbee86ceb1db17,72834f75b33db4382bf37eadf386f4a6b00345185f852a3b5ccbee86ceb1db17,/mnt/sdc/dty_user/openvla_attack/evidence/CLEAN2000_CANONICAL_V1/CLEAN2000_FEATURE_TABLE_REPORT.json,/data/liuyu/openvla_gripper_freeze/20260702_codex_verified_v3/clean2000/CLEAN2000_CANONICAL_V1/CLEAN2000_FEATURE_TABLE_REPORT.json,True,True,True,PASS
clean2000,CLEAN2000_INDEX_DRAFT.jsonl,3487802,3487802,e4fafbb01e70418ec04b7dc19294b1f6b9c0b52ecc0d8aaa5b56997c3ba53691,e4fafbb01e70418ec04b7dc19294b1f6b9c0b52ecc0d8aaa5b56997c3ba53691,/mnt/sdc/dty_user/openvla_attack/evidence/CLEAN2000_CANONICAL_V1/CLEAN2000_INDEX_DRAFT.jsonl,/data/liuyu/openvla_gripper_freeze/20260702_codex_verified_v3/clean2000/CLEAN2000_CANONICAL_V1/CLEAN2000_INDEX_DRAFT.jsonl,True,True,True,PASS
clean2000,CLEAN2000_PRIMARY.jsonl,340315,340315,8482ea625b4ecf09420bc1dc34828736d011881af3af54e6099ecf36f6749542,8482ea625b4ecf09420bc1dc34828736d011881af3af54e6099ecf36f6749542,/mnt/sdc/dty_user/openvla_attack/evidence/CLEAN2000_CANONICAL_V1/CLEAN2000_PRIMARY.jsonl,/data/liuyu/openvla_gripper_freeze/20260702_codex_verified_v3/clean2000/CLEAN2000_CANONICAL_V1/CLEAN2000_PRIMARY.jsonl,True,True,True,PASS
clean2000,CLEAN2000_SAFETY_ABSTENTION.jsonl,338585,338585,459761bc6116b66c79811f31a7fbe483bbab52062e5a4d1226903efac329bee1,459761bc6116b66c79811f31a7fbe483bbab52062e5a4d1226903efac329bee1,/mnt/sdc/dty_user/openvla_attack/evidence/CLEAN2000_CANONICAL_V1/CLEAN2000_SAFETY_ABSTENTION.jsonl,/data/liuyu/openvla_gripper_freeze/20260702_codex_verified_v3/clean2000/CLEAN2000_CANONICAL_V1/CLEAN2000_SAFETY_ABSTENTION.jsonl,True,True,True,PASS
clean2000,CLEAN2000_SET_CLOSURE_REPORT.json,365,365,89b31415d52392a066190cc2823c59934391d5523469267168b9d1a1af58b350,89b31415d52392a066190cc2823c59934391d5523469267168b9d1a1af58b350,/mnt/sdc/dty_user/openvla_attack/evidence/CLEAN2000_CANONICAL_V1/CLEAN2000_SET_CLOSURE_REPORT.json,/data/liuyu/openvla_gripper_freeze/20260702_codex_verified_v3/clean2000/CLEAN2000_CANONICAL_V1/CLEAN2000_SET_CLOSURE_REPORT.json,True,True,True,PASS
