episode_key,suite,task_id,state_id,teacher_label_valid,teacher_anchor_step,teacher_window_start,teacher_window_end,teacher_confidence,teacher_invalid_reason,exclusion_category,label_present_in_index,teacher_schema_valid,record_schema_valid_for_abstention,positive_anchor_present,usable_for_timing_training
libero_10/task_00/state_000/clean/attempt_01,libero_10,0,0,False,-1,,,0.0,teacher_ineligible,SUPPLEMENTARY_EVENT,True,True,True,False,False
libero_10/task_00/state_001/clean/attempt_01,libero_10,0,1,False,-1,,,0.0,teacher_ineligible,SUPPLEMENTARY_EVENT,True,True,True,False,False
libero_10/task_00/state_002/clean/attempt_01,libero_10,0,2,False,-1,,,0.0,teacher_ineligible,SUPPLEMENTARY_EVENT,True,True,True,False,False
libero_10/task_00/state_003/clean/attempt_01,libero_10,0,3,False,-1,,,0.0,teacher_ineligible,SUPPLEMENTARY_EVENT,True,True,True,False,False
libero_10/task_00/state_004/clean/attempt_01,libero_10,0,4,False,-1,,,0.0,teacher_ineligible,SUPPLEMENTARY_EVENT,True,True,True,False,False
libero_10/task_00/state_005/clean/attempt_01,libero_10,0,5,False,-1,,,0.0,teacher_ineligible,SUPPLEMENTARY_EVENT,True,True,True,False,False
libero_10/task_00/state_006/clean/attempt_01,libero_10,0,6,False,-1,,,0.0,teacher_ineligible,SUPPLEMENTARY_EVENT,True,True,True,False,False
libero_10/task_00/state_007/clean/attempt_01,libero_10,0,7,False,-1,,,0.0,teacher_ineligible,SUPPLEMENTARY_EVENT,True,True,True,False,False
libero_10/task_00/state_008/clean/attempt_01,libero_10,0,8,False,-1,,,0.0,teacher_ineligible,SUPPLEMENTARY_EVENT,True,True,True,False,False
libero_10/task_00/state_009/clean/attempt_01,libero_10,0,9,False,-1,,,0.0,teacher_ineligible,SUPPLEMENTARY_EVENT,True,True,True,False,False
libero_10/task_00/state_010/clean/attempt_01,libero_10,0,10,False,-1,,,0.0,teacher_ineligible,SUPPLEMENTARY_EVENT,True,True,True,False,False
libero_10/task_00/state_011/clean/attempt_01,libero_10,0,11,False,-1,,,0.0,teacher_ineligible,SUPPLEMENTARY_EVENT,True,True,True,False,False
libero_10/task_00/state_012/clean/attempt_01,libero_10,0,12,False,-1,,,0.0,teacher_ineligible,SUPPLEMENTARY_EVENT,True,True,True,False,False
libero_10/task_00/state_013/clean/attempt_01,libero_10,0,13,False,-1,,,0.0,teacher_ineligible,SUPPLEMENTARY_EVENT,True,True,True,False,False
libero_10/task_00/state_014/clean/attempt_01,libero_10,0,14,False,-1,,,0.0,teacher_ineligible,SUPPLEMENTARY_EVENT,True,True,True,False,False
libero_10/task_00/state_015/clean/attempt_01,libero_10,0,15,False,-1,,,0.0,teacher_ineligible,SUPPLEMENTARY_EVENT,True,True,True,False,False
