path,relative_path,type,size,mtime,sha256,git_tracked,git_status,scientific_relevance,used_by_experiment,contains_secret_risk,preservation_status,notes
/mnt/sdc/dty_user/openvla_attack/manifests/cross_suite_clean1500_gpu4_even.jsonl,manifests/cross_suite_clean1500_gpu4_even.jsonl,jsonl,152700,1782661500.33892,ebf926a6d1414f7c6d9c7b1adbd42942bbf183d5c3b8379f12e7143dfa872e32,UNKNOWN,UNKNOWN,protocol_runtime_candidate,UNKNOWN,UNREVIEWED_TEXT,INVENTORIED_NOT_COPIED,small text/runtime candidate under allowed roots
/mnt/sdc/dty_user/openvla_attack/manifests/cross_suite_clean1500_gpu4_odd.jsonl,manifests/cross_suite_clean1500_gpu4_odd.jsonl,jsonl,152700,1782661500.33892,1a580216181727a2daa27774621ad00b00f39401a7ca34633b9704c6fb18176f,UNKNOWN,UNKNOWN,protocol_runtime_candidate,UNKNOWN,UNREVIEWED_TEXT,INVENTORIED_NOT_COPIED,small text/runtime candidate under allowed roots
/mnt/sdc/dty_user/openvla_attack/manifests/cross_suite_clean1500_gpu5_even.jsonl,manifests/cross_suite_clean1500_gpu5_even.jsonl,jsonl,150550,1782661500.34292,d724d89924fbbb4403b93d59ca13e69f6f59698105ed37e913c25369294fba7b,UNKNOWN,UNKNOWN,protocol_runtime_candidate,UNKNOWN,UNREVIEWED_TEXT,INVENTORIED_NOT_COPIED,small text/runtime candidate under allowed roots
/mnt/sdc/dty_user/openvla_attack/manifests/cross_suite_clean1500_gpu5_odd.jsonl,manifests/cross_suite_clean1500_gpu5_odd.jsonl,jsonl,150550,1782661500.3469203,b19bac05cc7b4aa8144ec77f519584bb2461c34c493cacd0a008de7ea4cd8650,UNKNOWN,UNKNOWN,protocol_runtime_candidate,UNKNOWN,UNREVIEWED_TEXT,INVENTORIED_NOT_COPIED,small text/runtime candidate under allowed roots
/mnt/sdc/dty_user/openvla_attack/manifests/cross_suite_clean1500_gpu6_even.jsonl,manifests/cross_suite_clean1500_gpu6_even.jsonl,jsonl,149175,1782661500.3469203,c436b3787f53b6ba57c48d1443e19df9d6793871b1befde4b01689b3b4461f76,UNKNOWN,UNKNOWN,protocol_runtime_candidate,UNKNOWN,UNREVIEWED_TEXT,INVENTORIED_NOT_COPIED,small text/runtime candidate under allowed roots
/mnt/sdc/dty_user/openvla_attack/manifests/cross_suite_clean1500_gpu6_odd.jsonl,manifests/cross_suite_clean1500_gpu6_odd.jsonl,jsonl,149175,1782661500.3509202,c3ec8642e43a265bb94c4ec30d29634ff491cadaf1be0ed67423a36155e99f51,UNKNOWN,UNKNOWN,protocol_runtime_candidate,UNKNOWN,UNREVIEWED_TEXT,INVENTORIED_NOT_COPIED,small text/runtime candidate under allowed roots
/mnt/sdc/dty_user/openvla_attack/manifests/cross_suite_clean1500_gpu7_odd.jsonl,manifests/cross_suite_clean1500_gpu7_odd.jsonl,jsonl,150550,1782669068.6397982,b83fe854b15cfac52db698c174468b0b2a83d30266ef6e479d385218f85cd425,UNKNOWN,UNKNOWN,protocol_runtime_candidate,UNKNOWN,UNREVIEWED_TEXT,INVENTORIED_NOT_COPIED,small text/runtime candidate under allowed roots
/mnt/sdc/dty_user/openvla_attack/manifests/cross_suite_clean1500_jobs_v1.jsonl,manifests/cross_suite_clean1500_jobs_v1.jsonl,jsonl,904850,1782659233.9612505,306487ad00b9d32247c57f49b6235b3a6e62dae9ba931a631ef7fa7b8f1b66c2,UNKNOWN,UNKNOWN,protocol_runtime_candidate,UNKNOWN,UNREVIEWED_TEXT,INVENTORIED_NOT_COPIED,small text/runtime candidate under allowed roots
/mnt/sdc/dty_user/openvla_attack/manifests/cross_suite_clean1500_jobs_v1.jsonl.sha256,manifests/cross_suite_clean1500_jobs_v1.jsonl.sha256,sha256,102,1782659233.9612505,819a8d5b44cbbc950fd4171ce2d9f94884c6f38edd07cf604770eae4588dee6d,UNKNOWN,UNKNOWN,protocol_runtime_candidate,UNKNOWN,UNREVIEWED_TEXT,INVENTORIED_NOT_COPIED,small text/runtime candidate under allowed roots
/mnt/sdc/dty_user/openvla_attack/manifests/object_breadth_120.csv,manifests/object_breadth_120.csv,csv,45833,1782488502.6187959,1a7f5f0e534a3c5a7453478c5ea2d65c364eefdefad39edb63de7156ad724e24,UNKNOWN,UNKNOWN,protocol_runtime_candidate,UNKNOWN,UNREVIEWED_TEXT,INVENTORIED_NOT_COPIED,small text/runtime candidate under allowed roots
/mnt/sdc/dty_user/openvla_attack/manifests/object_breadth_120.jsonl,manifests/object_breadth_120.jsonl,jsonl,91531,1782488502.6187959,b0b0fb4c01ebbab4081fbe69cd8544503d5de37121abeb5229ef9828ae702f8f,UNKNOWN,UNKNOWN,protocol_runtime_candidate,UNKNOWN,UNREVIEWED_TEXT,INVENTORIED_NOT_COPIED,small text/runtime candidate under allowed roots
/mnt/sdc/dty_user/openvla_attack/manifests/object_breadth_120.sha256,manifests/object_breadth_120.sha256,sha256,65,1782488502.622796,eebe510b40f187cfa21f75e9d4e0d62b1fde66eefb66c57f999ea85b29a36462,UNKNOWN,UNKNOWN,protocol_runtime_candidate,UNKNOWN,UNREVIEWED_TEXT,INVENTORIED_NOT_COPIED,small text/runtime candidate under allowed roots
/mnt/sdc/dty_user/table1_sota_execution_v1/audits/ADAPTED_FREEZEVLA_IMPLEMENTATION_GAP.json,/mnt/sdc/dty_user/table1_sota_execution_v1/audits/ADAPTED_FREEZEVLA_IMPLEMENTATION_GAP.json,json,378,1782899204.4392948,39c2a1452dac0d3128d9ada8fa502e18bdf11838d95046b8419b8520c6ea5d79,UNKNOWN,UNKNOWN,protocol_runtime_candidate,UNKNOWN,UNREVIEWED_TEXT,INVENTORIED_NOT_COPIED,small text/runtime candidate under allowed roots
/mnt/sdc/dty_user/table1_sota_execution_v1/audits/ORACLE_MANIFEST_AUDIT.json,/mnt/sdc/dty_user/table1_sota_execution_v1/audits/ORACLE_MANIFEST_AUDIT.json,json,1117,1782896522.7181656,eacf8a643ff155db61fa5724993693ad6e5050f35bc06f7c2d9242f2eb40b36c,UNKNOWN,UNKNOWN,protocol_runtime_candidate,UNKNOWN,UNREVIEWED_TEXT,INVENTORIED_NOT_COPIED,small text/runtime candidate under allowed roots
/mnt/sdc/dty_user/table1_sota_execution_v1/audits/SOTA_CORE_SHA256_DEPLOYED.txt,/mnt/sdc/dty_user/table1_sota_execution_v1/audits/SOTA_CORE_SHA256_DEPLOYED.txt,txt,970,1782963237.8250995,7ecd68cdf80b8716b1d80715c068a25f7e0dcb9474e4c1654e3c14a220b238f8,UNKNOWN,UNKNOWN,protocol_runtime_candidate,UNKNOWN,UNREVIEWED_TEXT,INVENTORIED_NOT_COPIED,small text/runtime candidate under allowed roots
/mnt/sdc/dty_user/table1_sota_execution_v1/audits/UADA_IMPLEMENTATION_GAP.json,/mnt/sdc/dty_user/table1_sota_execution_v1/audits/UADA_IMPLEMENTATION_GAP.json,json,407,1782899204.4392948,d7db8ec176f9386115ef76298fc70e757fc43621a8a9ef361ee4552b4af0c39d,UNKNOWN,UNKNOWN,protocol_runtime_candidate,UNKNOWN,UNREVIEWED_TEXT,INVENTORIED_NOT_COPIED,small text/runtime candidate under allowed roots
/mnt/sdc/dty_user/table1_sota_execution_v1/audits/UPA_IMPLEMENTATION_GAP.json,/mnt/sdc/dty_user/table1_sota_execution_v1/audits/UPA_IMPLEMENTATION_GAP.json,json,333,1782899204.4392948,cff3f11138cdabd52bebfe060eb40889722a5d7c1f417d8c73d143eef46560bf,UNKNOWN,UNKNOWN,protocol_runtime_candidate,UNKNOWN,UNREVIEWED_TEXT,INVENTORIED_NOT_COPIED,small text/runtime candidate under allowed roots
/mnt/sdc/dty_user/table1_sota_execution_v1/audits/evidence_snapshot/EVIDENCE_SNAPSHOT_89e8d91.json,/mnt/sdc/dty_user/table1_sota_execution_v1/audits/evidence_snapshot/EVIDENCE_SNAPSHOT_89e8d91.json,json,1342,1782973857.0985901,c27adb0138eb8dba3ec51aaf03e1407458a5c36c9199472f2b333e264a3eb049,UNKNOWN,UNKNOWN,protocol_runtime_candidate,UNKNOWN,UNREVIEWED_TEXT,INVENTORIED_NOT_COPIED,small text/runtime candidate under allowed roots
/mnt/sdc/dty_user/table1_sota_execution_v1/audits/evidence_snapshot/FREEZE_ENVELOPE.json,/mnt/sdc/dty_user/table1_sota_execution_v1/audits/evidence_snapshot/FREEZE_ENVELOPE.json,json,537,1782973856.9225874,741a82a13b07b285e51828ce6e1b1e3067d1c42e19ae54010e563329dadd95ff,UNKNOWN,UNKNOWN,protocol_runtime_candidate,UNKNOWN,UNREVIEWED_TEXT,INVENTORIED_NOT_COPIED,small text/runtime candidate under allowed roots
/mnt/sdc/dty_user/table1_sota_execution_v1/audits/evidence_snapshot/SHUFFLED_STUDENT_CANARY_PASS.json,/mnt/sdc/dty_user/table1_sota_execution_v1/audits/evidence_snapshot/SHUFFLED_STUDENT_CANARY_PASS.json,json,840,1782973856.9265876,c37f941307514f2212923680bfe4e6dfa38864261392ef73f96ab65a0c5b6c2a,UNKNOWN,UNKNOWN,protocol_runtime_candidate,UNKNOWN,UNREVIEWED_TEXT,INVENTORIED_NOT_COPIED,small text/runtime candidate under allowed roots
/mnt/sdc/dty_user/table1_sota_execution_v1/audits/evidence_snapshot/SOTA_CORE_SHA256_DEPLOYED.txt,/mnt/sdc/dty_user/table1_sota_execution_v1/audits/evidence_snapshot/SOTA_CORE_SHA256_DEPLOYED.txt,txt,970,1782973856.9265876,7ecd68cdf80b8716b1d80715c068a25f7e0dcb9474e4c1654e3c14a220b238f8,UNKNOWN,UNKNOWN,protocol_runtime_candidate,UNKNOWN,UNREVIEWED_TEXT,INVENTORIED_NOT_COPIED,small text/runtime candidate under allowed roots
/mnt/sdc/dty_user/table1_sota_execution_v1/audits/evidence_snapshot/TMA_RANDOM_TIME_CANARY_PASS.json,/mnt/sdc/dty_user/table1_sota_execution_v1/audits/evidence_snapshot/TMA_RANDOM_TIME_CANARY_PASS.json,json,815,1782973856.9265876,9bbaa56c87ce790cff54c67b93fc51ec1bcde63bb600abd192dcd18fb9e11d8d,UNKNOWN,UNKNOWN,protocol_runtime_candidate,UNKNOWN,UNREVIEWED_TEXT,INVENTORIED_NOT_COPIED,small text/runtime candidate under allowed roots
/mnt/sdc/dty_user/table1_sota_execution_v1/audits/evidence_snapshot/TMA_STUDENT_CANARY_PASS.json,/mnt/sdc/dty_user/table1_sota_execution_v1/audits/evidence_snapshot/TMA_STUDENT_CANARY_PASS.json,json,788,1782973856.9265876,602ed51177c6072fdc4f959796030a5b5ac3df96e21ee9eb5b679675babe4a60,UNKNOWN,UNKNOWN,protocol_runtime_candidate,UNKNOWN,UNREVIEWED_TEXT,INVENTORIED_NOT_COPIED,small text/runtime candidate under allowed roots
/mnt/sdc/dty_user/table1_sota_execution_v1/audits/evidence_snapshot/UMA_STUDENT_CANARY_PASS.json,/mnt/sdc/dty_user/table1_sota_execution_v1/audits/evidence_snapshot/UMA_STUDENT_CANARY_PASS.json,json,786,1782973856.9265876,4e014065dffff74d5a8377eb7ae50076e5883b2240d1e097e92154c4c434039a,UNKNOWN,UNKNOWN,protocol_runtime_candidate,UNKNOWN,UNREVIEWED_TEXT,INVENTORIED_NOT_COPIED,small text/runtime candidate under allowed roots
