step,action_hash_pre,action_hash_post,action_identical,env_action_hash,obs_hash
0,04bb2ffa0f3f5ff22d9a533df90d7513c66e906fb16d28941dcd215a36fbdb9c,04bb2ffa0f3f5ff22d9a533df90d7513c66e906fb16d28941dcd215a36fbdb9c,1,125a129b0f574160e1e71450dea53101bebac15cdf46ac5bea743e20fcbc6b3c,e0e6934496f86e40f9f44e6725d5e783225eb8bd9d69e8ae2f564b8345b90129
1,04bb2ffa0f3f5ff22d9a533df90d7513c66e906fb16d28941dcd215a36fbdb9c,04bb2ffa0f3f5ff22d9a533df90d7513c66e906fb16d28941dcd215a36fbdb9c,1,125a129b0f574160e1e71450dea53101bebac15cdf46ac5bea743e20fcbc6b3c,6121a1e0cf59e01ec6f1fd4cca197fe8f8029e8c95a9d05749df87a9d72694f8
2,739c17896a61722ffedbfe2a86af90e8b81e95daf4634cd746d60e58cf0c4765,739c17896a61722ffedbfe2a86af90e8b81e95daf4634cd746d60e58cf0c4765,1,4acb8ec32953bf689c483fe1676bb5510026a0d6278c71e04365c5f9e2bfe0f4,3d0161b8933d1e19fc80dcada5f541b7e014a30850addce42ff5d5bbc65bc1ce
3,c05ec8e9c0befac2bacb8b954138d6146a5abbecde53269446c90d73fc23d75a,c05ec8e9c0befac2bacb8b954138d6146a5abbecde53269446c90d73fc23d75a,1,deda048afad0f6e75cfa3bee2c9a29e363e90b0a272a686c8f1472ec273b9d14,59a23f8efafb72b9618c5e7c3b8ae25470d93e067cdb5e94c0fa7f931ba9c4f9
4,f3c1fab8f0d2f60f9fcd217f01507bfa06884fa8fe89bb6a2978fa361e30dcb3,f3c1fab8f0d2f60f9fcd217f01507bfa06884fa8fe89bb6a2978fa361e30dcb3,1,74e4170593504144c3d5ef98369de80672229d875b36660caf3b5f91f6c2fe9a,304024711b26b78fe671fd1ab9fd19c1fa0be0e329c0427edd5020612444ed26
5,00ef21a6a33fc5ade8ece4489701ad2b02a1e6a2ed2e56fc2d4cebb7bf10c6dc,00ef21a6a33fc5ade8ece4489701ad2b02a1e6a2ed2e56fc2d4cebb7bf10c6dc,1,78c6ac50aa9cd52bba732047a137fa62bf8b4918908251a50da53b647ba35073,c82d5c12a6b8c2a51563b84d7f120acc61e64806a8a720c2a4d54633afbe4903
6,6b286826cdcbe40617be4e0a85e029bbf8230b9a55c856694f76682ef4856007,6b286826cdcbe40617be4e0a85e029bbf8230b9a55c856694f76682ef4856007,1,c51eb946b39a939825595b94c75d26f3bd9dd7f8d5e7fc42be0e98254e51330b,7d300951fa48ea713f584ddd37be90d6b802265c8309f9362d146d55f9b11af4
7,4c7a174a065046db8fe6c4c762d83f95c0edc8a582ab5071da661659c772c70f,4c7a174a065046db8fe6c4c762d83f95c0edc8a582ab5071da661659c772c70f,1,c4f9d9de331f95fd24e924ce446e6ff1d4593e5dca7d4d788c2cf86db0bdbf5b,4c0fbddab1247a94fc4ebfc242d9ce0041be54663285bbb04b5b0a5628d4bfbd
8,a6bf5b0cff788b2310fd93f256802e94ec947cb9f368cd337fc415e341defbab,a6bf5b0cff788b2310fd93f256802e94ec947cb9f368cd337fc415e341defbab,1,8a9c88aa461e69cd18c0765eb84ef78b354b726922c63d51ce28b3fb472e554b,ddf78a693824680212ce1bf470e751e8785c6e08e77affab2b83e5f59316e766
9,f630d15e0dfca0dfd54764a43da0544ed9e46e2540cec550c38b58e7c6b9842d,f630d15e0dfca0dfd54764a43da0544ed9e46e2540cec550c38b58e7c6b9842d,1,cc989a8c7d090d01e38e39f64b3c5e45d19e561474d37745404c9e00b6747e9f,d80831326115977312b9a89d0cd4fb7a5a1f3745ccfc65bc4d6284840679bec4
10,306fa6d935eed0921739f86fccb69737743bd1f4e16a045a2dcec95299c6a101,306fa6d935eed0921739f86fccb69737743bd1f4e16a045a2dcec95299c6a101,1,7d615265bbedc30f70afdeefd39e0268c42459121b5311f90cdadc8b52d50332,bac273863455a6f3e49b9e33e54c2abe64dc9b0959f86449212e561e071d7983
11,bdcc7d19bd227db5d2230201e7b27721832589a24fa8d83addee15ba1ebfba0f,bdcc7d19bd227db5d2230201e7b27721832589a24fa8d83addee15ba1ebfba0f,1,28b10e15de146530993a13c6d627533e115fb65909fa02b05a76f0a1b21a7838,ebd5596a51e197af7ad3055bbd331e71873462b8a1360761779df60a1d7cf643
12,828b0b26a79145d8cc869bc71fc24e05cfb42464c644867f11f3fa48bd009688,828b0b26a79145d8cc869bc71fc24e05cfb42464c644867f11f3fa48bd009688,1,541e2b8212ef16f98015caf76f215ef2aab48aaf7fb0613c7f355fbee9923b97,6c20e18584b8b2c5cb6eea9dba590463cb2905031d79ea5aeda65fe3faae2f18
13,ce2606dddff6078c5128b5fe842f32a9eeed3f96c9b00212af78dc7d322a4ab4,ce2606dddff6078c5128b5fe842f32a9eeed3f96c9b00212af78dc7d322a4ab4,1,284efda5cc086d4754b814cd7fde057082b1a053c99973b84208570efda7554f,19694b40ea28405c80224bbc1c8375a626efe1b219700669fd7a41c800588b77
14,38178b39be17a87a98db515140e392eaf323ea61ae872bbb2b16fae7a684588e,38178b39be17a87a98db515140e392eaf323ea61ae872bbb2b16fae7a684588e,1,67266a6bf6e672016cbf4ffabb809918e5391d3ee8c1b1401debb3028842a116,8d84c29ff685b31cc54335c60e7b97793da19467603e3977236df48329b49e15
