step,task,state_id,raw_gripper,env_gripper,gripper_qpos_before,gripper_qpos_after,eef_x,eef_y,eef_z,decoded_open,raw_valid,env_valid,qpos_valid,eef_valid,convention_ok,semantics_ok,success_done,success_check
0,tomato_sauce,6,0.996078,-1.0,6.3e-07,5.6e-07,-0.156127,-0.006095,0.256755,1,1,1,1,1,1,1,0,0
1,tomato_sauce,6,0.996078,-1.0,5.6e-07,-4e-06,-0.156073,-0.006095,0.256529,1,1,1,1,1,1,1,0,0
2,tomato_sauce,6,0.996078,-1.0,-4e-06,-3.06e-06,-0.155805,-0.006198,0.256269,1,1,1,1,1,1,1,0,0
3,tomato_sauce,6,0.996078,-1.0,-3.06e-06,-2.92e-06,-0.155399,-0.006231,0.25605,1,1,1,1,1,1,1,0,0
4,tomato_sauce,6,0.996078,-1.0,-2.92e-06,-2.89e-06,-0.154951,-0.006234,0.255816,1,1,1,1,1,1,1,0,0
5,tomato_sauce,6,0.996078,-1.0,-2.89e-06,-2.66e-06,-0.154735,-0.006262,0.255627,1,1,1,1,1,1,1,0,0
6,tomato_sauce,6,0.996078,-1.0,-2.66e-06,5.6e-07,-0.154419,-0.006282,0.255534,1,1,1,1,1,1,1,0,0
7,tomato_sauce,6,0.996078,-1.0,5.6e-07,-9.6e-07,-0.15395,-0.005741,0.255437,1,1,1,1,1,1,1,0,0
8,tomato_sauce,6,0.996078,-1.0,-9.6e-07,1.2e-06,-0.153441,-0.005172,0.255301,1,1,1,1,1,1,1,0,0
9,tomato_sauce,6,0.996078,-1.0,1.2e-06,2.74e-06,-0.152624,-0.004454,0.255097,1,1,1,1,1,1,1,0,0
10,tomato_sauce,6,0.996078,-1.0,2.74e-06,-3e-08,-0.151864,-0.003193,0.254907,1,1,1,1,1,1,1,0,0
11,tomato_sauce,6,0.996078,-1.0,-3e-08,-2.8e-06,-0.150621,-0.002328,0.254519,1,1,1,1,1,1,1,0,0
12,tomato_sauce,6,0.996078,-1.0,-2.8e-06,-2.42e-06,-0.146864,-0.002346,0.253771,1,1,1,1,1,1,1,0,0
13,tomato_sauce,6,0.996078,-1.0,-2.42e-06,-4.3e-06,-0.142189,-0.002262,0.252719,1,1,1,1,1,1,1,0,0
14,tomato_sauce,6,0.996078,-1.0,-4.3e-06,-6.14e-06,-0.136883,-0.002341,0.251793,1,1,1,1,1,1,1,0,0
15,tomato_sauce,6,0.996078,-1.0,-6.14e-06,-7.01e-06,-0.130288,-0.002674,0.250576,1,1,1,1,1,1,1,0,0
16,tomato_sauce,6,0.996078,-1.0,-7.01e-06,-9.55e-06,-0.12295,-0.002833,0.249093,1,1,1,1,1,1,1,0,0
17,tomato_sauce,6,0.996078,-1.0,-9.55e-06,-1.246e-05,-0.114841,-0.002957,0.247414,1,1,1,1,1,1,1,0,0
18,tomato_sauce,6,0.996078,-1.0,-1.246e-05,-1.806e-05,-0.106171,-0.003124,0.245559,1,1,1,1,1,1,1,0,0
19,tomato_sauce,6,0.996078,-1.0,-1.806e-05,-2.332e-05,-0.097712,-0.003661,0.243298,1,1,1,1,1,1,1,0,0
20,tomato_sauce,6,0.996078,-1.0,-2.332e-05,-2.913e-05,-0.08915,-0.004741,0.240984,1,1,1,1,1,1,1,0,0
21,tomato_sauce,6,0.996078,-1.0,-2.913e-05,-3.681e-05,-0.079936,-0.006364,0.238935,1,1,1,1,1,1,1,0,0
