step,model_inference_us,detector_update_us,env_step_us
0,2582962,55,24629
1,1167055,25,24729
2,1167386,21,23038
3,1160771,21,23024
4,1168164,23,23084
5,1163535,22,22916
6,1189645,63,24707
7,1158634,40,22678
8,1165404,20,23361
9,1162584,21,22542
10,1161567,19,22712
11,1164725,21,23951
12,1160883,21,22298
13,1172646,21,22419
14,1167122,23,22535
15,1170700,55,23702
16,1161550,20,22447
17,1159527,17,21861
18,1162916,23,23170
19,1158554,19,22243
20,1172918,21,22666
21,1163200,20,23108
22,1168640,20,23454
23,1157159,19,23057
24,1157824,21,22380
25,1157036,19,22378
26,1158648,20,22986
27,1180274,23,23859
28,1160011,19,22253
29,1166336,20,24171
30,1161199,21,24224
31,1169243,20,23309
32,1189104,30,23443
33,1165752,54,23001
34,1181978,22,23256
35,1156389,18,24670
36,1162445,24,23259
37,1159400,21,23120
38,1176762,21,23280
39,1162362,20,22242
40,1158696,26,21928
41,1175855,20,22426
42,1189446,21,24028
43,1167367,21,22827
44,1163217,21,22534
45,1159732,19,22681
46,1163156,21,22530
47,1169331,17,22462
48,1164114,19,22896
49,1172606,22,23401
50,1167605,20,22806
51,1161502,21,22183
52,1164741,20,22801
53,1161956,21,22523
54,1168135,22,22720
55,1178933,21,23384
56,1166020,20,22476
57,1168217,21,23914
58,1179264,21,25126
59,1161360,19,34374
60,1163090,21,32711
61,1159810,19,27966
62,1180577,21,30761
63,1166548,21,30705
64,1170572,24,33193
65,1163443,22,30088
66,1159047,3603,30143
67,1161602,55,29172
68,1159472,22,27906
69,1181914,20,26681
70,1163822,21,27242
71,1179481,21,26292
72,1167906,20,25878
73,1166642,29,25861
74,1182869,21,26217
75,1189607,23,28128
76,1176148,62,28234
77,1164377,18,26521
78,1179708,20,26165
79,1164843,20,26497
80,1164591,21,27373
81,1162995,20,34636
82,1168981,53,28727
83,1182455,22,28636
84,1178052,20,27235
85,1176017,21,27505
86,1160628,19,27325
87,1161874,21,27860
88,1162449,19,26893
89,1161199,19,26878
90,1166795,51,27889
91,1161573,21,26713
92,1178557,21,26941
93,1166184,19,26490
94,1172214,20,27516
95,1164158,20,27286
96,1184322,21,28749
97,1165558,21,28376
98,1166046,20,28022
99,1174457,20,27631
100,1178216,19,28932
101,1174424,24,28181
102,1162920,21,27316
103,1162524,19,26861
104,1180654,20,27813
105,1175202,19,27650
106,1169810,22,27681
107,1163815,52,27631
108,1188166,30,28577
109,1191983,24,28845
110,1162973,19,27509
111,1167282,20,27380
112,1162977,19,27020
113,1160612,20,27191
114,1159174,18,26603
115,1192389,20,28108
116,1162557,19,27405
117,1163949,21,28123
118,1176899,21,29624
119,1165064,19,27978
120,1160914,20,27698
121,1162525,20,27758
122,1186646,21,29760
123,1172315,28,28524
124,1170934,21,28945
125,1172551,23,28469
126,1184340,6171,29103
127,1163921,23,28259
128,1172596,31,27724
129,1172318,20,28027
130,1166970,19,26533
131,1175706,5631,26972
132,1163055,18,26830
133,1160100,18,26941
134,1164493,20,27673
135,1173203,21,29439
136,1190595,22,28521
137,1167731,27,27691
138,1182355,6292,28806
139,1162555,17,26313
140,1164551,49,26530
141,1177094,24,27212
142,1162429,27,26627
143,1179985,24,27842
144,1164895,19,24802
145,1177987,20,24541
146,1164218,21,24712
147,1174206,21,24927
148,1161868,29,22259
