experiment,condition,formal_status,paper_usable,supported_claim,forbidden_claim,missing_evidence,recommended_action
OBJ-CLEAN,CLEAN,FROZEN_FORMAL_EVIDENCE,YES,"Clean baseline: 162/162 episodes succeed with 0% failure rate under no-attack condition","The specific epsilon/PGD/K parameters are verified by artifact","Command-line provenance; config SHA; code commit SHA; aggregation script audit","RSYNC evidence to local; SHA-hash config + checkpoint + manifest; capture aggregation script"
OBJ-RAND_T10,RAND_T10,FROZEN_FORMAL_EVIDENCE,YES,"Random trigger T=10: perturbation placed at random timestep does not degrade success rate (0% FR)","Random timing attack has no effect on any VLA model","Same as CLEAN","Same as CLEAN"
OBJ-RANDOM_TIME_V3,RANDOM_TIME_V3,FROZEN_FORMAL_EVIDENCE,YES,"Random timing V3: 119/162 success, 26.5% FR — random timing alone causes measurable but limited degradation","Random timing accounts for all of TRUE_T10 effect","Per-failure analysis of 43 failed episodes; timing distribution audit; per-episode artifact verification","Audit 43 failures for root cause; verify RANDOM_TIME_V3 vs invalid RANDOM_TIME V1 difference"
OBJ-EARLY_SHIFT_T10,EARLY_SHIFT_T10,FROZEN_FORMAL_EVIDENCE,YES,"Early shift T=10: 98/141 success, 30.5% FR — early perturbation causes limited degradation comparable to random timing","Early shift is equivalent to TRUE_T10","Emission-matching verification (why 141 not 162); per-episode emission documentation","Verify all 141 emissions match TRUE_T10 emission set; document 21 no-emission episodes"
OBJ-TRUE_T10,TRUE_T10,FROZEN_FORMAL_EVIDENCE,YES,"TRUE_T10 ITT: 21/162 success, 87.0% FR. TRUE_T10 emitted-only: 0/141 success, 100.0% FR. The attack is highly effective when aligned with contact-critical phase.","The attack works on all models/tasks without timing specificity","21 no-emission episodes documentation; ITT vs emitted denominator reconciliation; per-episode success/failure audit","Document all 21 no-emission episodes; reconcile ITT and emitted denominators; verify 0/141 emitted claim against artifacts"
OBJ-COMMAND_OPEN_ORACLE,COMMAND_OPEN_ORACLE_T10,FROZEN_FORMAL_EVIDENCE,YES,"Oracle OPEN command: 0/141 success, 100.0% FR — forcing gripper OPEN at attack step is sufficient to cause failure","Oracle proves the attack mechanism is exclusively OPEN-command","Oracle injection method documentation; per-episode verification that OPEN was indeed commanded","Document oracle injection method; verify gripper state at attack frame for all episodes"
TMA-STUDENT,TMA_STUDENT,EXPLORATORY_CANARY,NO,"TMA Student is an exploratory timing-matched attack canary from an external baseline","TMA Student is a formal paper baseline","Frozen protocol compliance; formal validator for UMA/SHUFFLED pairs; output artifacts","Retain as canary; do not upgrade to formal baseline; formal validator already passed"
TMA-RT,TMA_RANDOM_TIME,EXPLORATORY_CANARY,NO,"TMA Random-Time is an exploratory canary","TMA Random-Time is a formal paper baseline","1 missing episode (fold_01 s0 d3 p1); formal validator not run; output artifacts not verified","Retain as canary; run formal validator if completeness needed; fix missing episode if needed"
UMA,UMA,INCOMPLETE_PAUSED_NOT_FOR_SCIENTIFIC_USE,NO,"UMA exploratory canary was attempted but incomplete (43/162 completed, 70% failure rate)","UMA results support any scientific claim","Output artifacts (none persisted); formal validator; 70% of jobs failed with code errors; bridge cleanup removed partial artifacts","Do NOT recover; archive logs; fix GPU-specific code error before any consideration of re-run"
SHUFFLED,SHUFFLED,INCOMPLETE_PAUSED_NOT_FOR_SCIENTIFIC_USE,NO,"SHUFFLED exploratory canary was attempted but incomplete (16/162 completed, 85% failure rate)","SHUFFLED results support any scientific claim","Output artifacts (none persisted); formal validator; 85% failure rate; field catastrophic","Do NOT recover; archive logs"
CLEAN2000,CLEAN,MULTI,NO,"CLEAN2000: 2000 cross-suite episodes collected, 1043 (52%) validated as primary with features and teacher labels","CLEAN2000 is ready for pooled/LOSO detector training","957 non-primary episodes audit; cross-suite teacher labels (Spatial/Goal/10); mechanism ambiguity resolution; train/val/test split integrity verification","Audit non-primary episodes; complete teacher labeling; validate split; do NOT start training"
LOTO-DETECTOR,LOTO,EXPLORATORY_CANARY,NO,"LOTO 10-fold detector: 8/9 folds trained on Object-only data","LOTO detector generalizes to other suites","Fold 01 training; checkpoint SHA for folds 02-09; cross-suite zero-shot evaluation","Complete fold 01 training if needed; hash all checkpoints; do NOT claim cross-suite generalization"
POOLED-DETECTOR,POOLED,CODE_ONLY_NOT_RUN,NO,"Pooled detector design exists but not trained","Pooled detector results exist","Training data not ready (CLEAN2000 at 52% primary); no training run executed","Complete CLEAN2000 labeling before training"
LOSO-DETECTOR,LOSO,CODE_ONLY_NOT_RUN,NO,"LOSO detector design exists but not trained","LOSO cross-suite generalization results exist","No training manifests; no data ready; design not finalized","Do not start; requires CLEAN2000 + split design"
CROSS-SUITE-DATA,CLEAN,CODE_ONLY_NOT_RUN,NO,"Cross-suite data collection script exists","Cross-suite data has been collected","Collection script is dirty; data directory nearly empty; cross-suite not executed","Audit collection script; assess feasibility"
