job_id,condition,role,gpu_id,pid,start_time,last_activity,status,completed_count,failed_count,planned_count,log_file,command_summary,kill_status
UMA-GPU0,UMA,worker_launcher,0,503569,2026-07-02T14:30,2026-07-02T14:36,failed_fast,0,21,21,full_uma_gpu0.log,run_sota_worker.py GPU0 UMA/manifest_gpu0.jsonl,KILLED 2026-07-02T14:30
UMA-GPU1,UMA,worker_launcher,1,503570,2026-07-02T14:30,2026-07-02T14:36,failed_fast,0,21,21,full_uma_gpu1.log,run_sota_worker.py GPU1 UMA/manifest_gpu1.jsonl,KILLED 2026-07-02T14:30
UMA-GPU2,UMA,worker_launcher,2,503571,2026-07-02T14:30,2026-07-02T14:36,failed_fast,0,20,20,full_uma_gpu2.log,run_sota_worker.py GPU2 UMA/manifest_gpu2.jsonl,KILLED 2026-07-02T14:30
UMA-GPU3,UMA,worker_launcher,3,503572,2026-07-02T14:30,2026-07-02T14:30,interrupted_mid_job,15,0,20,full_uma_gpu3.log,run_sota_worker.py GPU3 UMA/manifest_gpu3.jsonl,KILLED 2026-07-02T14:30
UMA-GPU4,UMA,worker_launcher,4,503573,2026-07-02T14:30,2026-07-02T14:30,interrupted_mid_job,14,2,20,full_uma_gpu4.log,run_sota_worker.py GPU4 UMA/manifest_gpu4.jsonl,KILLED 2026-07-02T14:30
UMA-GPU5,UMA,worker_launcher,5,503574,2026-07-02T14:30,2026-07-02T14:36,failed_fast,0,20,20,full_uma_gpu5.log,run_sota_worker.py GPU5 UMA/manifest_gpu5.jsonl,KILLED 2026-07-02T14:30
UMA-GPU6,UMA,worker_launcher,6,503575,2026-07-02T14:30,2026-07-02T14:30,interrupted_mid_job,14,0,20,full_uma_gpu6.log,run_sota_worker.py GPU6 UMA/manifest_gpu6.jsonl,KILLED 2026-07-02T14:30
UMA-GPU7,UMA,worker_launcher,7,503576,2026-07-02T14:30,2026-07-02T14:36,failed_fast,0,20,20,full_uma_gpu7.log,run_sota_worker.py GPU7 UMA/manifest_gpu7.jsonl,KILLED 2026-07-02T14:30
UMA-BRIDGE-1,UMA,bridge_process,3,912119,unknown,2026-07-02T14:30,unknown_at_kill,unknown,unknown,unknown,unknown,unknown,UNKNOWN_SSH_DISCONNECTED
UMA-BRIDGE-2,UMA,bridge_process,4,913458,unknown,2026-07-02T14:30,unknown_at_kill,unknown,unknown,unknown,unknown,unknown,UNKNOWN_SSH_DISCONNECTED
UMA-BRIDGE-3,UMA,bridge_process,6,914525,unknown,2026-07-02T14:30,unknown_at_kill,unknown,unknown,unknown,unknown,unknown,UNKNOWN_SSH_DISCONNECTED
UMA-BRIDGE-4,UMA,bridge_process,6,914593,unknown,2026-07-02T14:30,unknown_at_kill,unknown,unknown,unknown,unknown,unknown,UNKNOWN_SSH_DISCONNECTED
SHUFFLED-GPU0,SHUFFLED,worker_launcher,0,503569,2026-07-02T14:30,2026-07-02T14:36,failed_fast,0,21,21,full_shuffled_gpu0.log,run_sota_worker.py GPU0 SHUFFLED/manifest_gpu0.jsonl,KILLED 2026-07-02T14:30
SHUFFLED-GPU1,SHUFFLED,worker_launcher,1,503570,2026-07-02T14:30,2026-07-02T14:36,failed_fast,0,21,21,full_shuffled_gpu1.log,run_sota_worker.py GPU1 SHUFFLED/manifest_gpu1.jsonl,KILLED 2026-07-02T14:30
SHUFFLED-GPU2,SHUFFLED,worker_launcher,2,503571,2026-07-02T14:30,2026-07-02T14:36,failed_fast,0,20,20,full_shuffled_gpu2.log,run_sota_worker.py GPU2 SHUFFLED/manifest_gpu2.jsonl,KILLED 2026-07-02T14:30
