gap_id,component,phase,task_ids,status,current_paths,current_tests,frozen_requirement,observed_behavior,gap_or_risk,scientific_impact,priority,recommended_change,new_files_expected,existing_files_expected,server_needed,gpu_needed,execution_authorized,review_gate
G001,Label V2 downstream ingestion,C1,C1_01|C1_02,EXISTS_AND_REVIEWED_AFTER_C1,"tools/multisuite_detector/load_label_v2_artifact.py; tools/multisuite_detector/build_clean2000_label_v2.py","tests/test_load_label_v2_artifact.py; tests/test_build_clean2000_label_v2.py; py_compile PASS","Downstream consumers must read Label V2 five-file artifact exactly and validate schema/SHA/file-set closure","Read-only five-file loader validates exact file set, SHA256SUMS, strict CSV schemas, formal counts, manual sample, manifest, summary, builder identity, and CLI stdout JSON","Feature dataset code is not yet wired to this loader; C2 must reuse it instead of reading legacy labels","C1 closes five-file ingestion but does not authorize detector dataset construction","P1","In C2, make feature dataset construction consume this loader report and rows as the only Label V2 input","","tools/multisuite_detector/load_label_v2_artifact.py; tests/test_load_label_v2_artifact.py",false,false,false,C1_REVIEW
G002,Frozen feature artifact ingestion,C2,C2_01|C2_03|C2_04,SYNTHETIC_CONTRACT_PASS_REAL_BINDING_PENDING,"tools/multisuite_detector/detector_dataset_closure_v1.py; tools/multisuite_detector/load_frozen_clean_features.py; tools/multisuite_detector/build_detector_dataset_manifest_v1.py; tools/multisuite_detector/build_detector_normalization_v1.py; tools/multisuite_detector/validate_detector_dataset_manifest_v1.py","tests/multisuite_detector/test_detector_dataset_closure_v1.py; py_compile PASS","Detector dataset must join frozen clean feature artifact to Label V2 by exact episode set and 25D order","Synthetic-only C2 contract now validates strict feature CSV schema, exact SC5_FEATURES order, feature schema SHA, exact Label V2 join, DETECTOR_ELIGIBLE/SAFETY populations, multi-event unavailability, train-only normalization, and manifest SHA bindings","real_feature_artifact_binding=PENDING_SCIENTIFIC_BINDING; real_initial_state_hash_provenance=PENDING_SCIENTIFIC_BINDING; formal_detector_dataset_build=NOT_PERFORMED","C2 synthetic contract is ready for review; formal detector dataset build remains unauthorized","P1","In formal C2 execution, bind the reviewed real feature artifact path and initial_state_hash source before building detector data","","tools/multisuite_detector/detector_dataset_closure_v1.py; tests/multisuite_detector/test_detector_dataset_closure_v1.py",false,false,false,C2_REVIEW
G003,25D feature contract,C2,C2_01,EXISTS_AND_REVIEWED,"src/gripper_attack/sc5mlp_v1.py blob 72db0d5; tools/multisuite_detector/extract_frozen_feature_contract.py","py_compile PASS; feature contract direct test blocked local env lacks torch","SC5_FEATURES must be exactly 25 causal features and exclude suite/task/outcome/future fields","Canonical 25D order exists in SC5MLPV1; contract test exists","Local audit could not run torch-dependent test in this environment","Low if CI covers it; high if feature artifact reader is built separately","P1","Keep SC5_FEATURES as single source of truth and require feature_contract_sha256 in dataset manifests","","src/gripper_attack/sc5mlp_v1.py; tools/multisuite_detector/extract_frozen_feature_contract.py",false,false,false,C2_IMPLEMENTATION_REVIEW
G004,Parent/state split closure,C2,C2_02|C2_04,EXISTS_AND_REVIEWED_AFTER_C2_SYNTHETIC,"tools/multisuite_detector/detector_dataset_closure_v1.py; tools/multisuite_detector/build_detector_splits_v1.py; tools/multisuite_detector/validate_detector_dataset_manifest_v1.py","tests/multisuite_detector/test_detector_dataset_closure_v1.py; tests/multisuite_detector/test_split_leakage.py direct run PASS","No parent_key or initial state hash may cross train/val/test; produce parent_random, object_loto, suite_loso manifests","Synthetic C2 split builder now assigns connected components induced by parent_key and initial_state_hash, emits parent_random/object_loto/suite_loso manifests, and validates coverage, duplicate assignment, state leakage, Object held-out task, and LOSO suite exclusion","Formal split ratios and real dataset inputs remain outside this repository-only authorization","Prevents parent/state leakage in synthetic contract; formal splits still await real dataset authorization","P1","Reuse C2 split validator during formal detector dataset build; keep C3 detector training blocked until split artifacts are reviewed","","tools/multisuite_detector/detector_dataset_closure_v1.py; tests/multisuite_detector/test_detector_dataset_closure_v1.py",false,false,false,C2_REVIEW
G005,Detector train/eval CLI hardening,C3,C3_01|C3_02,EXISTS_NEEDS_HARDENING,"tools/multisuite_detector/train_detector.py; tools/multisuite_detector/evaluate_detector.py; tools/multisuite_detector/score_fsm_legacy_v1.py","py_compile PASS; score_fsm smoke PASS","Formal train/eval must bind Label V2, split, normalization, feature schema, checkpoint metric, threshold/FSM, and clean worktree","Strict checkpoint metadata exists; inputs/cohorts are legacy and formal Label V2 manifests are not required","Training can run on unreviewed legacy cohorts or ambiguous checkpoint-selection rule","Gate A2 could freeze a model outside the reviewed denominator","P0","Require detector dataset manifest and frozen population IDs; remove legacy cohort names from formal mode","synthetic formal train/eval smoke","tools/multisuite_detector/train_detector.py; tools/multisuite_detector/evaluate_detector.py",false,false,false,C3_IMPLEMENTATION_REVIEW
G006,Validation-only threshold selection,C3,C3_04,EXISTS_NEEDS_HARDENING,"tools/multisuite_detector/train_detector.py; tools/multisuite_detector/evaluate_detector.py","py_compile PASS","Threshold/FSM must be selected on validation only with frozen primary rule and tie-breakers","Implementation supports val_loss or val_suite_macro_event_f1; protocol still allows either","Architecture/checkpoint selection can remain ambiguous until after results","Selection bias in detector freeze","P0","Freeze one primary checkpoint metric and implement explicit threshold selector with tie-breakers","tools/multisuite_detector/select_detector_thresholds.py; tests","train/evaluate detector CLIs",false,false,false,C3_IMPLEMENTATION_REVIEW
G007,Detector event/timing metrics,C3,C3_03,EXISTS_NEEDS_HARDENING,"tools/multisuite_detector/evaluate_detector.py","py_compile PASS","Report event recall, precision/F1, false trigger, +/-10 recall, no-emit, abstention, per-suite and macro metrics","Core episode metrics exist; Label V2 exclusive-end semantics and all Gate A2 metrics are not fully bound","Metric mismatch can flip pass/fail near timing boundaries","Detector gate may be judged on non-frozen definitions","P0","Normalize Label V2 exclusive windows and add missing Gate A2 metric fields/tests","tests for exclusive window, no-emit ITT, ineligible abstention","tools/multisuite_detector/evaluate_detector.py",false,false,false,C3_IMPLEMENTATION_REVIEW
G008,Detector bundle freeze,C6,C6_01,EXISTS_NEEDS_HARDENING,"tools/multisuite_detector/export_detector_bundle.py; tools/multisuite_detector/verify_detector_bundle.py","py_compile PASS","Bundle must freeze checkpoint, normalization, split, threshold/FSM config, metrics, model SHA, and environment lock","File-set/SHA verification exists; Gate A2 metric/environment binding is incomplete","Downstream attack could load a checkpoint without complete Gate A2 provenance","Runtime detector may not match reviewed checkpoint","P1","Extend bundle schema and verifier for Gate A2 report and threshold/FSM/environment fields","bundle schema tests","export_detector_bundle.py; verify_detector_bundle.py",false,false,false,GATE_A2_REVIEW
G009,Exact-prefix snapshot/restore,C7,C7_01|C7_02,MISSING_IMPLEMENTATION,"none formal found","rg found no formal simulator_state_hash/prefix_action_hash/prefix_observation_hash implementation","Every matched branch must bind simulator state, observation, RNG, FSM/history, step, prefix hashes, checkpoint/config/split SHA","No formal snapshot schema, restore validator, or parity checker exists","Attack effects cannot be attributed causally without exact-prefix equality","Invalidates canary and confirmatory attack claims","P0","Implement snapshot schema and restore/parity validator before any branch queue","tools/exact_prefix/snapshot_schema.py; restore validator tests","none",false,false,false,C7_IMPLEMENTATION_REVIEW
G010,Matched branch queue and same-parent worker assignment,C7|C8,C7_03|C8_02,MISSING_IMPLEMENTATION,"legacy scripts/stageb queue scripts only","no formal tests found","All matched conditions for a parent must share prefix identity and worker assignment; output roots must not overlap","Only legacy Stage-B queues exist; no formal PR #50 condition registry/worker assignment found","Hardware or output-root differences can confound method contrasts","Canary/main matrix would not be auditable","P0","Add formal branch queue builder using task matrix condition IDs and sha256(parent_key) worker assignment","tools/attack_matrix/build_matched_branch_queue.py; tests","legacy scripts/stageb queues as reference only",false,false,false,C7_IMPLEMENTATION_REVIEW
