artifact,sha256
d4_shadow_invalid_states.csv,e302f2b105d271e49ceaab4e2153928614fb9406c0e0bb0c3b43742feffbac4e
e1_clean_acd8bc5_pycompile.log,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
e1_clean_acd8bc5_pytest.log,b7566c7aedd4d5937ff824b9d9c697ca3fc9ca279114596667c293fd9488cf15
E1_CLEAN_RESULT.txt,02886fdb4384e94f40c09d01b95f46a4663250cb0d1edcfb2fddac8eb8d1e59c
e1_pycompile.log,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
e1_pytest.log,a90e7509fa1409ece293a372fcb625d371d9713632ce482b3e7f7ecf03abcf3d
E1_RESULT.txt,49e37865f678338db77f35b9af3ee8f73ade5ceef16183d534d906c59596e6f8
e2_independent_gate_check.txt,31ff20197ffdf359317deb5fd1c97233da7326979d5cb4a315511d2873f40dc9
e2_input_ledger.tsv,3f7c0e53252fc5a0360c202e41361ce60a41e75cd8b9ef1fb58c94849294c465
e2_input_paths.txt,69c66d5106389294f755b8c1f34eed561e1d39c2ce141eafacf4abf0c8dd2123
e2_parity_console.log,691e127658df468864ab511a8054a96479ca2359b9174879687eb9598115e0b3
E2_RESULT.txt,fcd9aa509482e5e0f1479bc2de47a7fa72572165eaf731b0a220f231eb75ca15
e3_freeze_console.log,4e56d0d90d28fb1b24377465560d4d0db97e8b57bec877d5e89ea7715b548c87
e3_freeze_input_ledger.txt,004a6489513a8d175c4e51bf172c8b1a3f4d97b06b4d1e533fbedaa177105289
e3_independent_manifest_check.txt,4dbf8eaa145d72975bc23d0dca0eb7f16bbefe9bd70ccf0c6c3b86a088419edb
E3_RESULT.txt,fd7d146d9efe40834395d0cd0c5647caa5bb8973f324aacf2e43c6bd6ea660b3
execution_provenance.txt,87e0415af0db50a8298c541228aa8f46e4c00f0647653b98af486325e5e14a8f
freeze_artifacts/d4_shadow_exclusions.csv,0aa054ca154f0f59b2c364587762361dd2684e8b76d9080ed50776a448a7eda1
freeze_artifacts/d4_shadow_input_hashes.csv,109829c065df270ae1563638b12b391dac2ce9eb593cfec435f4cbb476f12d06
freeze_artifacts/d4_shadow_state_manifest.csv,e175c0ff6944cdb27c5efaa1892fed102ba3f1269102929f3fef045a6d0b5d2d
parity_artifacts/d4_production_artifact_hashes.csv,e4ff011c95560ebb0f7d89d70714cc682846e4c305b15b10792b53859db934f2
parity_artifacts/d4_production_parity.csv,1f8d8d48e45f6f9ea31c7211751ecc3ddd2d0ffdf2c574c4784c248239ef434a
parity_artifacts/d4_production_run_log.txt,f942b641a3be9d409ed74f40c660b55ec86c68da50efca4f61f9c8a15acd09fd
