artifact_type,review_id,path,size_bytes,sha256,exists
teacher_timeline_csv,v2_dev_000_event_00,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_round_v2/teacher_timelines/v2_dev_000_event_00_teacher_timeline.csv,1176,46c06a3b90105d0d7b259f1f5aa256f64a346d4b8d1838412a124b6ca8494491,true
teacher_timeline_csv,v2_dev_001_event_00,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_round_v2/teacher_timelines/v2_dev_001_event_00_teacher_timeline.csv,1042,d24468e1821c91b3d43040a52e5db7c5175cdda6cfb897716f01115cc7a1c3ce,true
teacher_timeline_csv,v2_dev_002_event_00,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_round_v2/teacher_timelines/v2_dev_002_event_00_teacher_timeline.csv,1041,478ee0b518cb050c3102b683cdfe1208dbeb6f4ee19cb219704b7af8f7979357,true
teacher_timeline_csv,v2_dev_003_event_00,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_round_v2/teacher_timelines/v2_dev_003_event_00_teacher_timeline.csv,1175,3ee48d65eb2075936f956ae2dbdb2853333621815527800ecca218db595355cb,true
teacher_timeline_csv,v2_dev_004_event_00,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_round_v2/teacher_timelines/v2_dev_004_event_00_teacher_timeline.csv,1034,83e21bdde6054d13fe05052a97f1e5208b68c69c1ac768263637c7733df05998,true
teacher_timeline_csv,v2_dev_005_event_00,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_round_v2/teacher_timelines/v2_dev_005_event_00_teacher_timeline.csv,1055,55c4439bfcdca35cb1807ffdc030fe292dcf04acf595a3e1560e8679f73b38d4,true
teacher_timeline_csv,v2_dev_006_event_00,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_round_v2/teacher_timelines/v2_dev_006_event_00_teacher_timeline.csv,152,151a5b68123b2688e15840e0a30bc800dadee68a48f6d0d62837c981f6cf1978,true
teacher_timeline_csv,v2_dev_007_event_00,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_round_v2/teacher_timelines/v2_dev_007_event_00_teacher_timeline.csv,152,45e50b45d4ec07d206a39a46a884d08a8e20c3153c775b44eb6b064279b58e16,true
teacher_timeline_csv,v2_dev_008_event_00,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_round_v2/teacher_timelines/v2_dev_008_event_00_teacher_timeline.csv,150,319d9b81cc54157a5402b1269abbc0ea85d56e025dad6e1e1e0925d5b44997a7,true
teacher_timeline_csv,v2_dev_009_event_00,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_round_v2/teacher_timelines/v2_dev_009_event_00_teacher_timeline.csv,150,2117b6e7606cd8ee84de1f5bbfdebee5c0eb495f593649f43e4b6f93c773f741,true
