review_round_id,review_id,assistant_suggested_object_identity_valid,assistant_suggested_target_identity_valid,assistant_suggested_event_exists,assistant_suggested_close_onset_valid,assistant_suggested_grasp_established_valid,assistant_suggested_lift_onset_valid,assistant_suggested_stable_carry_valid,assistant_suggested_window_start_valid,assistant_suggested_anchor_valid,assistant_suggested_window_end_valid,assistant_suggested_release_separation_valid,assistant_suggested_false_positive_carry,assistant_suggested_abstain_or_fail_closed_correct,assistant_confidence,assistant_visual_evidence,assistant_timing_evidence,assistant_uncertainty_reason
h2_diagnostic_review_round_v2_1_20260621,v2_dev_000_event_00,,,,,,,,,,,,,,,,,
h2_diagnostic_review_round_v2_1_20260621,v2_dev_001_event_00,,,,,,,,,,,,,,,,,
h2_diagnostic_review_round_v2_1_20260621,v2_dev_002_event_00,,,,,,,,,,,,,,,,,
h2_diagnostic_review_round_v2_1_20260621,v2_dev_003_event_00,,,,,,,,,,,,,,,,,
h2_diagnostic_review_round_v2_1_20260621,v2_dev_004_event_00,,,,,,,,,,,,,,,,,
h2_diagnostic_review_round_v2_1_20260621,v2_dev_005_event_00,,,,,,,,,,,,,,,,,
h2_diagnostic_review_round_v2_1_20260621,v2_dev_006_event_00,,,,,,,,,,,,,,,,,
h2_diagnostic_review_round_v2_1_20260621,v2_dev_007_event_00,,,,,,,,,,,,,,,,,
h2_diagnostic_review_round_v2_1_20260621,v2_dev_008_event_00,,,,,,,,,,,,,,,,,
h2_diagnostic_review_round_v2_1_20260621,v2_dev_009_event_00,,,,,,,,,,,,,,,,,
h2_diagnostic_review_round_v2_1_20260621,v2_dev_010_event_00,,,,,,,,,,,,,,,,,
h2_diagnostic_review_round_v2_1_20260621,v2_dev_011_event_00,,,,,,,,,,,,,,,,,
h2_diagnostic_review_round_v2_1_20260621,review_000_event_00,,,,,,,,,,,,,,,,,
h2_diagnostic_review_round_v2_1_20260621,review_001_event_00,,,,,,,,,,,,,,,,,
h2_diagnostic_review_round_v2_1_20260621,review_002_event_00,,,,,,,,,,,,,,,,,
h2_diagnostic_review_round_v2_1_20260621,review_003_event_00,,,,,,,,,,,,,,,,,
h2_diagnostic_review_round_v2_1_20260621,review_004_event_00,,,,,,,,,,,,,,,,,
h2_diagnostic_review_round_v2_1_20260621,review_005_event_00,,,,,,,,,,,,,,,,,
h2_diagnostic_review_round_v2_1_20260621,review_006_event_00,,,,,,,,,,,,,,,,,
h2_diagnostic_review_round_v2_1_20260621,review_007_event_00,,,,,,,,,,,,,,,,,
h2_diagnostic_review_round_v2_1_20260621,review_008_event_00,,,,,,,,,,,,,,,,,
h2_diagnostic_review_round_v2_1_20260621,review_009_event_00,,,,,,,,,,,,,,,,,
h2_diagnostic_review_round_v2_1_20260621,review_010_event_00,,,,,,,,,,,,,,,,,
h2_diagnostic_review_round_v2_1_20260621,review_011_event_00,,,,,,,,,,,,,,,,,
h2_diagnostic_review_round_v2_1_20260621,review_012_event_00,,,,,,,,,,,,,,,,,
h2_diagnostic_review_round_v2_1_20260621,review_013_event_00,,,,,,,,,,,,,,,,,
h2_diagnostic_review_round_v2_1_20260621,review_014_event_00,,,,,,,,,,,,,,,,,
h2_diagnostic_review_round_v2_1_20260621,review_015_event_00,,,,,,,,,,,,,,,,,
h2_diagnostic_review_round_v2_1_20260621,review_016_event_00,,,,,,,,,,,,,,,,,
h2_diagnostic_review_round_v2_1_20260621,review_017_event_00,,,,,,,,,,,,,,,,,
h2_diagnostic_review_round_v2_1_20260621,review_018_event_00,,,,,,,,,,,,,,,,,
h2_diagnostic_review_round_v2_1_20260621,review_019_event_00,,,,,,,,,,,,,,,,,
h2_diagnostic_review_round_v2_1_20260621,review_020_event_00,,,,,,,,,,,,,,,,,
h2_diagnostic_review_round_v2_1_20260621,review_021_event_00,,,,,,,,,,,,,,,,,
h2_diagnostic_review_round_v2_1_20260621,review_022_event_00,,,,,,,,,,,,,,,,,
h2_diagnostic_review_round_v2_1_20260621,review_023_event_00,,,,,,,,,,,,,,,,,
