task_key,n_total,n_provenance_pass,n_field_valid,n_open_convention_pass,n_remap_pass,n_grasp_privilege_valid,n_teacher_p_available,n_multi_candidate,n_single_candidate,n_no_candidate,n_teacher_p_unavailable
alphabet_soup,38,38,38,38,38,38,35,30,5,0,3
bbq_sauce,43,43,43,43,43,43,19,16,3,0,24
butter,42,42,42,42,42,42,29,29,0,0,13
chocolate_pudding,41,41,41,41,41,41,32,32,0,0,9
cream_cheese,42,42,42,42,42,42,36,36,0,0,6
ketchup,42,42,42,42,42,42,39,32,7,0,3
milk,41,41,41,41,41,41,31,16,15,0,10
orange_juice,41,41,41,41,41,41,35,19,16,0,6
salad_dressing,37,37,37,37,37,37,31,23,8,0,6
tomato_sauce,35,35,35,35,35,35,28,28,0,0,7
