source,task,state_id,filename,path
stageb_s20k_clean_expansion_20260613,soup,2,trace_alphabet_soup_s2_w0_10_s20d_clean_seed0_job250016.csv,/data/liuyu/outputs/stageb_s20k_clean_expansion_20260613/trace_alphabet_soup_s2_w0_10_s20d_clean_seed0_job250016.csv
stageb_s20k_clean_expansion_20260613,sauce,0,trace_bbq_sauce_s0_w0_10_s20d_clean_seed0_job250001.csv,/data/liuyu/outputs/stageb_s20k_clean_expansion_20260613/trace_bbq_sauce_s0_w0_10_s20d_clean_seed0_job250001.csv
stageb_s20k_clean_expansion_20260613,sauce,2,trace_bbq_sauce_s2_w0_10_s20d_clean_seed0_job250002.csv,/data/liuyu/outputs/stageb_s20k_clean_expansion_20260613/trace_bbq_sauce_s2_w0_10_s20d_clean_seed0_job250002.csv
stageb_s20k_clean_expansion_20260613,sauce,3,trace_bbq_sauce_s3_w0_10_s20d_clean_seed0_job250003.csv,/data/liuyu/outputs/stageb_s20k_clean_expansion_20260613/trace_bbq_sauce_s3_w0_10_s20d_clean_seed0_job250003.csv
stageb_s20k_clean_expansion_20260613,butter,1,trace_butter_s1_w0_10_s20d_clean_seed0_job250004.csv,/data/liuyu/outputs/stageb_s20k_clean_expansion_20260613/trace_butter_s1_w0_10_s20d_clean_seed0_job250004.csv
stageb_s20k_clean_expansion_20260613,butter,2,trace_butter_s2_w0_10_s20d_clean_seed0_job250005.csv,/data/liuyu/outputs/stageb_s20k_clean_expansion_20260613/trace_butter_s2_w0_10_s20d_clean_seed0_job250005.csv
stageb_s20k_clean_expansion_20260613,pudding,1,trace_chocolate_pudding_s1_w0_10_s20d_clean_seed0_job250006.csv,/data/liuyu/outputs/stageb_s20k_clean_expansion_20260613/trace_chocolate_pudding_s1_w0_10_s20d_clean_seed0_job250006.csv
stageb_s20k_clean_expansion_20260613,pudding,2,trace_chocolate_pudding_s2_w0_10_s20d_clean_seed0_job250007.csv,/data/liuyu/outputs/stageb_s20k_clean_expansion_20260613/trace_chocolate_pudding_s2_w0_10_s20d_clean_seed0_job250007.csv
stageb_s20k_clean_expansion_20260613,cheese,2,trace_cream_cheese_s2_w0_10_s20d_clean_seed0_job250013.csv,/data/liuyu/outputs/stageb_s20k_clean_expansion_20260613/trace_cream_cheese_s2_w0_10_s20d_clean_seed0_job250013.csv
stageb_s20k_clean_expansion_20260613,ketchup,2,trace_ketchup_s2_w0_10_s20d_clean_seed0_job250008.csv,/data/liuyu/outputs/stageb_s20k_clean_expansion_20260613/trace_ketchup_s2_w0_10_s20d_clean_seed0_job250008.csv
stageb_s20k_clean_expansion_20260613,ketchup,3,trace_ketchup_s3_w0_10_s20d_clean_seed0_job250009.csv,/data/liuyu/outputs/stageb_s20k_clean_expansion_20260613/trace_ketchup_s3_w0_10_s20d_clean_seed0_job250009.csv
stageb_s20k_clean_expansion_20260613,milk,2,trace_milk_s2_w0_10_s20d_clean_seed0_job250012.csv,/data/liuyu/outputs/stageb_s20k_clean_expansion_20260613/trace_milk_s2_w0_10_s20d_clean_seed0_job250012.csv
stageb_s20k_clean_expansion_20260613,juice,2,trace_orange_juice_s2_w0_10_s20d_clean_seed0_job250015.csv,/data/liuyu/outputs/stageb_s20k_clean_expansion_20260613/trace_orange_juice_s2_w0_10_s20d_clean_seed0_job250015.csv
stageb_s20k_clean_expansion_20260613,dressing,2,trace_salad_dressing_s2_w0_10_s20d_clean_seed0_job250014.csv,/data/liuyu/outputs/stageb_s20k_clean_expansion_20260613/trace_salad_dressing_s2_w0_10_s20d_clean_seed0_job250014.csv
stageb_s20k_clean_expansion_20260613,sauce,1,trace_tomato_sauce_s1_w0_10_s20d_clean_seed0_job250010.csv,/data/liuyu/outputs/stageb_s20k_clean_expansion_20260613/trace_tomato_sauce_s1_w0_10_s20d_clean_seed0_job250010.csv
stageb_s20k_clean_expansion_20260613,sauce,2,trace_tomato_sauce_s2_w0_10_s20d_clean_seed0_job250011.csv,/data/liuyu/outputs/stageb_s20k_clean_expansion_20260613/trace_tomato_sauce_s2_w0_10_s20d_clean_seed0_job250011.csv
stageb_s20i_clean_expansion_20260612,soup,1,trace_alphabet_soup_s1_w0_10_s20d_clean_seed0_job230571.csv,/data/liuyu/outputs/stageb_s20i_clean_expansion_20260612/trace_alphabet_soup_s1_w0_10_s20d_clean_seed0_job230571.csv
stageb_s20i_clean_expansion_20260612,cheese,1,trace_cream_cheese_s1_w0_10_s20d_clean_seed0_job230765.csv,/data/liuyu/outputs/stageb_s20i_clean_expansion_20260612/trace_cream_cheese_s1_w0_10_s20d_clean_seed0_job230765.csv
stageb_s20i_clean_expansion_20260612,milk,1,trace_milk_s1_w0_10_s20d_clean_seed0_job230490.csv,/data/liuyu/outputs/stageb_s20i_clean_expansion_20260612/trace_milk_s1_w0_10_s20d_clean_seed0_job230490.csv
stageb_s20i_clean_expansion_20260612,juice,1,trace_orange_juice_s1_w0_10_s20d_clean_seed0_job230117.csv,/data/liuyu/outputs/stageb_s20i_clean_expansion_20260612/trace_orange_juice_s1_w0_10_s20d_clean_seed0_job230117.csv
stageb_s20i_clean_expansion_20260612,dressing,1,trace_salad_dressing_s1_w0_10_s20d_clean_seed0_job230476.csv,/data/liuyu/outputs/stageb_s20i_clean_expansion_20260612/trace_salad_dressing_s1_w0_10_s20d_clean_seed0_job230476.csv
stageb_s20m4_clean_scan_20260613,unknown,?,s20m4_clean_scan_400_manifest.csv,/data/liuyu/outputs/stageb_s20m4_clean_scan_20260613/s20m4_clean_scan_400_manifest.csv
