candidate_step,candidate_index,is_teacher_p,distance_to_p,total_score,raw_crossing,close_onset,close_streak,qpos,eef_speed_now,eef_speed_prev,eef_deceleration_delta,time_since_prev_close,time_since_last_open,trace_id,task_key,state_id
55,0,1,0,3.3,1,1,1,-0.00012,0.032227,0.034182,-0.001955,,,trace_alphabet_soup_s2_w0_10_s20d_clean_seed0_job250016,alphabet_soup,2
52,0,0,-33,3.8,1,1,1,-1.9e-05,0.002566,0.003954,-0.001388,,,trace_bbq_sauce_s0_w0_10_s20d_clean_seed0_job250001,bbq_sauce,0
55,1,0,-30,3.8,1,1,1,-2.7e-05,0.002299,0.003809,-0.00151,3,,trace_bbq_sauce_s0_w0_10_s20d_clean_seed0_job250001,bbq_sauce,0
57,2,0,-28,3.3,1,1,1,-1.6e-05,0.002349,0.000608,0.001741,2,,trace_bbq_sauce_s0_w0_10_s20d_clean_seed0_job250001,bbq_sauce,0
68,3,0,-17,3.3,1,1,1,3e-06,0.015631,0.0137,0.001931,11,,trace_bbq_sauce_s0_w0_10_s20d_clean_seed0_job250001,bbq_sauce,0
85,4,1,0,3.3,1,1,1,-1.4e-05,0.01582,0.017023,-0.001203,17,,trace_bbq_sauce_s0_w0_10_s20d_clean_seed0_job250001,bbq_sauce,0
155,5,0,70,3.8,1,1,1,-2.5e-05,0.007093,0.009996,-0.002903,70,,trace_bbq_sauce_s0_w0_10_s20d_clean_seed0_job250001,bbq_sauce,0
157,6,0,72,3.8,1,1,1,-8e-06,0.005447,0.006135,-0.000688,2,,trace_bbq_sauce_s0_w0_10_s20d_clean_seed0_job250001,bbq_sauce,0
6,0,0,-66,3.3,1,1,1,-3e-06,0.002622,0.002035,0.000587,,,trace_butter_s1_w0_10_s20d_clean_seed0_job250004,butter,1
10,1,0,-62,3.8,1,1,1,-1.9e-05,0.007996,0.009482,-0.001486,4,,trace_butter_s1_w0_10_s20d_clean_seed0_job250004,butter,1
16,2,0,-56,3.3,1,1,1,-0.000225,0.011811,0.008655,0.003156,6,,trace_butter_s1_w0_10_s20d_clean_seed0_job250004,butter,1
19,3,0,-53,3.8,1,1,1,-0.00014,0.004296,0.005629,-0.001333,3,,trace_butter_s1_w0_10_s20d_clean_seed0_job250004,butter,1
22,4,0,-50,3.3,1,1,1,-0.00029,0.006156,0.005376,0.00078,3,,trace_butter_s1_w0_10_s20d_clean_seed0_job250004,butter,1
24,5,0,-48,3.3,1,1,1,-6.4e-05,0.007066,0.006658,0.000408,2,,trace_butter_s1_w0_10_s20d_clean_seed0_job250004,butter,1
27,6,0,-45,3.3,1,1,1,-0.000266,0.008425,0.006572,0.001853,3,,trace_butter_s1_w0_10_s20d_clean_seed0_job250004,butter,1
30,7,0,-42,3.3,1,1,1,-0.000266,0.023032,0.022053,0.000979,3,,trace_butter_s1_w0_10_s20d_clean_seed0_job250004,butter,1
72,8,1,0,3.3,1,1,1,-0.000126,0.039279,0.042336,-0.003057,42,,trace_butter_s1_w0_10_s20d_clean_seed0_job250004,butter,1
4,0,0,-64,3.3,1,1,1,-2.6e-05,0.00237,0.002154,0.000216,,,trace_butter_s2_w0_10_s20d_clean_seed0_job250005,butter,2
8,1,0,-60,3.3,1,1,1,-3.3e-05,0.004765,0.002956,0.001809,4,,trace_butter_s2_w0_10_s20d_clean_seed0_job250005,butter,2
10,2,0,-58,3.3,1,1,1,-1.9e-05,0.005359,0.005316,4.3e-05,2,,trace_butter_s2_w0_10_s20d_clean_seed0_job250005,butter,2
68,3,1,0,3.8,1,1,1,-0.001532,0.004043,0.015414,-0.011371,58,,trace_butter_s2_w0_10_s20d_clean_seed0_job250005,butter,2
145,4,0,77,3.3,1,1,1,0.000209,0.014404,0.019407,-0.005003,77,,trace_butter_s2_w0_10_s20d_clean_seed0_job250005,butter,2
151,5,0,83,3.3,1,1,1,3.6e-05,0.011067,0.007772,0.003295,6,,trace_butter_s2_w0_10_s20d_clean_seed0_job250005,butter,2
58,0,1,0,3.3,1,1,1,-6.1e-05,0.027703,0.028474,-0.000771,,,trace_chocolate_pudding_s2_w0_10_s20d_clean_seed0_job250007,chocolate_pudding,2
149,1,0,91,3.3,1,1,1,-0.002293,0.008949,0.005658,0.003291,91,,trace_chocolate_pudding_s2_w0_10_s20d_clean_seed0_job250007,chocolate_pudding,2
154,2,0,96,3.8,1,1,1,-0.001132,0.003493,0.007552,-0.004059,5,,trace_chocolate_pudding_s2_w0_10_s20d_clean_seed0_job250007,chocolate_pudding,2
59,0,0,-4,3.3,1,1,1,-3.5e-05,0.025411,0.023434,0.001977,,,trace_cream_cheese_s2_w0_10_s20d_clean_seed0_job250013,cream_cheese,2
63,1,1,0,3.8,1,1,1,0.001935,0.00772,0.016192,-0.008472,4,,trace_cream_cheese_s2_w0_10_s20d_clean_seed0_job250013,cream_cheese,2
129,2,0,66,3.3,1,1,1,-0.001894,0.005006,0.004436,0.00057,66,,trace_cream_cheese_s2_w0_10_s20d_clean_seed0_job250013,cream_cheese,2
133,3,0,70,3.3,1,1,1,-0.000588,0.010625,0.005956,0.004669,4,,trace_cream_cheese_s2_w0_10_s20d_clean_seed0_job250013,cream_cheese,2
56,0,1,0,3.3,1,1,1,-4.9e-05,0.020838,0.021611,-0.000773,,,trace_ketchup_s2_w0_10_s20d_clean_seed0_job250008,ketchup,2
55,0,1,0,3.3,1,1,1,-5.3e-05,0.010016,0.015895,-0.005879,,,trace_ketchup_s3_w0_10_s20d_clean_seed0_job250009,ketchup,3
143,1,0,88,3.3,1,1,1,-0.000111,0.00727,0.00171,0.00556,88,,trace_ketchup_s3_w0_10_s20d_clean_seed0_job250009,ketchup,3
145,2,0,90,3.8,1,1,1,-0.000122,0.002268,0.005599,-0.003331,2,,trace_ketchup_s3_w0_10_s20d_clean_seed0_job250009,ketchup,3
8,0,0,-50,3.3,1,1,1,-0.0,0.005144,0.004365,0.000779,,,trace_orange_juice_s2_w0_10_s20d_clean_seed0_job250015,orange_juice,2
58,1,1,0,3.3,1,1,1,-1.4e-05,0.021225,0.023139,-0.001914,50,,trace_orange_juice_s2_w0_10_s20d_clean_seed0_job250015,orange_juice,2
60,2,0,2,3.3,1,1,1,3.3e-05,0.011689,0.016198,-0.004509,2,,trace_orange_juice_s2_w0_10_s20d_clean_seed0_job250015,orange_juice,2
62,3,0,4,3.8,1,1,1,5.4e-05,0.009202,0.010121,-0.000919,2,,trace_orange_juice_s2_w0_10_s20d_clean_seed0_job250015,orange_juice,2
40,0,1,0,3.3,1,1,1,-2.4e-05,0.02696,0.026342,0.000618,,,trace_salad_dressing_s2_w0_10_s20d_clean_seed0_job250014,salad_dressing,2
106,1,0,66,3.3,1,1,1,9.6e-05,0.014772,0.017346,-0.002574,66,,trace_salad_dressing_s2_w0_10_s20d_clean_seed0_job250014,salad_dressing,2
53,0,1,0,3.3,1,1,1,-0.000114,0.016571,0.020066,-0.003495,,,trace_tomato_sauce_s1_w0_10_s20d_clean_seed0_job250010,tomato_sauce,1
93,1,0,40,3.3,1,1,1,-0.000535,0.02182,0.021735,8.5e-05,40,,trace_tomato_sauce_s1_w0_10_s20d_clean_seed0_job250010,tomato_sauce,1
96,2,0,43,3.8,1,1,1,-0.001746,0.009882,0.014158,-0.004276,3,,trace_tomato_sauce_s1_w0_10_s20d_clean_seed0_job250010,tomato_sauce,1
148,3,0,95,3.3,1,1,1,-0.0085,0.024801,0.02753,-0.002729,52,,trace_tomato_sauce_s1_w0_10_s20d_clean_seed0_job250010,tomato_sauce,1
155,4,0,102,3.8,1,1,1,-0.0081,0.006207,0.009092,-0.002885,7,,trace_tomato_sauce_s1_w0_10_s20d_clean_seed0_job250010,tomato_sauce,1
157,5,0,104,3.8,1,1,1,-0.00803,0.004009,0.004722,-0.000713,2,,trace_tomato_sauce_s1_w0_10_s20d_clean_seed0_job250010,tomato_sauce,1
159,6,0,106,3.8,1,1,1,-0.00798,0.00413,0.004149,-1.9e-05,2,,trace_tomato_sauce_s1_w0_10_s20d_clean_seed0_job250010,tomato_sauce,1
162,7,0,109,3.3,1,1,1,-0.007937,0.006108,0.005038,0.00107,3,,trace_tomato_sauce_s1_w0_10_s20d_clean_seed0_job250010,tomato_sauce,1
169,8,0,116,3.8,1,1,1,-0.007234,0.007845,0.008425,-0.00058,7,,trace_tomato_sauce_s1_w0_10_s20d_clean_seed0_job250010,tomato_sauce,1
97,0,1,0,3.3,1,1,1,-3e-05,0.02075,0.020969,-0.000219,,,trace_tomato_sauce_s2_w0_10_s20d_clean_seed0_job250011,tomato_sauce,2
157,1,0,60,3.8,1,1,1,0.002288,0.009312,0.016671,-0.007359,60,,trace_tomato_sauce_s2_w0_10_s20d_clean_seed0_job250011,tomato_sauce,2
62,0,0,-60,3.3,1,1,1,-0.008355,0.016849,0.024047,-0.007198,,,trace_alphabet_soup_s1_w0_10_s20d_clean_seed0_job230571,alphabet_soup,1
64,1,0,-58,3.3,1,1,1,-0.0113,0.010498,0.012896,-0.002398,2,,trace_alphabet_soup_s1_w0_10_s20d_clean_seed0_job230571,alphabet_soup,1
67,2,0,-55,3.3,1,1,1,-0.014918,0.006389,0.005488,0.000901,3,,trace_alphabet_soup_s1_w0_10_s20d_clean_seed0_job230571,alphabet_soup,1
84,3,0,-38,3.3,1,1,1,-6.9e-05,0.019205,0.023023,-0.003818,17,,trace_alphabet_soup_s1_w0_10_s20d_clean_seed0_job230571,alphabet_soup,1
89,4,0,-33,3.8,1,1,1,-8.1e-05,0.002197,0.013136,-0.010939,5,,trace_alphabet_soup_s1_w0_10_s20d_clean_seed0_job230571,alphabet_soup,1
93,5,0,-29,3.8,1,1,1,-6.8e-05,0.001286,0.005525,-0.004239,4,,trace_alphabet_soup_s1_w0_10_s20d_clean_seed0_job230571,alphabet_soup,1
95,6,0,-27,3.3,1,1,1,-7.2e-05,0.005825,0.004975,0.00085,2,,trace_alphabet_soup_s1_w0_10_s20d_clean_seed0_job230571,alphabet_soup,1
97,7,0,-25,3.8,1,1,1,-4.4e-05,0.00128,0.001784,-0.000504,2,,trace_alphabet_soup_s1_w0_10_s20d_clean_seed0_job230571,alphabet_soup,1
100,8,0,-22,3.3,1,1,1,-4.7e-05,0.007615,0.006854,0.000761,3,,trace_alphabet_soup_s1_w0_10_s20d_clean_seed0_job230571,alphabet_soup,1
122,9,1,0,3.3,1,1,1,-9.3e-05,0.025982,0.028724,-0.002742,22,,trace_alphabet_soup_s1_w0_10_s20d_clean_seed0_job230571,alphabet_soup,1
8,0,0,-46,3.3,1,1,1,-5e-06,0.00603,0.003815,0.002215,,,trace_cream_cheese_s1_w0_10_s20d_clean_seed0_job230765,cream_cheese,1
54,1,1,0,3.3,1,1,1,-8.4e-05,0.026407,0.027725,-0.001318,46,,trace_cream_cheese_s1_w0_10_s20d_clean_seed0_job230765,cream_cheese,1
56,2,0,2,3.3,1,1,1,-6.9e-05,0.022114,0.024034,-0.00192,2,,trace_cream_cheese_s1_w0_10_s20d_clean_seed0_job230765,cream_cheese,1
113,3,0,59,3.8,1,1,1,-0.001863,0.009136,0.017749,-0.008613,57,,trace_cream_cheese_s1_w0_10_s20d_clean_seed0_job230765,cream_cheese,1
50,0,1,0,3.3,1,1,1,5.3e-05,0.026511,0.027047,-0.000536,,,trace_milk_s1_w0_10_s20d_clean_seed0_job230490,milk,1
135,1,0,85,3.3,1,1,1,0.004615,0.013454,0.018308,-0.004854,85,,trace_milk_s1_w0_10_s20d_clean_seed0_job230490,milk,1
137,2,0,87,3.8,1,1,1,0.00462,0.007282,0.010654,-0.003372,2,,trace_milk_s1_w0_10_s20d_clean_seed0_job230490,milk,1
139,3,0,89,3.8,1,1,1,0.004617,0.005561,0.00593,-0.000369,2,,trace_milk_s1_w0_10_s20d_clean_seed0_job230490,milk,1
145,4,0,95,3.8,1,1,1,0.002842,0.001272,0.002461,-0.001189,6,,trace_milk_s1_w0_10_s20d_clean_seed0_job230490,milk,1
147,5,0,97,3.8,1,1,1,0.002244,0.001747,0.001828,-8.1e-05,2,,trace_milk_s1_w0_10_s20d_clean_seed0_job230490,milk,1
43,0,0,-2,3.3,1,1,1,-0.000187,0.013583,0.018005,-0.004422,,,trace_orange_juice_s1_w0_10_s20d_clean_seed0_job230117,orange_juice,1
45,1,1,0,3.8,1,1,1,-7.5e-05,0.002948,0.007024,-0.004076,2,,trace_orange_juice_s1_w0_10_s20d_clean_seed0_job230117,orange_juice,1
48,2,0,3,3.8,1,1,1,-0.000103,0.000305,0.000636,-0.000331,3,,trace_orange_juice_s1_w0_10_s20d_clean_seed0_job230117,orange_juice,1
51,3,0,6,3.3,1,1,1,-0.002945,0.002193,0.001733,0.00046,3,,trace_orange_juice_s1_w0_10_s20d_clean_seed0_job230117,orange_juice,1
57,0,1,0,3.3,1,1,1,-7.4e-05,0.014602,0.016985,-0.002383,,,trace_salad_dressing_s1_w0_10_s20d_clean_seed0_job230476,salad_dressing,1
59,0,1,0,3.3,1,1,1,-1.2e-05,0.034239,0.034284,-4.5e-05,,,trace_alphabet_soup_s12_w0_10_s20d_clean_seed0_job330003,alphabet_soup,12
139,1,0,80,3.8,1,1,1,0.002358,0.001345,0.006173,-0.004828,80,,trace_alphabet_soup_s12_w0_10_s20d_clean_seed0_job330003,alphabet_soup,12
144,2,0,85,3.3,1,1,1,0.001899,0.004463,0.002998,0.001465,5,,trace_alphabet_soup_s12_w0_10_s20d_clean_seed0_job330003,alphabet_soup,12
150,3,0,91,3.8,1,1,1,0.001442,0.001223,0.005339,-0.004116,6,,trace_alphabet_soup_s12_w0_10_s20d_clean_seed0_job330003,alphabet_soup,12
165,4,0,106,3.3,1,1,1,0.001344,0.000942,0.00011,0.000832,15,,trace_alphabet_soup_s12_w0_10_s20d_clean_seed0_job330003,alphabet_soup,12
177,5,0,118,3.3,1,1,1,0.001256,0.002552,0.000816,0.001736,12,,trace_alphabet_soup_s12_w0_10_s20d_clean_seed0_job330003,alphabet_soup,12
184,6,0,125,3.3,1,1,1,0.001145,0.003068,0.001207,0.001861,7,,trace_alphabet_soup_s12_w0_10_s20d_clean_seed0_job330003,alphabet_soup,12
193,7,0,134,3.8,1,1,1,0.000905,0.00029,0.000692,-0.000402,9,,trace_alphabet_soup_s12_w0_10_s20d_clean_seed0_job330003,alphabet_soup,12
196,8,0,137,3.3,1,1,1,0.000686,0.001279,0.000557,0.000722,3,,trace_alphabet_soup_s12_w0_10_s20d_clean_seed0_job330003,alphabet_soup,12
