trace_id,task_key,state_id,candidate_step,candidate_index,is_teacher_p,teacher_p_criteria_pass,distance_to_teacher_p,total_score,raw_crossing_bonus,close_streak_bonus,close_onset_qpos_bonus,eef_deceleration_bonus,qpos_ready_bonus,eef_speed_now,eef_speed_prev,eef_deceleration_delta,close_streak,raw_crossing,close_onset,qpos,time_since_prev_close,time_since_last_open,selector_abstain_reason,selector_emittable,eef_to_obj_distance_at_close,grasp_privilege_local_valid,max_cumulative_vertical_dz,max_sustained_vertical_frames,eef_attachment_consistent,tp_abstain_reason
trace_alphabet_soup_s2_w0_10_s20d_clean_seed0_job250016,alphabet_soup,2,55,0,1,1,0,3.3,1.5,1.0,0.5,0.0,0.3,0.032227,0.034182,-0.001955,1,1,1,-0.00012013,,1,,1,0.059468,1,0.05808,6,1,
trace_bbq_sauce_s0_w0_10_s20d_clean_seed0_job250001,bbq_sauce,0,52,0,0,0,-33,3.8,1.5,1.0,0.5,0.5,0.3,0.002566,0.003954,-0.001388,1,1,1,-1.916e-05,,1,,1,0.064337,1,0.004604,3,1,no_sustained_vertical_lift_type=sustained_horizontal_transport
trace_bbq_sauce_s0_w0_10_s20d_clean_seed0_job250001,bbq_sauce,0,55,1,0,0,-30,3.8,1.5,1.0,0.5,0.5,0.3,0.002299,0.003809,-0.00151,1,1,1,-2.678e-05,3,1,,1,0.06214,1,0.004604,3,0,no_sustained_vertical_lift_type=sustained_horizontal_transport
trace_bbq_sauce_s0_w0_10_s20d_clean_seed0_job250001,bbq_sauce,0,57,2,0,0,-28,3.3,1.5,1.0,0.5,0.0,0.3,0.002349,0.000608,0.001741,1,1,1,-1.554e-05,2,1,,1,0.059548,1,0.004604,3,0,no_sustained_vertical_lift_type=sustained_horizontal_transport
trace_bbq_sauce_s0_w0_10_s20d_clean_seed0_job250001,bbq_sauce,0,68,3,0,0,-17,3.3,1.5,1.0,0.5,0.0,0.3,0.015631,0.0137,0.001931,1,1,1,2.85e-06,11,1,,1,0.082264,1,0.0,0,1,eef_not_near_object_dist=0.0823
trace_bbq_sauce_s0_w0_10_s20d_clean_seed0_job250001,bbq_sauce,0,85,4,1,1,0,3.3,1.5,1.0,0.5,0.0,0.3,0.01582,0.017023,-0.001203,1,1,1,-1.429e-05,17,1,,1,0.038281,1,0.006817,2,1,
trace_bbq_sauce_s0_w0_10_s20d_clean_seed0_job250001,bbq_sauce,0,155,5,0,0,70,3.8,1.5,1.0,0.5,0.5,0.3,0.007093,0.009996,-0.002903,1,1,1,-2.521e-05,70,1,,1,0.029709,1,0.0,0,1,no_sustained_vertical_lift_type=no_sustained_motion
trace_bbq_sauce_s0_w0_10_s20d_clean_seed0_job250001,bbq_sauce,0,157,6,0,0,72,3.8,1.5,1.0,0.5,0.5,0.3,0.005447,0.006135,-0.000688,1,1,1,-7.87e-06,2,1,,1,0.029723,1,0.0,0,1,no_sustained_vertical_lift_type=no_sustained_motion
trace_bbq_sauce_s2_w0_10_s20d_clean_seed0_job250002,bbq_sauce,2,49,0,0,0,,3.3,1.5,1.0,0.5,0.0,0.3,0.020601,0.022981,-0.00238,1,1,1,1.097e-05,,1,,1,0.042721,1,0.000309,0,1,no_sustained_vertical_lift_type=no_sustained_motion
trace_bbq_sauce_s2_w0_10_s20d_clean_seed0_job250002,bbq_sauce,2,51,1,0,0,,3.3,1.5,1.0,0.5,0.0,0.3,0.018863,0.018715,0.000148,1,1,1,2.064e-05,2,1,,1,0.036414,1,0.000309,0,1,no_sustained_vertical_lift_type=no_sustained_motion
trace_bbq_sauce_s2_w0_10_s20d_clean_seed0_job250002,bbq_sauce,2,66,2,0,0,,3.3,1.5,1.0,0.5,0.0,0.3,0.021981,0.019586,0.002395,1,1,1,-3.28e-05,15,1,,1,0.084577,1,0.0,0,1,eef_not_near_object_dist=0.0846
trace_bbq_sauce_s2_w0_10_s20d_clean_seed0_job250002,bbq_sauce,2,75,3,0,0,,3.8,1.5,1.0,0.5,0.5,0.3,0.003339,0.004637,-0.001298,1,1,1,-5.542e-05,9,1,,1,0.130114,1,0.0,0,1,eef_not_near_object_dist=0.1301
trace_bbq_sauce_s2_w0_10_s20d_clean_seed0_job250002,bbq_sauce,2,79,4,0,0,,3.3,1.5,1.0,0.5,0.0,0.3,0.004712,0.004193,0.000519,1,1,1,-4.555e-05,4,1,,1,0.13285,1,0.0,0,1,eef_not_near_object_dist=0.1329
trace_bbq_sauce_s2_w0_10_s20d_clean_seed0_job250002,bbq_sauce,2,81,5,0,0,,3.3,1.5,1.0,0.5,0.0,0.3,0.006143,0.00586,0.000283,1,1,1,-3.935e-05,2,1,,1,0.135907,1,0.0,0,1,eef_not_near_object_dist=0.1359
trace_bbq_sauce_s2_w0_10_s20d_clean_seed0_job250002,bbq_sauce,2,89,6,0,0,,3.3,1.5,1.0,0.5,0.0,0.3,0.004282,0.004193,8.9e-05,1,1,1,-4.657e-05,8,1,,1,0.140088,1,0.0,0,1,eef_not_near_object_dist=0.1401
trace_bbq_sauce_s2_w0_10_s20d_clean_seed0_job250002,bbq_sauce,2,94,7,0,0,,3.3,1.5,1.0,0.5,0.0,0.3,0.004532,0.004496,3.6e-05,1,1,1,-4.67e-05,5,1,,1,0.143414,1,0.0,0,1,eef_not_near_object_dist=0.1434
trace_bbq_sauce_s2_w0_10_s20d_clean_seed0_job250002,bbq_sauce,2,97,8,0,0,,3.3,1.5,1.0,0.5,0.0,0.3,0.007682,0.004872,0.00281,1,1,1,-4.451e-05,3,1,,1,0.139573,1,0.0,0,1,eef_not_near_object_dist=0.1396
trace_bbq_sauce_s2_w0_10_s20d_clean_seed0_job250002,bbq_sauce,2,99,9,0,0,,3.3,1.5,1.0,0.5,0.0,0.3,0.008986,0.008981,5e-06,1,1,1,-4.021e-05,2,1,,1,0.137401,1,0.0,0,1,eef_not_near_object_dist=0.1374
trace_bbq_sauce_s2_w0_10_s20d_clean_seed0_job250002,bbq_sauce,2,116,10,0,0,,3.3,1.5,1.0,0.5,0.0,0.3,0.026496,0.025568,0.000928,1,1,1,-5.575e-05,17,1,,1,0.089405,1,0.0,0,1,eef_not_near_object_dist=0.0894
trace_bbq_sauce_s2_w0_10_s20d_clean_seed0_job250002,bbq_sauce,2,118,11,0,0,,3.3,1.5,1.0,0.5,0.0,0.3,0.022977,0.024296,-0.001319,1,1,1,-6.169e-05,2,1,,1,0.096197,1,0.0,0,1,eef_not_near_object_dist=0.0962
trace_bbq_sauce_s2_w0_10_s20d_clean_seed0_job250002,bbq_sauce,2,144,12,0,0,,3.3,1.5,1.0,0.5,0.0,0.3,0.030276,0.03797,-0.007694,1,1,1,-0.000135,26,1,,1,0.142495,1,0.0,0,1,eef_not_near_object_dist=0.1425
trace_bbq_sauce_s2_w0_10_s20d_clean_seed0_job250002,bbq_sauce,2,147,13,0,0,,3.8,1.5,1.0,0.5,0.5,0.3,0.00827,0.010256,-0.001986,1,1,1,-0.00014908,3,1,,1,0.149717,1,0.0,0,1,eef_not_near_object_dist=0.1497
trace_bbq_sauce_s2_w0_10_s20d_clean_seed0_job250002,bbq_sauce,2,152,14,0,0,,3.3,1.5,1.0,0.5,0.0,0.3,0.00973,0.007663,0.002067,1,1,1,-0.00016707,5,1,,1,0.160672,1,0.0,0,1,eef_not_near_object_dist=0.1607
trace_bbq_sauce_s2_w0_10_s20d_clean_seed0_job250002,bbq_sauce,2,156,15,0,0,,3.3,1.5,1.0,0.5,0.0,0.3,0.011065,0.016396,-0.005331,1,1,1,-0.00014433,4,1,,1,0.171062,1,0.0,0,1,eef_not_near_object_dist=0.1711
