fold,validation_states,seed,close_only_full_t10_event_hit_rate,close_only_negative_episode_any_emit_rate,time_since_close_full_t10_event_hit_rate,time_since_close_negative_episode_any_emit_rate
0,0-4,20260717,0.991967871485944,0.166666666666667,0.991967871485944,0.333333333333333
0,0-4,20260718,0.991967871485944,0.166666666666667,0.991967871485944,0.333333333333333
0,0-4,20260719,0.991967871485944,0.166666666666667,0.991967871485944,0.333333333333333
1,5-9,20260717,0.991735537190083,0.166666666666667,0.991735537190083,0.166666666666667
1,5-9,20260718,0.991735537190083,0.166666666666667,0.991735537190083,0.166666666666667
1,5-9,20260719,0.991735537190083,0.166666666666667,0.991735537190083,0.166666666666667
2,10-14,20260717,1.0,0.1875,0.9957805907173,0.25
2,10-14,20260718,1.0,0.1875,0.9957805907173,0.25
2,10-14,20260719,1.0,0.1875,0.9957805907173,0.25
3,15-19,20260717,0.988235294117647,0.176470588235294,0.996078431372549,0.294117647058824
3,15-19,20260718,0.988235294117647,0.176470588235294,0.996078431372549,0.294117647058824
3,15-19,20260719,0.988235294117647,0.176470588235294,0.996078431372549,0.294117647058824
