trace_id,prod_n_cands,batch_n_cands,step_mismatch,feat_mismatch,norm_feat_mismatches,max_norm_feat_diff,mlp_score_mismatches,max_mlp_score_diff,emit_match,prod_emit,batch_emit,status
trace_alphabet_soup_s26_w0_10_s20d_clean_seed0_job590300,6,6,0,0,0,0.0,0,4.33548e-07,True,92,92,OK
trace_alphabet_soup_s43_w0_10_s20d_clean_seed0_job330034,6,6,0,0,0,0.0,0,3.18783e-07,True,-1,-1,OK
trace_alphabet_soup_s47_w0_10_s20d_clean_seed0_job330038,2,2,0,0,0,0.0,0,2.76582e-07,True,-1,-1,OK
trace_alphabet_soup_s49_w0_10_s20d_clean_seed0_job330040,8,8,0,0,0,0.0,0,4.8037e-07,True,56,56,OK
trace_alphabet_soup_s5_w0_10_s20d_clean_seed0_job500000,3,3,0,0,0,0.0,0,2.28596e-07,True,74,74,OK
trace_alphabet_soup_s8_w0_10_s20d_clean_seed0_job540200,12,12,0,0,0,0.0,0,4.59273e-07,True,49,49,OK
trace_alphabet_soup_s9_w0_10_s20d_clean_seed0_job540200,11,11,0,0,0,0.0,0,4.45412e-07,True,50,50,OK
trace_bbq_sauce_s45_w0_10_s20d_clean_seed0_job330076,9,9,0,0,0,0.0,0,4.94221e-07,True,117,117,OK
trace_bbq_sauce_s46_w0_10_s20d_clean_seed0_job330077,2,2,0,0,0,0.0,0,3.61256e-07,True,-1,-1,OK
trace_butter_s3_w0_10_s20d_clean_seed0_job510100,3,3,0,0,0,0.0,0,3.89263e-07,True,-1,-1,OK
trace_butter_s42_w0_10_s20d_clean_seed0_job330113,12,12,0,0,0,0.0,0,4.77565e-07,True,54,54,OK
trace_butter_s46_w0_10_s20d_clean_seed0_job330117,4,4,0,0,0,0.0,0,4.63226e-07,True,62,62,OK
trace_butter_s48_w0_10_s20d_clean_seed0_job330119,5,5,0,0,0,0.0,0,4.35032e-07,True,-1,-1,OK
trace_butter_s6_w0_10_s20d_clean_seed0_job590100,8,8,0,0,0,0.0,0,4.79538e-07,True,-1,-1,OK
trace_butter_s8_w0_10_s20d_clean_seed0_job590100,4,4,0,0,0,0.0,0,3.1284e-07,True,62,62,OK
trace_chocolate_pudding_s16_w0_10_s20d_clean_seed0_job590000,3,3,0,0,0,0.0,0,4.43775e-07,True,55,55,OK
trace_chocolate_pudding_s49_w0_10_s20d_clean_seed0_job330160,4,4,0,0,0,0.0,0,4.65519e-07,True,50,50,OK
trace_chocolate_pudding_s4_w0_10_s20d_clean_seed0_job520100,8,8,0,0,0,0.0,0,4.6999e-07,True,-1,-1,OK
trace_chocolate_pudding_s5_w0_10_s20d_clean_seed0_job520100,6,6,0,0,0,0.0,0,4.95853e-07,True,55,55,OK
trace_cream_cheese_s0_w0_10_s20d_clean_seed0_job540000,3,3,0,0,0,0.0,0,4.99584e-07,True,62,62,OK
trace_cream_cheese_s41_w0_10_s20d_clean_seed0_job330192,3,3,0,0,0,0.0,0,3.42014e-07,True,64,64,OK
trace_cream_cheese_s43_w0_10_s20d_clean_seed0_job330194,14,14,0,0,0,0.0,0,4.32148e-07,True,-1,-1,OK
trace_cream_cheese_s6_w0_10_s20d_clean_seed0_job540000,4,4,0,0,0,0.0,0,4.87724e-07,True,56,56,OK
trace_cream_cheese_s8_w0_10_s20d_clean_seed0_job570000,7,7,0,0,0,0.0,0,4.18976e-07,True,-1,-1,OK
trace_cream_cheese_s9_w0_10_s20d_clean_seed0_job590100,2,2,0,0,0,0.0,0,4.55853e-07,True,55,55,OK
trace_ketchup_s0_w0_10_s20d_clean_seed0_job540100,3,3,0,0,0,0.0,0,4.34651e-07,True,56,56,OK
trace_ketchup_s45_w0_10_s20d_clean_seed0_job330236,3,3,0,0,0,0.0,0,3.36491e-07,True,-1,-1,OK
