epoch,train_loss,val_top1_acc,val_mae,val_coverage
1,0.445918,0.75,18.35,1.0
2,0.300029,0.7,20.75,1.0
3,0.228144,0.7,20.75,1.0
4,0.198551,0.75,16.4,1.0
5,0.167532,0.75,16.4,1.0
6,0.178846,0.8,14.2,1.0
7,0.178084,0.8,14.2,1.0
8,0.155647,0.75,16.6,1.0
9,0.152072,0.75,16.6,1.0
10,0.147326,0.75,16.6,1.0
11,0.147693,0.75,16.2,1.0
12,0.140122,0.8,14.2,1.0
13,0.141409,0.75,18.35,1.0
14,0.142906,0.8,14.2,1.0
15,0.115349,0.7,18.8,1.0
16,0.113554,0.8,14.2,1.0
17,0.108599,0.8,14.2,1.0
18,0.116522,0.75,16.6,1.0
19,0.114054,0.7,18.8,1.0
20,0.134717,0.75,18.35,1.0
21,0.101291,0.7,19.15,1.0
22,0.105861,0.7,18.8,1.0
23,0.087213,0.7,18.8,1.0
24,0.111874,0.75,16.6,1.0
25,0.105706,0.75,16.6,1.0
26,0.1346,0.7,18.8,1.0
27,0.092683,0.6,21.6,1.0
28,0.094725,0.65,18.32,0.95
29,0.084621,0.65,22.95,1.0
30,0.089709,0.65,22.95,1.0
31,0.075611,0.55,24.7,1.0
32,0.084008,0.65,22.75,1.0
33,0.09144,0.65,21.35,1.0
34,0.090173,0.6,23.55,1.0
35,0.074131,0.7,18.8,1.0
36,0.076004,0.65,20.8,1.0
