job_id,suite,task_idx,evaluation_seed,condition,arm_lock,objective_id,n_steps,task_success,attack_frames,bridge_sha,mlp_emit,telemetry_size,status
p8_libero_10_t00_e123_clean,libero_10,0,123,CLEAN,False,,400,False,0,84d1242554782952,77,608642,PASS
p8_libero_10_t00_e123_prefix_armlock,libero_10,0,123,PREFIX_ARMLOCK,True,autoregressive_prefix_gripper_target_token_logratio_arm_v3,331,True,10,84d1242554782952,77,534409,PASS
p8_libero_10_t00_e123_prefix_nolock,libero_10,0,123,PREFIX_NOLOCK,False,autoregressive_prefix_gripper_target_token_logratio_arm_v3,276,True,10,84d1242554782952,77,452980,PASS
p8_libero_10_t00_e123_random,libero_10,0,123,RANDOM,False,,292,True,10,84d1242554782952,77,458367,PASS
p8_libero_10_t00_e123_tma_armlock,libero_10,0,123,TMA_ARMLOCK,True,vanilla_tma_gripper_open_ce,300,True,10,84d1242554782952,77,478984,PASS
p8_libero_10_t00_e123_tma_nolock,libero_10,0,123,TMA_NOLOCK,False,vanilla_tma_gripper_open_ce,307,True,10,84d1242554782952,77,490399,PASS
p8_libero_10_t00_e123_untargeted_ce,libero_10,0,123,UNTARGETED_CE,False,untargeted_clean_token_ce,326,True,10,84d1242554782952,77,516076,PASS
p8_libero_10_t00_e42_clean,libero_10,0,42,CLEAN,False,,361,True,0,84d1242554782952,126,574554,PASS
p8_libero_10_t00_e42_prefix_armlock,libero_10,0,42,PREFIX_ARMLOCK,True,autoregressive_prefix_gripper_target_token_logratio_arm_v3,400,False,10,84d1242554782952,126,667186,PASS
p8_libero_10_t00_e42_prefix_nolock,libero_10,0,42,PREFIX_NOLOCK,False,autoregressive_prefix_gripper_target_token_logratio_arm_v3,400,False,10,84d1242554782952,126,666288,PASS
p8_libero_10_t00_e42_random,libero_10,0,42,RANDOM,False,,379,True,10,84d1242554782952,126,606309,PASS
p8_libero_10_t00_e42_tma_armlock,libero_10,0,42,TMA_ARMLOCK,True,vanilla_tma_gripper_open_ce,398,True,10,84d1242554782952,126,643702,PASS
p8_libero_10_t00_e42_tma_nolock,libero_10,0,42,TMA_NOLOCK,False,vanilla_tma_gripper_open_ce,400,False,10,84d1242554782952,126,647484,PASS
p8_libero_10_t00_e42_untargeted_ce,libero_10,0,42,UNTARGETED_CE,False,untargeted_clean_token_ce,309,True,10,84d1242554782952,126,512482,PASS
p8_libero_10_t00_e456_clean,libero_10,0,456,CLEAN,False,,400,False,0,84d1242554782952,64,609428,PASS
p8_libero_10_t00_e456_prefix_armlock,libero_10,0,456,PREFIX_ARMLOCK,True,autoregressive_prefix_gripper_target_token_logratio_arm_v3,299,True,10,84d1242554782952,64,482236,PASS
p8_libero_10_t00_e456_prefix_nolock,libero_10,0,456,PREFIX_NOLOCK,False,autoregressive_prefix_gripper_target_token_logratio_arm_v3,400,False,10,84d1242554782952,64,634509,PASS
p8_libero_10_t00_e456_random,libero_10,0,456,RANDOM,False,,312,True,10,84d1242554782952,64,482445,PASS
p8_libero_10_t00_e456_tma_armlock,libero_10,0,456,TMA_ARMLOCK,True,vanilla_tma_gripper_open_ce,400,False,10,84d1242554782952,64,622166,PASS
p8_libero_10_t00_e456_tma_nolock,libero_10,0,456,TMA_NOLOCK,False,vanilla_tma_gripper_open_ce,400,False,10,84d1242554782952,64,624688,PASS
p8_libero_10_t00_e456_untargeted_ce,libero_10,0,456,UNTARGETED_CE,False,untargeted_clean_token_ce,397,True,10,84d1242554782952,64,614748,PASS
p8_libero_10_t01_e123_clean,libero_10,1,123,CLEAN,False,,235,True,0,84d1242554782952,87,375028,PASS
p8_libero_10_t01_e123_prefix_armlock,libero_10,1,123,PREFIX_ARMLOCK,True,autoregressive_prefix_gripper_target_token_logratio_arm_v3,250,True,10,84d1242554782952,87,417221,PASS
p8_libero_10_t01_e123_prefix_nolock,libero_10,1,123,PREFIX_NOLOCK,False,autoregressive_prefix_gripper_target_token_logratio_arm_v3,400,False,10,84d1242554782952,87,646317,PASS
p8_libero_10_t01_e123_random,libero_10,1,123,RANDOM,False,,328,True,10,84d1242554782952,87,513371,PASS
p8_libero_10_t01_e123_tma_armlock,libero_10,1,123,TMA_ARMLOCK,True,vanilla_tma_gripper_open_ce,257,True,10,84d1242554782952,87,419326,PASS
p8_libero_10_t01_e123_tma_nolock,libero_10,1,123,TMA_NOLOCK,False,vanilla_tma_gripper_open_ce,400,False,10,84d1242554782952,87,631195,PASS
p8_libero_10_t01_e123_untargeted_ce,libero_10,1,123,UNTARGETED_CE,False,untargeted_clean_token_ce,261,True,10,84d1242554782952,87,424409,PASS
p8_libero_10_t01_e42_clean,libero_10,1,42,CLEAN,False,,251,True,0,84d1242554782952,76,391381,PASS
p8_libero_10_t01_e42_prefix_armlock,libero_10,1,42,PREFIX_ARMLOCK,True,autoregressive_prefix_gripper_target_token_logratio_arm_v3,400,False,10,84d1242554782952,76,649355,PASS
