job_id,suite,task_idx,condition,attack_frames,max_policy_delta,max_env_delta,policy_violation,env_violation
p8_libero_10_t00_e123_prefix_armlock,libero_10,0,PREFIX_ARMLOCK,10,0.0,0.0,False,False
p8_libero_10_t00_e123_tma_armlock,libero_10,0,TMA_ARMLOCK,10,0.0,0.0,False,False
p8_libero_10_t00_e42_prefix_armlock,libero_10,0,PREFIX_ARMLOCK,10,0.0,0.0,False,False
p8_libero_10_t00_e42_tma_armlock,libero_10,0,TMA_ARMLOCK,10,0.0,0.0,False,False
p8_libero_10_t00_e456_prefix_armlock,libero_10,0,PREFIX_ARMLOCK,10,0.0,0.0,False,False
p8_libero_10_t00_e456_tma_armlock,libero_10,0,TMA_ARMLOCK,10,0.0,0.0,False,False
p8_libero_10_t01_e123_prefix_armlock,libero_10,1,PREFIX_ARMLOCK,10,0.0,0.0,False,False
p8_libero_10_t01_e123_tma_armlock,libero_10,1,TMA_ARMLOCK,10,0.0,0.0,False,False
p8_libero_10_t01_e42_prefix_armlock,libero_10,1,PREFIX_ARMLOCK,10,0.0,0.0,False,False
p8_libero_10_t01_e42_tma_armlock,libero_10,1,TMA_ARMLOCK,10,0.0,0.0,False,False
p8_libero_10_t01_e456_prefix_armlock,libero_10,1,PREFIX_ARMLOCK,10,0.0,0.0,False,False
p8_libero_10_t01_e456_tma_armlock,libero_10,1,TMA_ARMLOCK,10,0.0,0.0,False,False
p8_libero_10_t02_e456_tma_armlock,libero_10,2,TMA_ARMLOCK,10,0.0,0.0,False,False
p8_libero_10_t06_e123_prefix_armlock,libero_10,6,PREFIX_ARMLOCK,10,0.0,0.0,False,False
p8_libero_10_t06_e123_tma_armlock,libero_10,6,TMA_ARMLOCK,10,0.0,0.0,False,False
p8_libero_10_t06_e42_prefix_armlock,libero_10,6,PREFIX_ARMLOCK,10,0.0,0.0,False,False
p8_libero_10_t06_e42_tma_armlock,libero_10,6,TMA_ARMLOCK,10,0.0,0.0,False,False
p8_libero_10_t06_e456_prefix_armlock,libero_10,6,PREFIX_ARMLOCK,10,0.0,0.0,False,False
p8_libero_10_t06_e456_tma_armlock,libero_10,6,TMA_ARMLOCK,10,0.0,0.0,False,False
p8_libero_10_t07_e123_prefix_armlock,libero_10,7,PREFIX_ARMLOCK,10,0.0,0.0,False,False
p8_libero_10_t07_e123_tma_armlock,libero_10,7,TMA_ARMLOCK,10,0.0,0.0,False,False
p8_libero_10_t07_e42_prefix_armlock,libero_10,7,PREFIX_ARMLOCK,10,0.0,0.0,False,False
p8_libero_10_t07_e42_tma_armlock,libero_10,7,TMA_ARMLOCK,10,0.0,0.0,False,False
p8_libero_10_t07_e456_prefix_armlock,libero_10,7,PREFIX_ARMLOCK,10,0.0,0.0,False,False
p8_libero_10_t07_e456_tma_armlock,libero_10,7,TMA_ARMLOCK,10,0.0,0.0,False,False
p8_libero_10_t09_e123_prefix_armlock,libero_10,9,PREFIX_ARMLOCK,10,0.0,0.0,False,False
p8_libero_10_t09_e123_tma_armlock,libero_10,9,TMA_ARMLOCK,10,0.0,0.0,False,False
p8_libero_10_t09_e42_prefix_armlock,libero_10,9,PREFIX_ARMLOCK,10,0.0,0.0,False,False
p8_libero_10_t09_e42_tma_armlock,libero_10,9,TMA_ARMLOCK,10,0.0,0.0,False,False
p8_libero_10_t09_e456_prefix_armlock,libero_10,9,PREFIX_ARMLOCK,10,0.0,0.0,False,False
p8_libero_10_t09_e456_tma_armlock,libero_10,9,TMA_ARMLOCK,10,0.0,0.0,False,False
