episode_path,root_path,directory_mtime,file_count,total_size_bytes,sentinel_files,possible_suite,suite_source,suite_confidence,possible_condition,condition_source,condition_confidence,is_active_or_growing,active_status,is_partial,manifest_attack_enabled,manifest_vis_enabled,manifest_rand_enabled,summary_vis_or_rand_run,suite,condition,tier,usable_clean_denominator,usable_detector_transfer_analysis,usable_teacher_relabeling,usable_visual_feature_extraction,usable_visual_replay,usable_video_manual_audit,usable_same_schema_comparison_with_6379397,task_idx,task_name,instruction,state_id,eval_seed,source_commit,runner,model_path,unnorm_key,detector_checkpoint_sha,detector_dataset_sha,cuda_visible_devices,python,task_success,n_steps,max_steps,invalid_feature_steps,first_valid_step,mlp_triggered,mlp_emit_step,telemetry_rows,step_sequence_continuous,attack_this_true_count,features_25d_columns_complete,features_25d_finite_all_rows,detector_fields_complete,step_core_complete,visual_frames_npz,frame_index_csv,raw_video_available,overlay_video_available,sim_state_complete,sim_state_arrays,privileged_fields_present,privileged_valid,teacher_abstain,teacher_label_count,artifact_sealed,same_schema_commit_6379397,legacy_compatible_but_not_same_freeze,step_jsonl_rows,episode_jsonl_rows,npz_member_count
/data/liuyu/outputs/rollout_rand7/soup,/data/liuyu/outputs,2026-06-18T22:59:57.643329,2,176871,episode_summary.json|step_telemetry.csv,,unresolved,NONE,RAND_T10,summary,HIGH,False,,False,,,,,,RAND_T10,TIER_X_REJECTED,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/liuyu/outputs/rollout_rand7/salad,/data/liuyu/outputs,2026-06-18T23:02:52.875334,2,68018,episode_summary.json|step_telemetry.csv,,unresolved,NONE,RAND_T10,summary,HIGH,False,,False,,,,,,RAND_T10,TIER_X_REJECTED,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/liuyu/outputs/rollout_rand7/oj,/data/liuyu/outputs,2026-06-18T23:13:37.675351,2,143819,episode_summary.json|step_telemetry.csv,,unresolved,NONE,RAND_T10,summary,HIGH,False,,False,,,,,,RAND_T10,TIER_X_REJECTED,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/liuyu/outputs/rollout_rand7/bbq,/data/liuyu/outputs,2026-06-18T23:03:30.211335,2,97726,episode_summary.json|step_telemetry.csv,,unresolved,NONE,RAND_T10,summary,HIGH,False,,False,,,,,,RAND_T10,TIER_X_REJECTED,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/liuyu/outputs/rollout_rand7/tomato,/data/liuyu/outputs,2026-06-18T23:08:16.699342,2,134441,episode_summary.json|step_telemetry.csv,,unresolved,NONE,RAND_T10,summary,HIGH,False,,False,,,,,,RAND_T10,TIER_X_REJECTED,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/liuyu/outputs/rollout_rand7/cream,/data/liuyu/outputs,2026-06-18T22:57:41.443326,2,92674,episode_summary.json|step_telemetry.csv,,unresolved,NONE,RAND_T10,summary,HIGH,False,,False,,,,,,RAND_T10,TIER_X_REJECTED,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/liuyu/outputs/rollout_rand7/ketchup,/data/liuyu/outputs,2026-06-18T23:07:14.791341,2,82702,episode_summary.json|step_telemetry.csv,,unresolved,NONE,RAND_T10,summary,HIGH,False,,False,,,,,,RAND_T10,TIER_X_REJECTED,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/liuyu/outputs/l12_timing_panel_v2_resume_r1/salad_dressing_s24_shadow_attempt1,/data/liuyu/outputs,2026-06-17T02:16:28.266574,12,144178,episode_manifest.json,,unresolved,NONE,,unresolved,NONE,False,,True,,,,,,CONDITION_UNVERIFIED,TIER_X_REJECTED,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/liuyu/outputs/l12_timing_panel_v2_resume_r1/salad_dressing_s45_shadow_attempt1,/data/liuyu/outputs,2026-06-17T02:28:58.554594,12,173911,episode_manifest.json,,unresolved,NONE,,unresolved,NONE,False,,True,,,,,,CONDITION_UNVERIFIED,TIER_X_REJECTED,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/liuyu/outputs/l12_timing_panel_v2_resume_r1/tomato_sauce_s23_shadow_attempt2,/data/liuyu/outputs,2026-06-17T02:36:08.398605,12,91627,episode_manifest.json,,unresolved,NONE,,unresolved,NONE,False,,True,,,,,,CONDITION_UNVERIFIED,TIER_X_REJECTED,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/liuyu/outputs/l12_timing_panel_v2_resume_r1/cream_cheese_s20_shadow_attempt1,/data/liuyu/outputs,2026-06-17T02:11:44.466567,12,96937,episode_manifest.json,,unresolved,NONE,,unresolved,NONE,False,,True,,,,,,CONDITION_UNVERIFIED,TIER_X_REJECTED,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/liuyu/outputs/l12_timing_panel_v2_resume_r1/butter_s11_shadow_attempt2,/data/liuyu/outputs,2026-06-17T02:32:34.774600,12,97766,episode_manifest.json,,unresolved,NONE,,unresolved,NONE,False,,True,,,,,,CONDITION_UNVERIFIED,TIER_X_REJECTED,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/liuyu/outputs/l12_timing_panel_v2_resume_r1/salad_dressing_s11_shadow_attempt2,/data/liuyu/outputs,2026-06-17T02:39:15.066610,12,85483,episode_manifest.json,,unresolved,NONE,,unresolved,NONE,False,,True,,,,,,CONDITION_UNVERIFIED,TIER_X_REJECTED,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/liuyu/outputs/l12_timing_panel_v2_resume_r1/salad_dressing_s11_shadow_attempt1,/data/liuyu/outputs,2026-06-17T02:19:35.074579,12,85482,episode_manifest.json,,unresolved,NONE,,unresolved,NONE,False,,True,,,,,,CONDITION_UNVERIFIED,TIER_X_REJECTED,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/liuyu/outputs/l12_timing_panel_v2_resume_r1/cream_cheese_s1_shadow_attempt1,/data/liuyu/outputs,2026-06-17T02:08:28.834562,12,95680,episode_manifest.json,,unresolved,NONE,,unresolved,NONE,False,,True,,,,,,CONDITION_UNVERIFIED,TIER_X_REJECTED,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/liuyu/outputs/l12_timing_panel_v2_resume_r1/ketchup_s34_shadow_attempt1,/data/liuyu/outputs,2026-06-17T02:23:12.306585,12,99805,episode_manifest.json,,unresolved,NONE,,unresolved,NONE,False,,True,,,,,,CONDITION_UNVERIFIED,TIER_X_REJECTED,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/liuyu/outputs/l12_timing_panel_v2_resume_r1/salad_dressing_s32_shadow_attempt1,/data/liuyu/outputs,2026-06-17T02:05:14.638556,12,170664,episode_manifest.json,,unresolved,NONE,,unresolved,NONE,False,,True,,,,,,CONDITION_UNVERIFIED,TIER_X_REJECTED,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/liuyu/outputs/repro_black_bowl_strict_guard_20260511/zero_margin_guard_strict_state7_seed1,/data/liuyu/outputs,2026-05-11T19:42:27.478831,5,4180,episode_records.jsonl|run_manifest.json|step_records.jsonl,libero_spatial,summary,HIGH,,unresolved,NONE,False,,True,,,,,libero_spatial,CONDITION_UNVERIFIED,TIER_X_REJECTED,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/liuyu/outputs/repro_black_bowl_strict_guard_20260511/clean_guard_strict_state7_seed1,/data/liuyu/outputs,2026-05-11T19:39:27.585807,5,560644,episode_records.jsonl|run_manifest.json|step_records.jsonl,libero_spatial,summary,HIGH,CLEAN,path_heuristic,LOW,False,,True,,,,,libero_spatial,CLEAN,TIER_X_REJECTED,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
