step,clean_grip,targeted_grip,targeted_ok,targeted_err,random_grip,task_key,state_id,window_start,window_end,label_status,taxonomy
28,-1.0,-1.0,1,,-1.0,cream_cheese,4,28,45,positive,claim_usable
29,-1.0,1.0,1,,-1.0,cream_cheese,4,28,45,positive,claim_usable
31,1.0,1.0,1,,1.0,cream_cheese,4,28,45,positive,claim_usable
33,1.0,-1.0,1,,1.0,cream_cheese,4,28,45,positive,claim_usable
35,1.0,-1.0,1,,1.0,cream_cheese,4,28,45,positive,claim_usable
37,-1.0,-1.0,1,,-1.0,cream_cheese,4,28,45,positive,claim_usable
39,-1.0,-1.0,1,,-1.0,cream_cheese,4,28,45,positive,claim_usable
41,-1.0,-1.0,1,,-1.0,cream_cheese,4,28,45,positive,claim_usable
43,-1.0,-1.0,1,,-1.0,cream_cheese,4,28,45,positive,claim_usable
45,-1.0,1.0,1,,-1.0,cream_cheese,4,28,45,positive,claim_usable
21,-1.0,-1.0,1,,-1.0,ketchup,1,21,38,positive,claim_usable
22,-1.0,-1.0,1,,-1.0,ketchup,1,21,38,positive,claim_usable
24,-1.0,1.0,1,,-1.0,ketchup,1,21,38,positive,claim_usable
26,1.0,1.0,1,,1.0,ketchup,1,21,38,positive,claim_usable
28,-1.0,-1.0,1,,-1.0,ketchup,1,21,38,positive,claim_usable
30,1.0,-1.0,1,,1.0,ketchup,1,21,38,positive,claim_usable
32,-1.0,-1.0,1,,1.0,ketchup,1,21,38,positive,claim_usable
34,1.0,1.0,1,,1.0,ketchup,1,21,38,positive,claim_usable
36,1.0,1.0,1,,1.0,ketchup,1,21,38,positive,claim_usable
38,1.0,-1.0,1,,1.0,ketchup,1,21,38,positive,claim_usable
39,1.0,-1.0,1,,1.0,ketchup,2,39,56,ignore,polluted
40,1.0,1.0,1,,1.0,ketchup,2,39,56,ignore,polluted
42,1.0,1.0,1,,1.0,ketchup,2,39,56,ignore,polluted
44,1.0,1.0,1,,1.0,ketchup,2,39,56,ignore,polluted
46,1.0,-1.0,1,,1.0,ketchup,2,39,56,ignore,polluted
48,1.0,-1.0,1,,1.0,ketchup,2,39,56,ignore,polluted
50,1.0,-1.0,1,,1.0,ketchup,2,39,56,ignore,polluted
52,1.0,1.0,1,,1.0,ketchup,2,39,56,ignore,polluted
54,1.0,1.0,1,,-1.0,ketchup,2,39,56,ignore,polluted
56,1.0,1.0,1,,1.0,ketchup,2,39,56,ignore,polluted
9,1.0,1.0,1,,1.0,ketchup,5,9,26,negative,action_positive_physical_positive_task_negative
10,1.0,-1.0,1,,1.0,ketchup,5,9,26,negative,action_positive_physical_positive_task_negative
12,1.0,1.0,1,,1.0,ketchup,5,9,26,negative,action_positive_physical_positive_task_negative
14,-1.0,1.0,1,,-1.0,ketchup,5,9,26,negative,action_positive_physical_positive_task_negative
16,1.0,1.0,1,,1.0,ketchup,5,9,26,negative,action_positive_physical_positive_task_negative
18,1.0,-1.0,1,,1.0,ketchup,5,9,26,negative,action_positive_physical_positive_task_negative
20,1.0,1.0,1,,1.0,ketchup,5,9,26,negative,action_positive_physical_positive_task_negative
22,1.0,-1.0,1,,1.0,ketchup,5,9,26,negative,action_positive_physical_positive_task_negative
24,1.0,-1.0,1,,1.0,ketchup,5,9,26,negative,action_positive_physical_positive_task_negative
26,1.0,1.0,1,,1.0,ketchup,5,9,26,negative,action_positive_physical_positive_task_negative
8,-1.0,-1.0,1,,-1.0,milk,1,8,25,positive,claim_usable
9,-1.0,-1.0,1,,-1.0,milk,1,8,25,positive,claim_usable
11,-1.0,-1.0,1,,-1.0,milk,1,8,25,positive,claim_usable
13,-1.0,-1.0,1,,-1.0,milk,1,8,25,positive,claim_usable
15,-1.0,-1.0,1,,-1.0,milk,1,8,25,positive,claim_usable
17,-1.0,-1.0,1,,-1.0,milk,1,8,25,positive,claim_usable
19,-1.0,-1.0,1,,-1.0,milk,1,8,25,positive,claim_usable
21,-1.0,1.0,1,,-1.0,milk,1,8,25,positive,claim_usable
23,-1.0,1.0,1,,1.0,milk,1,8,25,positive,claim_usable
25,1.0,1.0,1,,1.0,milk,1,8,25,positive,claim_usable
19,-1.0,-1.0,1,,-1.0,milk,4,19,36,positive,claim_usable
20,-1.0,-1.0,1,,-1.0,milk,4,19,36,positive,claim_usable
22,-1.0,-1.0,1,,-1.0,milk,4,19,36,positive,claim_usable
24,-1.0,-1.0,1,,-1.0,milk,4,19,36,positive,claim_usable
26,-1.0,-1.0,1,,-1.0,milk,4,19,36,positive,claim_usable
28,1.0,-1.0,1,,1.0,milk,4,19,36,positive,claim_usable
30,1.0,1.0,1,,1.0,milk,4,19,36,positive,claim_usable
32,1.0,-1.0,1,,1.0,milk,4,19,36,positive,claim_usable
34,1.0,-1.0,1,,1.0,milk,4,19,36,positive,claim_usable
36,-1.0,1.0,1,,-1.0,milk,4,19,36,positive,claim_usable
25,-1.0,-1.0,1,,-1.0,milk,5,25,42,negative,action_positive_physical_positive_task_negative
26,-1.0,-1.0,1,,-1.0,milk,5,25,42,negative,action_positive_physical_positive_task_negative
28,-1.0,-1.0,1,,-1.0,milk,5,25,42,negative,action_positive_physical_positive_task_negative
