old_requested_task,corrected_actual_task,state_id,window_start,window_end,condition,attack_seed,env_seed,decoded_open_count,max_open_streak,qpos_pos_area,qpos_neg_area,qpos_baseline,infra_status,old_pair_id,summary_path,trace_path,relabel_source
salad_dressing,bbq_sauce,1,50,60,random_linf,50,1,2,1,0.0,0.01200437,0.00139923,ok,salad_s1_w50_60_s16b,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s16b_command_level_visrand_screen/summary_salad_s1_w50_60_s16b_randomlinf_job953007.json,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s16b_command_level_visrand_screen/trace_salad_s1_w50_60_s16b_randomlinf_job953007.csv,inferred_from_verified_task_order_mapping
salad_dressing,bbq_sauce,1,50,60,vis_pgd,50,1,5,2,0.01246576,0.00586628,0.00139923,ok,salad_s1_w50_60_s16b,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s16b_command_level_visrand_screen/summary_salad_s1_w50_60_s16b_vispgd_job953006.json,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s16b_command_level_visrand_screen/trace_salad_s1_w50_60_s16b_vispgd_job953006.csv,inferred_from_verified_task_order_mapping
salad_dressing,bbq_sauce,0,55,65,random_linf,50,0,1,1,0.00536364,0.00109709,0.00112048,ok,salad_s0_w55_65_s16b,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s16b_command_level_visrand_screen/summary_salad_s0_w55_65_s16b_randomlinf_job953009.json,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s16b_command_level_visrand_screen/trace_salad_s0_w55_65_s16b_randomlinf_job953009.csv,inferred_from_verified_task_order_mapping
salad_dressing,bbq_sauce,0,55,65,vis_pgd,50,0,0,0,0.00019887,0.00881043,0.00137344,ok,salad_s0_w55_65_s16b,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s16b_command_level_visrand_screen/summary_salad_s0_w55_65_s16b_vispgd_job953008.json,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s16b_command_level_visrand_screen/trace_salad_s0_w55_65_s16b_vispgd_job953008.csv,inferred_from_verified_task_order_mapping
butter,cream_cheese,0,80,90,clean,0,0,3,1,0.00021323,0.00664671,0.00174743,ok,butter_s0_w80_90_s11a_sanity,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s11a_oracle_overlap_sanity/summary_butter_s0_w80_90_s11a_sanity_clean_job951010.json,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s11a_oracle_overlap_sanity/trace_butter_s0_w80_90_s11a_sanity_clean_job951010.csv,inferred_from_verified_task_order_mapping
butter,cream_cheese,0,80,90,oracle_open,0,0,10,10,0.343576,0.0,0.00099083,ok,butter_s0_w80_90_s11a_sanity,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s11a_oracle_overlap_sanity/summary_butter_s0_w80_90_s11a_sanity_oracleopen_job951011.json,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s11a_oracle_overlap_sanity/trace_butter_s0_w80_90_s11a_sanity_oracleopen_job951011.csv,inferred_from_verified_task_order_mapping
butter,cream_cheese,0,80,90,random_linf,18,0,3,2,0.15228325,0.0,0.00124829,ok,butter_s0_w80_90_s12a_seed18,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s12a_rand_veto/summary_butter_s0_w80_90_s12a_seed18_randomlinf_job952003.json,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s12a_rand_veto/trace_butter_s0_w80_90_s12a_seed18_randomlinf_job952003.csv,inferred_from_verified_task_order_mapping
butter,cream_cheese,0,80,90,random_linf,19,0,2,1,0.083821,5.922e-05,0.00124829,ok,butter_s0_w80_90_s12a_seed19,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s12a_rand_veto/summary_butter_s0_w80_90_s12a_seed19_randomlinf_job952003.json,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s12a_rand_veto/trace_butter_s0_w80_90_s12a_seed19_randomlinf_job952003.csv,inferred_from_verified_task_order_mapping
butter,cream_cheese,0,80,90,random_linf,20,0,3,3,0.02149873,0.0009106,0.00124829,ok,butter_s0_w80_90_s12a_seed20,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s12a_rand_veto/summary_butter_s0_w80_90_s12a_seed20_randomlinf_job952003.json,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s12a_rand_veto/trace_butter_s0_w80_90_s12a_seed20_randomlinf_job952003.csv,inferred_from_verified_task_order_mapping
butter,cream_cheese,0,80,90,random_linf,50,0,1,1,0.00888693,0.00130446,0.00105,ok,butter_s0_w80_90_s16b_calib,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s16b_command_level_visrand_screen/summary_butter_s0_w80_90_s16b_calib_randomlinf_job953019.json,/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s16b_command_level_visrand_screen/trace_butter_s0_w80_90_s16b_calib_randomlinf_job953019.csv,inferred_from_verified_task_order_mapping
