parent_id,task,state_id,step,is_anchor,existing,capture_worker,relation_to_anchor
butter_s11,butter,11,57,False,False,Worker_A_GPU15,-3
butter_s11,butter,11,58,False,True,existing_reuse,-2
butter_s11,butter,11,59,False,False,Worker_A_GPU15,-1
butter_s11,butter,11,60,True,True,existing_reuse,0
butter_s11,butter,11,61,False,False,Worker_A_GPU15,1
butter_s11,butter,11,62,False,False,Worker_A_GPU15,2
butter_s11,butter,11,63,False,False,Worker_A_GPU15,3
tomato_sauce_s23,tomato_sauce,23,138,False,False,Worker_A_GPU15,-3
tomato_sauce_s23,tomato_sauce,23,139,False,True,existing_reuse,-2
tomato_sauce_s23,tomato_sauce,23,140,False,False,Worker_A_GPU15,-1
tomato_sauce_s23,tomato_sauce,23,141,True,True,existing_reuse,0
tomato_sauce_s23,tomato_sauce,23,142,False,False,Worker_A_GPU15,1
tomato_sauce_s23,tomato_sauce,23,143,False,False,Worker_B_GPU26,2
tomato_sauce_s23,tomato_sauce,23,144,False,False,Worker_B_GPU26,3
salad_dressing_s11,salad_dressing,11,56,False,False,Worker_B_GPU26,-3
salad_dressing_s11,salad_dressing,11,57,False,True,existing_reuse,-2
salad_dressing_s11,salad_dressing,11,58,False,False,Worker_B_GPU26,-1
salad_dressing_s11,salad_dressing,11,59,True,True,existing_reuse,0
salad_dressing_s11,salad_dressing,11,60,False,False,Worker_B_GPU26,1
salad_dressing_s11,salad_dressing,11,61,False,False,Worker_B_GPU26,2
salad_dressing_s11,salad_dressing,11,62,False,False,Worker_B_GPU26,3
