task,state_id,window_start,window_end,window_len,phase,first_close_step,lift_step,preplace_step,done_step
milk,1,5,15,10,approach,50,66,118,152
milk,1,10,20,10,approach,50,66,118,152
milk,1,15,25,10,approach,50,66,118,152
milk,1,20,30,10,approach,50,66,118,152
milk,1,25,35,10,approach,50,66,118,152
milk,1,30,40,10,approach,50,66,118,152
milk,1,35,45,10,approach,50,66,118,152
milk,1,40,50,10,approach,50,66,118,152
milk,1,50,60,10,grasp_transition,50,66,118,152
milk,1,55,65,10,grasp_transition,50,66,118,152
milk,1,60,70,10,grasp_transition,50,66,118,152
milk,1,75,85,10,transport,50,66,118,152
milk,1,80,90,10,transport,50,66,118,152
milk,1,85,95,10,transport,50,66,118,152
milk,1,90,100,10,transport,50,66,118,152
milk,1,95,105,10,transport,50,66,118,152
milk,1,100,110,10,transport,50,66,118,152
milk,1,105,115,10,transport,50,66,118,152
milk,1,110,120,10,transport,50,66,118,152
milk,1,120,130,10,preplace,50,66,118,152
milk,1,125,135,10,preplace,50,66,118,152
milk,1,130,140,10,preplace,50,66,118,152
milk,1,135,145,10,preplace,50,66,118,152
milk,1,140,150,10,preplace,50,66,118,152
cream_cheese,1,5,15,10,approach,56,67,105,125
cream_cheese,1,10,20,10,approach,56,67,105,125
cream_cheese,1,15,25,10,approach,56,67,105,125
cream_cheese,1,20,30,10,approach,56,67,105,125
cream_cheese,1,25,35,10,approach,56,67,105,125
cream_cheese,1,30,40,10,approach,56,67,105,125
cream_cheese,1,35,45,10,approach,56,67,105,125
cream_cheese,1,40,50,10,approach,56,67,105,125
cream_cheese,1,45,55,10,approach,56,67,105,125
cream_cheese,1,50,60,10,approach,56,67,105,125
cream_cheese,1,60,70,10,grasp_transition,56,67,105,125
cream_cheese,1,75,85,10,transport,56,67,105,125
cream_cheese,1,80,90,10,transport,56,67,105,125
cream_cheese,1,85,95,10,transport,56,67,105,125
cream_cheese,1,90,100,10,transport,56,67,105,125
cream_cheese,1,95,105,10,transport,56,67,105,125
cream_cheese,1,105,115,10,preplace,56,67,105,125
cream_cheese,1,110,120,10,preplace,56,67,105,125
cream_cheese,1,115,125,10,place_or_done,56,67,105,125
