task_name,object,state_id,window_start,window_end,source,cmd_label,layer1_selected,pV_cmd,risk_rand,phys_label,oracle_ref,rand_veto_status,vis_probe,full_bridge,status,notes
milk_s0_w70-80,milk,0,70,80,K5/K5c,stable_cmd_specific,TRUE,1.0,1.0,shared_phys,0.2949,CLEAN,PASS,PASS_4of5,anchor_positive,milk gold standard; 5 seeds tested; 4/5 PASS; seed24 strongest (norm=1.297)
milk_s0_w75-85,milk,0,75,85,K5b,stable_rand_sensitive,FALSE,1.0,0.8,stable_rand_phys,,,,untested,rand_sensitive,Layer1 rejected; random-sensitive
milk_s0_w80-90,milk,0,80,90,K5b,stable_rand_sensitive,FALSE,0.8,1.0,stable_rand_phys,,,,untested,rand_sensitive,Layer1 rejected; high risk_rand
milk_s0_w230-240,milk,0,230,240,K5,stable_cmd_specific,TRUE,1.0,1.0,stable_rand_phys,,S15b_running,S15b_running,,s15b_screening,late episode; high risk_rand; swing window
milk_s0_w235-245,milk,0,235,245,K5c,stable_cmd_specific_borderline,TRUE,1.0,0.2,stable_vis_phys,,S15b_running,S15b_running,,s15b_screening,late episode; borderline cmd_specific; low risk_rand
milk_s0_w240-250,milk,0,240,250,K5b,stable_cmd_specific,TRUE,1.0,0.8,stable_rand_phys,,,,untested,late episode; high risk_rand
cream_cheese_s2_w50-60,cream_cheese,2,50,60,K5b,stable_cmd_specific,TRUE,1.0,1.0,stable_rand_phys,0.2838,CLEAN,FAIL,FAIL_0of3,tested_cmd_weak,Layer1+ORACLE+RANDclean; VIS 2-3/10 OPEN; 0/3 bridge
cream_cheese_s0_w85-95,cream_cheese,0,85,95,K5b,stable_cmd_specific,TRUE,0.8,0.4,stable_rand_phys,,S15b_REJECTED,S15b_running,,s15b_REJECTED,RAND seed27 open=3 seed28 open=4; different state from tested
cream_cheese_s1_w145-155,cream_cheese,1,145,155,K5b,stable_negative,FALSE,0.0,0.2,stable_vis_phys,,,,untested,Layer1 negative
cream_cheese_s0_w65-75,cream_cheese,0,65,75,K5c,stable_rand_sensitive,FALSE,0.2,0.4,shared_phys,,,,untested,rand_sensitive
cream_cheese_s0_w85-95_b,cream_cheese,0,85,95,K5c,stable_rand_sensitive,FALSE,0.4,1.0,shared_phys,,,,untested,rand_sensitive; different source from K5b entry
tomato_sauce_s2_w155-165,tomato_sauce,2,155,165,K5b,stable_cmd_specific,TRUE,1.0,0.2,stable_vis_phys,0.6217,REJECTED,CONFOUNDED,CONFOUNDED,tested_RAND_confounded,RAND open 2-7/10; Layer3 abstain
tomato_sauce_s2_w150-160,tomato_sauce,2,150,160,K5,stable_cmd_specific,TRUE,1.0,0.6,stable_rand_phys,0.6011,REJECTED,,,S12a_REJECTED,RAND open 2-5/10
tomato_sauce_s2_w90-100,tomato_sauce,2,90,100,K5,stable_cmd_specific,TRUE,1.0,0.0,stable_vis_phys,0.2686,REJECTED,,,S13a_REJECTED,RAND open 2-3/10
tomato_sauce_s0_w55-65,tomato_sauce,0,55,65,K5b,stable_cmd_specific,TRUE,1.0,0.0,stable_vis_phys,0.5039,REJECTED,,,S13a_REJECTED,RAND seed25 open=4
