queue_group,window_id,task,state_id,env_seed,window_start,window_end,attack_seed,condition,eps,attack_budget,logical_pair_key,cleanrand_score,hidden_risk_score,hidden_safe_score,action_logit_score,rank_method,selection_rank,source_commit,feature_source,online_safe,notes
H_HiddenSafeRank,tomato_sauce_s2_w165_175,tomato_sauce,2,2,165,175,9,VIS,0.03,linf,tomato_sauce_s2_w165_175__atk9,0.322191,0.88539,0.11461,0.605538,HiddenSafeRank,1,de96877,pre_window_only,True,
H_HiddenSafeRank,tomato_sauce_s2_w165_175,tomato_sauce,2,2,165,175,9,RAND,0.03,linf,tomato_sauce_s2_w165_175__atk9,0.322191,0.88539,0.11461,0.605538,HiddenSafeRank,1,de96877,pre_window_only,True,
H_HiddenSafeRank,tomato_sauce_s2_w165_175,tomato_sauce,2,2,165,175,10,VIS,0.03,linf,tomato_sauce_s2_w165_175__atk10,0.322191,0.88539,0.11461,0.605538,HiddenSafeRank,1,de96877,pre_window_only,True,
H_HiddenSafeRank,tomato_sauce_s2_w165_175,tomato_sauce,2,2,165,175,10,RAND,0.03,linf,tomato_sauce_s2_w165_175__atk10,0.322191,0.88539,0.11461,0.605538,HiddenSafeRank,1,de96877,pre_window_only,True,
H_HiddenSafeRank,cream_cheese_s0_w65_75,cream_cheese,0,0,65,75,9,VIS,0.03,linf,cream_cheese_s0_w65_75__atk9,0.45303,0.731056,0.268944,0.382506,HiddenSafeRank,2,de96877,pre_window_only,True,
H_HiddenSafeRank,cream_cheese_s0_w65_75,cream_cheese,0,0,65,75,9,RAND,0.03,linf,cream_cheese_s0_w65_75__atk9,0.45303,0.731056,0.268944,0.382506,HiddenSafeRank,2,de96877,pre_window_only,True,
H_HiddenSafeRank,cream_cheese_s0_w65_75,cream_cheese,0,0,65,75,10,VIS,0.03,linf,cream_cheese_s0_w65_75__atk10,0.45303,0.731056,0.268944,0.382506,HiddenSafeRank,2,de96877,pre_window_only,True,
H_HiddenSafeRank,cream_cheese_s0_w65_75,cream_cheese,0,0,65,75,10,RAND,0.03,linf,cream_cheese_s0_w65_75__atk10,0.45303,0.731056,0.268944,0.382506,HiddenSafeRank,2,de96877,pre_window_only,True,
H_HiddenSafeRank,milk_s0_w70_80,milk,0,0,70,80,9,VIS,0.03,linf,milk_s0_w70_80__atk9,0.109597,0.699327,0.300673,0.401834,HiddenSafeRank,3,de96877,pre_window_only,True,
H_HiddenSafeRank,milk_s0_w70_80,milk,0,0,70,80,9,RAND,0.03,linf,milk_s0_w70_80__atk9,0.109597,0.699327,0.300673,0.401834,HiddenSafeRank,3,de96877,pre_window_only,True,
H_HiddenSafeRank,milk_s0_w70_80,milk,0,0,70,80,10,VIS,0.03,linf,milk_s0_w70_80__atk10,0.109597,0.699327,0.300673,0.401834,HiddenSafeRank,3,de96877,pre_window_only,True,
H_HiddenSafeRank,milk_s0_w70_80,milk,0,0,70,80,10,RAND,0.03,linf,milk_s0_w70_80__atk10,0.109597,0.699327,0.300673,0.401834,HiddenSafeRank,3,de96877,pre_window_only,True,
H_HiddenSafeRank,salad_dressing_s1_w50_60,salad_dressing,1,1,50,60,9,VIS,0.03,linf,salad_dressing_s1_w50_60__atk9,0.424587,0.586721,0.413279,0.375899,HiddenSafeRank,4,de96877,pre_window_only,True,
H_HiddenSafeRank,salad_dressing_s1_w50_60,salad_dressing,1,1,50,60,9,RAND,0.03,linf,salad_dressing_s1_w50_60__atk9,0.424587,0.586721,0.413279,0.375899,HiddenSafeRank,4,de96877,pre_window_only,True,
H_HiddenSafeRank,salad_dressing_s1_w50_60,salad_dressing,1,1,50,60,10,VIS,0.03,linf,salad_dressing_s1_w50_60__atk10,0.424587,0.586721,0.413279,0.375899,HiddenSafeRank,4,de96877,pre_window_only,True,
H_HiddenSafeRank,salad_dressing_s1_w50_60,salad_dressing,1,1,50,60,10,RAND,0.03,linf,salad_dressing_s1_w50_60__atk10,0.424587,0.586721,0.413279,0.375899,HiddenSafeRank,4,de96877,pre_window_only,True,
B_RandomRank,milk_s0_w230_240,milk,0,0,230,240,9,VIS,0.03,linf,milk_s0_w230_240__atk9,0.407426,0.531653,0.468347,0.360776,RandomRank,1,de96877,pre_window_only,True,
B_RandomRank,milk_s0_w230_240,milk,0,0,230,240,9,RAND,0.03,linf,milk_s0_w230_240__atk9,0.407426,0.531653,0.468347,0.360776,RandomRank,1,de96877,pre_window_only,True,
B_RandomRank,milk_s0_w230_240,milk,0,0,230,240,10,VIS,0.03,linf,milk_s0_w230_240__atk10,0.407426,0.531653,0.468347,0.360776,RandomRank,1,de96877,pre_window_only,True,
B_RandomRank,milk_s0_w230_240,milk,0,0,230,240,10,RAND,0.03,linf,milk_s0_w230_240__atk10,0.407426,0.531653,0.468347,0.360776,RandomRank,1,de96877,pre_window_only,True,
B_RandomRank,bbq_sauce_s2_w100_110,bbq_sauce,2,2,100,110,9,VIS,0.03,linf,bbq_sauce_s2_w100_110__atk9,0.320435,0.381962,0.618038,0.337932,RandomRank,2,de96877,pre_window_only,True,
B_RandomRank,bbq_sauce_s2_w100_110,bbq_sauce,2,2,100,110,9,RAND,0.03,linf,bbq_sauce_s2_w100_110__atk9,0.320435,0.381962,0.618038,0.337932,RandomRank,2,de96877,pre_window_only,True,
B_RandomRank,bbq_sauce_s2_w100_110,bbq_sauce,2,2,100,110,10,VIS,0.03,linf,bbq_sauce_s2_w100_110__atk10,0.320435,0.381962,0.618038,0.337932,RandomRank,2,de96877,pre_window_only,True,
B_RandomRank,bbq_sauce_s2_w100_110,bbq_sauce,2,2,100,110,10,RAND,0.03,linf,bbq_sauce_s2_w100_110__atk10,0.320435,0.381962,0.618038,0.337932,RandomRank,2,de96877,pre_window_only,True,
B_RandomRank,butter_s0_w90_100,butter,0,0,90,100,9,VIS,0.03,linf,butter_s0_w90_100__atk9,0.42206,0.176662,0.823338,0.482073,RandomRank,3,de96877,pre_window_only,True,
B_RandomRank,butter_s0_w90_100,butter,0,0,90,100,9,RAND,0.03,linf,butter_s0_w90_100__atk9,0.42206,0.176662,0.823338,0.482073,RandomRank,3,de96877,pre_window_only,True,
B_RandomRank,butter_s0_w90_100,butter,0,0,90,100,10,VIS,0.03,linf,butter_s0_w90_100__atk10,0.42206,0.176662,0.823338,0.482073,RandomRank,3,de96877,pre_window_only,True,
