finding_id,area,status,severity,file,evidence,required_action
R2-001,runner_spec_import,PASS,info,scripts/run_stageb_vis_labeling.py,"Imports OPENVLA_LIBERO_EXEC_SPEC_VERSION official_prompt gripper semantic helpers and get_libero_image_official.","No action required."
R2-002,prompt_style,PASS,info,scripts/run_stageb_vis_labeling.py,"PROMPT_STYLE is official_in_out and runner calls official_prompt(instruction.lower()).","No action required."
R2-003,image_preprocess_metadata,PASS,info,scripts/run_stageb_vis_labeling.py,"image_preprocess_style is recorded and official path calls get_libero_image_official(obs).","No action required; optional visual equivalence smoke later."
R2-004,trace_schema,PASS,info,scripts/run_stageb_vis_labeling.py,"Runner writes 52-column v1.1 trace schema including raw/env action vectors qpos fields decoded_open_bool open_convention trace_version git_commit prompt_style image_preprocess_style and unnorm_key.","No action required."
R2-005,decoded_open_bool,PASS,info,scripts/run_stageb_vis_labeling.py,"decoded_open_bool is derived from env_gripper_is_open(env_action_6).","No action required."
R2-006,git_commit,PASS,info,scripts/run_stageb_vis_labeling.py,"Runner obtains git_commit via git rev-parse --short HEAD and records git_dirty.","No action required."
R2-007,random_metadata,PARTIAL,warning,scripts/run_stageb_vis_labeling.py,"random_seed perturbation_space random_noise_linf random_noise_l2 and epsilon metadata are recorded but torch.rand_like does not appear explicitly seeded from the recorded value.","Seed torch random generator explicitly or mark perturbation as non-replayable."
R2-008,validator_schema_gate,PASS,info,scripts/stageb/validate_stageb_trace_v1_1.py,"Validator hard-fails missing required columns wrong trace_version wrong qpos_source wrong open_convention invalid decoded_open_bool placeholder git_commit and inconsistent pair_id within a trace.","No action required."
R2-009,validator_metadata_gate,PARTIAL,warning,scripts/stageb/validate_stageb_trace_v1_1.py,"Validator does not hard-fail unexpected prompt_style image_preprocess_style exec_spec_version unnorm_key or condition-specific random metadata.","Add explicit metadata gates before full production labeling."
R2-010,pair_id_shared_across_conditions,BLOCKER,high,scripts/diagnostics/generate_stageb_worker_scripts.py,"Worker script launches VIS and random as separate runner processes and does not pass shared pair_id; runner creates uuid internally per process.","Add --pair_id to runner and pass the same pair_id for matched VIS/random invocations."
R2-011,postprocess_trace_version_gate,BLOCKER,high,scripts/stageb/postprocess_patched_traces_v1.py,"Postprocess only checks obs_gripper_qpos_0 and does not require trace_version corrected_stageb_v1_1.","Patch postprocess to accept only corrected_stageb_v1_1 traces."
R2-012,postprocess_filename_parsing,BLOCKER,high,scripts/stageb/postprocess_patched_traces_v1.py,"Postprocess parses task from filename pieces and does not use summary JSON/trace columns as source of truth.","Read task condition state seed window and pair_id from trace rows or summary JSON."
R2-013,postprocess_pairing_key,BLOCKER,high,scripts/stageb/postprocess_patched_traces_v1.py,"Postprocess pairs by task/window only and does not include pair_id state_id or seed.","Pair by pair_id plus task/state/seed/window and require exactly one VIS and one random."
R2-014,postprocess_shifted_qpos,BLOCKER,high,scripts/stageb/postprocess_patched_traces_v1.py,"Shifted qpos uses rows[i+1] from enumerate(att) rather than step_dict[step+1].","Compute shifted qpos using the actual step index mapping."
R2-015,label_builder_old_input,BLOCKER,high,scripts/stageb/build_pair_labels_v1.py,"Label builder still reads stageb_v1_windows_for_labels.csv and docstring references patched_stageb_v1.","Create v1.1 builder or hard-gate input provenance/trace_version before labeling."
R2-016,label_builder_old_label_quarantine,BLOCKER,high,scripts/stageb/build_pair_labels_v1.py,"No hard fail for old labels/traces or v1 outputs.","Hard-fail any non-corrected_stageb_v1_1 source before producing labels."
R2-017,token_region_audit,PASS,info,src/gripper_attack/attack_adapter.py,"OPEN region uses decoded_action >= 0.5 plus env_gripper_is_open; saturation tokens are classified by decoded physical env sign.","No action required."
R2-018,tests,PASS_WITH_SCOPE_CAVEAT,warning,tests/stageb,"Selected pure-Python tests pass 22/22 but some tests assert intended snippets rather than executing actual postprocess/label-builder scripts.","Add integration tests that run actual postprocess and pair-label builder on synthetic v1.1 traces."
