task_key,state_id,window_start,window_end,phase_bin_proxy,candidate_role,clean_open_ratio,T_gform,relative_lead,qpos_start,qpos_min,eef_speed_mean,actual_window_len,reason_selected
tomato_sauce,3,17,34,approach_far_closed_proxy,approach_far_closed_proxy,0.0,67,-50,0.039435,0.039435,0.754419,18,batch3b_approach_far_closed_proxy
orange_juice,2,17,34,approach_far_closed_proxy,approach_far_closed_proxy,0.0,83,-66,0.03902,0.03902,0.762576,18,batch3b_approach_far_closed_proxy
salad_dressing,5,28,45,approach_far_closed_proxy,approach_far_closed_proxy,0.0,78,-50,0.039647,0.039647,0.652756,18,batch3b_approach_far_closed_proxy
milk,8,8,25,approach_far_closed_proxy,approach_far_closed_proxy,0.0,58,-50,0.039165,0.039165,0.286591,18,batch3b_approach_far_closed_proxy
bbq_sauce,0,5,22,approach_far_closed_proxy,approach_far_closed_proxy,0.0,75,-70,0.039047,0.039047,0.562242,18,batch3b_approach_far_closed_proxy
tomato_sauce,1,23,40,approach_near_closed_proxy,approach_near_closed_proxy,0.0,73,-50,0.039545,0.039545,0.331893,18,batch3b_approach_near_closed_proxy
orange_juice,1,10,27,approach_near_closed_proxy,approach_near_closed_proxy,0.0,60,-50,0.039204,0.039204,0.602981,18,batch3b_approach_near_closed_proxy
cream_cheese,3,44,61,approach_near_closed_proxy,approach_near_closed_proxy,0.0,108,-64,0.039781,0.039781,0.301012,18,batch3b_approach_near_closed_proxy
salad_dressing,1,26,43,approach_near_closed_proxy,approach_near_closed_proxy,0.0,76,-50,0.039588,0.039588,0.501323,18,batch3b_approach_near_closed_proxy
milk,1,18,35,approach_near_closed_proxy,approach_near_closed_proxy,0.0,96,-78,0.039407,0.039407,0.166206,18,batch3b_approach_near_closed_proxy
bbq_sauce,0,15,32,approach_near_closed_proxy,approach_near_closed_proxy,0.0,75,-60,0.039368,0.039368,0.552193,18,batch3b_approach_near_closed_proxy
alphabet_soup,6,40,57,approach_near_closed_proxy,approach_near_closed_proxy,0.0,90,-50,0.039443,0.039443,0.266514,18,batch3b_approach_near_closed_proxy
butter,8,36,53,approach_near_closed_proxy,approach_near_closed_proxy,0.0,86,-50,0.039731,0.039731,0.063268,18,batch3b_approach_near_closed_proxy
ketchup,4,28,45,pre_lock_closed_proxy,pre_lock_closed_proxy,0.0556,83,-55,0.039582,0.039582,0.114999,18,batch3b_pre_lock_closed_proxy
