artifact_path,artifact_type,risk_category,reason,recommended_action
/data/liuyu/outputs/milestone_r1_official_eval_20260526/eval_log_w45_2026_05_26-23_56_35.txt,txt,center_crop_missing,Artifact appears official-aligned but center_crop is missing/false.,Treat as non-official-aligned unless separately proven.
/data/liuyu/outputs/milestone_r1_official_eval_20260526/eval_log_w45_2026_05_27-00_12_07.txt,txt,center_crop_missing,Artifact appears official-aligned but center_crop is missing/false.,Treat as non-official-aligned unless separately proven.
/data/liuyu/outputs/milestone_r1_official_eval_20260526/eval_log_2026_05_26-23_54_29.txt,txt,center_crop_missing,Artifact appears official-aligned but center_crop is missing/false.,Treat as non-official-aligned unless separately proven.
/data/liuyu/outputs/milestone_r1_official_eval_20260526/eval_log_w45_2026_05_27-10_12_12.txt,txt,center_crop_missing,Artifact appears official-aligned but center_crop is missing/false.,Treat as non-official-aligned unless separately proven.
/data/liuyu/outputs/milestone_r1_official_eval_20260526/eval_log_test_2026_05_27-00_01_12.txt,txt,center_crop_missing,Artifact appears official-aligned but center_crop is missing/false.,Treat as non-official-aligned unless separately proven.
/data/liuyu/outputs/milestone_r1_official_eval_20260526/eval_log_w26_2026_05_27-00_12_07.txt,txt,center_crop_missing,Artifact appears official-aligned but center_crop is missing/false.,Treat as non-official-aligned unless separately proven.
/data/liuyu/outputs/milestone_r1_official_eval_20260526/eval_log_w26_2026_05_26-23_56_35.txt,txt,center_crop_missing,Artifact appears official-aligned but center_crop is missing/false.,Treat as non-official-aligned unless separately proven.
/data/liuyu/outputs/milestone_r1_official_eval_20260526/eval_log_w26_2026_05_27-10_12_12.txt,txt,center_crop_missing,Artifact appears official-aligned but center_crop is missing/false.,Treat as non-official-aligned unless separately proven.
/data/liuyu/outputs/milestone_r1_official_eval_20260526/eval_log_w01_2026_05_26-23_56_35.txt,txt,center_crop_missing,Artifact appears official-aligned but center_crop is missing/false.,Treat as non-official-aligned unless separately proven.
/data/liuyu/outputs/milestone_r1_official_eval_20260526/eval_log_test2_2026_05_27-00_02_42.txt,txt,center_crop_missing,Artifact appears official-aligned but center_crop is missing/false.,Treat as non-official-aligned unless separately proven.
/data/liuyu/outputs/milestone_r1_official_eval_20260526/tables/object_official_script_100_summary_by_task.csv,csv,center_crop_missing,Artifact appears official-aligned but center_crop is missing/false.,Treat as non-official-aligned unless separately proven.
/data/liuyu/outputs/milestone_r1_official_eval_20260526/tables/object_official_script_100_summary_by_task.csv,csv,unknown_state_id,State-level-looking artifact has unknown state_id.,Do not use for state-level claims.
/data/liuyu/outputs/milestone_r1_official_eval_20260526/tables/object_official_script_100_summary_by_task.csv,csv,task_sr_as_state,"Task-level SR only, not per-state evidence.",Do not fabricate per-state success.
/data/liuyu/outputs/milestone_r1_official_eval_20260526/tables/object_official_script_100_manifest.csv,csv,center_crop_missing,Artifact appears official-aligned but center_crop is missing/false.,Treat as non-official-aligned unless separately proven.
/data/liuyu/outputs/milestone_r1_official_eval_20260526/parity_debug/official_wrapper_trace.json,json,center_crop_missing,Artifact appears official-aligned but center_crop is missing/false.,Treat as non-official-aligned unless separately proven.
/data/liuyu/outputs/milestone_r1_official_eval_20260526/parity_debug/preprocess,frame_dir,center_crop_missing,Artifact appears official-aligned but center_crop is missing/false.,Treat as non-official-aligned unless separately proven.
/data/liuyu/outputs/milestone_r2_official_v4_object_alignment_20260526/tables/object_official_corrected_100_manifest_reconstructed.csv,csv,reconstructed_low_confidence,Reconstructed official rows include W45 overwritten low-confidence task-SR inference.,Use source_confidence column; do not treat low-confidence inferred rows as raw.
/data/liuyu/outputs/milestone_r2_official_v4_object_alignment_20260526/tables/object_official_vs_v4_task_gap_summary.csv,csv,center_crop_missing,Artifact appears official-aligned but center_crop is missing/false.,Treat as non-official-aligned unless separately proven.
/data/liuyu/outputs/milestone_r2_official_v4_object_alignment_20260526/tables/object_official_vs_v4_task_gap_summary.csv,csv,unknown_state_id,State-level-looking artifact has unknown state_id.,Do not use for state-level claims.
/data/liuyu/outputs/milestone_r2_official_v4_object_alignment_20260526/tables/object_official_vs_v4_per_episode_diff.csv,csv,center_crop_missing,Artifact appears official-aligned but center_crop is missing/false.,Treat as non-official-aligned unless separately proven.
/data/liuyu/outputs/milestone_r2_official_v4_object_alignment_20260526/reports/OFFICIAL_V4_GAP_SUMMARY.md,md,center_crop_missing,Artifact appears official-aligned but center_crop is missing/false.,Treat as non-official-aligned unless separately proven.
/data/liuyu/outputs/milestone_r2_official_v4_object_alignment_20260526/reports/OFFICIAL_V4_GAP_SUMMARY.md,md,unknown_state_id,State-level-looking artifact has unknown state_id.,Do not use for state-level claims.
/data/liuyu/outputs/milestone_r2_official_v4_object_alignment_20260526/reports/V4_VS_OFFICIAL_IMPLEMENTATION_DIFF.md,md,center_crop_missing,Artifact appears official-aligned but center_crop is missing/false.,Treat as non-official-aligned unless separately proven.
/data/liuyu/outputs/milestone_r2_official_v4_object_alignment_20260526/reports/V4_VS_OFFICIAL_IMPLEMENTATION_DIFF.md,md,unknown_state_id,State-level-looking artifact has unknown state_id.,Do not use for state-level claims.
/data/liuyu/outputs/milestone_r2_official_v4_object_alignment_20260526/reports/OFFICIAL_V4_ALIGNMENT_DIAGNOSIS.md,md,center_crop_missing,Artifact appears official-aligned but center_crop is missing/false.,Treat as non-official-aligned unless separately proven.
/data/liuyu/outputs/milestone_r2_official_v4_object_alignment_20260526/reports/OFFICIAL_V4_ALIGNMENT_DIAGNOSIS.md,md,unknown_state_id,State-level-looking artifact has unknown state_id.,Do not use for state-level claims.
