trace_path,task,state_id,seed,condition,window_start,window_end,window_source,selector_type,phase,generated_OPEN_count,generated_OPEN_total,qpos_opening_delta,qpos_abs_delta,qpos_post_start,qpos_post_min,armL2_max,done,timeout,attack_invalid,schema_incomplete,claim_excluded,exclusion_reason
/data/liuyu/outputs/nightly_object_batch3b_20260604/alphabet_soup_s6/traces/alphabet_soup_s6_clean_w40_57_trace.csv,alphabet_soup,6,0,clean,40,57,fixed,fixed,grasp_formation,0,18,0.0,0.000227,0.039574,0.039574,0.0,True,False,False,False,False,
/data/liuyu/outputs/nightly_object_batch3b_20260604/alphabet_soup_s6/traces/alphabet_soup_s6_random_linf_w40_57_trace.csv,alphabet_soup,6,0,random_linf,40,57,fixed,fixed,grasp_formation,0,18,0.0,0.000225,0.039573,0.039573,0.222866,True,False,False,False,False,
/data/liuyu/outputs/nightly_object_batch3b_20260604/alphabet_soup_s6/traces/alphabet_soup_s6_vis_pgd_w40_57_trace.csv,alphabet_soup,6,0,vis_pgd,40,57,fixed,fixed,grasp_formation,0,18,0.0,0.000155,0.039696,0.039696,0.0,True,False,False,False,False,
/data/liuyu/outputs/nightly_object_batch3b_20260604/bbq_sauce_s0/traces/bbq_sauce_s0_clean_w15_32_trace.csv,bbq_sauce,0,0,clean,15,32,fixed,fixed,grasp_formation,0,18,0.0,0.000497,0.039041,0.039041,0.0,True,False,False,False,False,
/data/liuyu/outputs/nightly_object_batch3b_20260604/bbq_sauce_s0/traces/bbq_sauce_s0_clean_w5_22_trace.csv,bbq_sauce,0,0,clean,5,22,fixed,fixed,grasp_formation,0,18,0.0,0.003163,0.036156,0.036156,0.0,True,False,False,False,False,
/data/liuyu/outputs/nightly_object_batch3b_20260604/bbq_sauce_s0/traces/bbq_sauce_s0_random_linf_w15_32_trace.csv,bbq_sauce,0,0,random_linf,15,32,fixed,fixed,grasp_formation,0,18,0.0,0.000491,0.03905,0.03905,0.190791,False,True,False,False,False,
/data/liuyu/outputs/nightly_object_batch3b_20260604/bbq_sauce_s0/traces/bbq_sauce_s0_random_linf_w5_22_trace.csv,bbq_sauce,0,0,random_linf,5,22,fixed,fixed,grasp_formation,0,18,0.0,0.003125,0.036155,0.036155,0.223792,True,False,False,False,False,
/data/liuyu/outputs/nightly_object_batch3b_20260604/bbq_sauce_s0/traces/bbq_sauce_s0_vis_pgd_w5_22_trace.csv,bbq_sauce,0,0,vis_pgd,5,22,fixed,fixed,grasp_formation,1,18,0.0,0.0029,0.036143,0.036143,0.868976,True,False,False,False,False,
/data/liuyu/outputs/nightly_object_batch3b_20260604/ketchup_s4/traces/ketchup_s4_clean_w28_45_trace.csv,ketchup,4,0,clean,28,45,fixed,fixed,grasp_formation,0,18,0.0,0.000318,0.039275,0.039275,0.0,True,False,False,False,False,
/data/liuyu/outputs/nightly_object_batch3b_20260604/ketchup_s4/traces/ketchup_s4_random_linf_w28_45_trace.csv,ketchup,4,0,random_linf,28,45,fixed,fixed,grasp_formation,0,18,0.0,0.000321,0.039275,0.039275,0.20842,True,False,False,False,False,
/data/liuyu/outputs/nightly_object_batch3b_20260604/ketchup_s4/traces/ketchup_s4_vis_pgd_w28_45_trace.csv,ketchup,4,0,vis_pgd,28,45,fixed,fixed,grasp_formation,0,18,0.0,0.000318,0.039275,0.039275,0.0,True,False,False,False,False,
/data/liuyu/outputs/nightly_object_batch3b_20260604/milk_s1/traces/milk_s1_clean_w18_35_trace.csv,milk,1,0,clean,18,35,fixed,fixed,grasp_formation,0,18,0.0,0.000505,0.039064,0.039064,0.0,True,False,False,False,False,
/data/liuyu/outputs/nightly_object_batch3b_20260604/milk_s1/traces/milk_s1_random_linf_w18_35_trace.csv,milk,1,0,random_linf,18,35,fixed,fixed,grasp_formation,0,18,0.0,0.000509,0.039064,0.039064,0.223256,True,False,False,False,False,
/data/liuyu/outputs/nightly_object_batch3b_20260604/milk_s1/traces/milk_s1_vis_pgd_w18_35_trace.csv,milk,1,0,vis_pgd,18,35,fixed,fixed,grasp_formation,0,18,0.0,0.000395,0.03916,0.03916,0.0,True,False,False,False,False,
/data/liuyu/outputs/nightly_object_batch3b_20260604/milk_s8/traces/milk_s8_clean_w8_25_trace.csv,milk,8,0,clean,8,25,fixed,fixed,grasp_formation,0,18,0.0,0.001757,0.037514,0.037514,0.0,True,False,False,False,False,
/data/liuyu/outputs/nightly_object_batch3b_20260604/milk_s8/traces/milk_s8_random_linf_w8_25_trace.csv,milk,8,0,random_linf,8,25,fixed,fixed,grasp_formation,0,18,0.0,0.001764,0.037514,0.037514,0.306227,True,False,False,False,False,
/data/liuyu/outputs/nightly_object_batch3b_20260604/milk_s8/traces/milk_s8_vis_pgd_w8_25_trace.csv,milk,8,0,vis_pgd,8,25,fixed,fixed,grasp_formation,0,18,0.0,0.001782,0.03749,0.03749,0.0,True,False,False,False,False,
/data/liuyu/outputs/nightly_object_batch3b_20260604/orange_juice_s2/traces/orange_juice_s2_clean_w17_34_trace.csv,orange_juice,2,0,clean,17,34,fixed,fixed,grasp_formation,0,18,0.0,0.000435,0.039135,0.039135,0.0,True,False,False,False,False,
/data/liuyu/outputs/nightly_object_batch3b_20260604/orange_juice_s2/traces/orange_juice_s2_random_linf_w17_34_trace.csv,orange_juice,2,0,random_linf,17,34,fixed,fixed,grasp_formation,0,18,0.0,0.000435,0.039135,0.039135,0.353834,True,False,False,False,False,
/data/liuyu/outputs/nightly_object_batch3b_20260604/orange_juice_s2/traces/orange_juice_s2_vis_pgd_w17_34_trace.csv,orange_juice,2,0,vis_pgd,17,34,fixed,fixed,grasp_formation,0,18,0.0,0.000444,0.039136,0.039136,0.0,True,False,False,False,False,
/data/liuyu/outputs/nightly_object_batch3b_20260604/salad_dressing_s5/traces/salad_dressing_s5_clean_w28_45_trace.csv,salad_dressing,5,0,clean,28,45,fixed,fixed,grasp_formation,0,18,0.0,0.000241,0.039488,0.039488,0.0,True,False,False,False,False,
