parent_id,frame_step,frame_role,seed,condition,target_token,lambda,gpu
butter_s11,58,teacher_ws,81,TRUE_PGD_TRAJECTORY21_SELECTIVE,31744,2.0,"1,5"
butter_s11,58,teacher_ws,82,TRUE_PGD_TRAJECTORY21_SELECTIVE,31744,2.0,"1,5"
butter_s11,60,teacher_anchor+d5_emit,81,TRUE_PGD_TRAJECTORY21_SELECTIVE,31744,2.0,"1,5"
butter_s11,60,teacher_anchor+d5_emit,82,TRUE_PGD_TRAJECTORY21_SELECTIVE,31744,2.0,"1,5"
butter_s11,68,teacher_we,81,TRUE_PGD_TRAJECTORY21_SELECTIVE,31744,2.0,"1,5"
butter_s11,68,teacher_we,82,TRUE_PGD_TRAJECTORY21_SELECTIVE,31744,2.0,"1,5"
tomato_sauce_s23,69,d5_emit,81,TRUE_PGD_TRAJECTORY21_SELECTIVE,31744,2.0,"1,5"
tomato_sauce_s23,69,d5_emit,82,TRUE_PGD_TRAJECTORY21_SELECTIVE,31744,2.0,"1,5"
tomato_sauce_s23,139,teacher_ws,81,TRUE_PGD_TRAJECTORY21_SELECTIVE,31744,2.0,"1,5"
tomato_sauce_s23,139,teacher_ws,82,TRUE_PGD_TRAJECTORY21_SELECTIVE,31744,2.0,"1,5"
tomato_sauce_s23,141,teacher_anchor,81,TRUE_PGD_TRAJECTORY21_SELECTIVE,31744,2.0,"1,5"
tomato_sauce_s23,141,teacher_anchor,82,TRUE_PGD_TRAJECTORY21_SELECTIVE,31744,2.0,"1,5"
salad_dressing_s11,57,teacher_ws,81,TRUE_PGD_TRAJECTORY21_SELECTIVE,31744,2.0,"1,5"
salad_dressing_s11,57,teacher_ws,82,TRUE_PGD_TRAJECTORY21_SELECTIVE,31744,2.0,"1,5"
salad_dressing_s11,59,teacher_anchor,81,TRUE_PGD_TRAJECTORY21_SELECTIVE,31744,2.0,"1,5"
salad_dressing_s11,59,teacher_anchor,82,TRUE_PGD_TRAJECTORY21_SELECTIVE,31744,2.0,"1,5"
salad_dressing_s11,67,teacher_we,81,TRUE_PGD_TRAJECTORY21_SELECTIVE,31744,2.0,"1,5"
salad_dressing_s11,67,teacher_we,82,TRUE_PGD_TRAJECTORY21_SELECTIVE,31744,2.0,"1,5"
salad_dressing_s11,128,d5_emit,81,TRUE_PGD_TRAJECTORY21_SELECTIVE,31744,2.0,"1,5"
salad_dressing_s11,128,d5_emit,82,TRUE_PGD_TRAJECTORY21_SELECTIVE,31744,2.0,"1,5"
