trace_file,trace_path,log_file,log_path,rows,has_trace,has_p0_denominator_fields,field_count,missing_fields,validity_status,validity_note,needs_manual_audit,random_denominator_status,crashed
vis_cream_cheese_s0_vis_pgd_full_d11_w65_75_seed0_open_streak_stop_K5_Q0_md16_042831_trace.csv,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_cream_cheese_s0_vis_pgd_full_d11_w65_75_seed0_open_streak_stop_K5_Q0_md16_042831_trace.csv,,,136,True,False,26,attack_attempted|controller_active|controller_stopped|effective_attack_step_idx|pgd_applied|qpos_post_step|qpos_pre_step,schema_incomplete,missing_fields=attack_attempted|controller_active|controller_stopped|effective_attack_step_idx|pgd_applied|qpos_post_step|qpos_pre_step,True,random_denominator_missing,False
vis_cream_cheese_s0_vis_pgd_full_d16_w65_80_seed0_open_streak_stop_K2_Q0_md16_110852_trace.csv,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_cream_cheese_s0_vis_pgd_full_d16_w65_80_seed0_open_streak_stop_K2_Q0_md16_110852_trace.csv,,,129,True,False,26,attack_attempted|controller_active|controller_stopped|effective_attack_step_idx|pgd_applied|qpos_post_step|qpos_pre_step,schema_incomplete,missing_fields=attack_attempted|controller_active|controller_stopped|effective_attack_step_idx|pgd_applied|qpos_post_step|qpos_pre_step,True,random_denominator_missing,False
vis_cream_cheese_s0_vis_pgd_full_d16_w65_80_seed0_open_streak_stop_K3_Q0_md16_112346_trace.csv,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_cream_cheese_s0_vis_pgd_full_d16_w65_80_seed0_open_streak_stop_K3_Q0_md16_112346_trace.csv,,,143,True,False,26,attack_attempted|controller_active|controller_stopped|effective_attack_step_idx|pgd_applied|qpos_post_step|qpos_pre_step,schema_incomplete,missing_fields=attack_attempted|controller_active|controller_stopped|effective_attack_step_idx|pgd_applied|qpos_post_step|qpos_pre_step,True,random_denominator_missing,False
vis_cream_cheese_s0_vis_pgd_full_d16_w65_80_seed0_open_streak_stop_K3_Q0_md16_120533_trace.csv,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_cream_cheese_s0_vis_pgd_full_d16_w65_80_seed0_open_streak_stop_K3_Q0_md16_120533_trace.csv,,,165,True,False,26,attack_attempted|controller_active|controller_stopped|effective_attack_step_idx|pgd_applied|qpos_post_step|qpos_pre_step,schema_incomplete,missing_fields=attack_attempted|controller_active|controller_stopped|effective_attack_step_idx|pgd_applied|qpos_post_step|qpos_pre_step,True,random_denominator_missing,False
vis_cream_cheese_s0_vis_pgd_full_d20_w65_84_seed0_min_hold_qpos_cap_K0_Q0.008_md20_114917_trace.csv,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_cream_cheese_s0_vis_pgd_full_d20_w65_84_seed0_min_hold_qpos_cap_K0_Q0.008_md20_114917_trace.csv,,,299,True,False,26,attack_attempted|controller_active|controller_stopped|effective_attack_step_idx|pgd_applied|qpos_post_step|qpos_pre_step,schema_incomplete,missing_fields=attack_attempted|controller_active|controller_stopped|effective_attack_step_idx|pgd_applied|qpos_post_step|qpos_pre_step,True,random_denominator_missing,False
vis_ketchup_s0_vis_pgd_full_d11_w93_103_seed0_open_streak_stop_K5_Q0_md16_021314_trace.csv,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d11_w93_103_seed0_open_streak_stop_K5_Q0_md16_021314_trace.csv,,,299,True,False,26,attack_attempted|controller_active|controller_stopped|effective_attack_step_idx|pgd_applied|qpos_post_step|qpos_pre_step,schema_incomplete,missing_fields=attack_attempted|controller_active|controller_stopped|effective_attack_step_idx|pgd_applied|qpos_post_step|qpos_pre_step,True,random_denominator_missing,False
vis_ketchup_s0_vis_pgd_full_d11_w93_103_seed0_open_streak_stop_K5_Q0_md16_110921_trace.csv,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d11_w93_103_seed0_open_streak_stop_K5_Q0_md16_110921_trace.csv,,,159,True,False,26,attack_attempted|controller_active|controller_stopped|effective_attack_step_idx|pgd_applied|qpos_post_step|qpos_pre_step,schema_incomplete,missing_fields=attack_attempted|controller_active|controller_stopped|effective_attack_step_idx|pgd_applied|qpos_post_step|qpos_pre_step,True,random_denominator_missing,False
vis_ketchup_s0_vis_pgd_full_d16_w93_108_seed0_open_streak_stop_K3_Q0_md16_112613_trace.csv,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d16_w93_108_seed0_open_streak_stop_K3_Q0_md16_112613_trace.csv,,,166,True,False,26,attack_attempted|controller_active|controller_stopped|effective_attack_step_idx|pgd_applied|qpos_post_step|qpos_pre_step,schema_incomplete,missing_fields=attack_attempted|controller_active|controller_stopped|effective_attack_step_idx|pgd_applied|qpos_post_step|qpos_pre_step,True,random_denominator_missing,False
vis_ketchup_s0_vis_pgd_full_d16_w93_108_seed0_open_streak_stop_K3_Q0_md16_120646_trace.csv,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d16_w93_108_seed0_open_streak_stop_K3_Q0_md16_120646_trace.csv,,,299,True,False,26,attack_attempted|controller_active|controller_stopped|effective_attack_step_idx|pgd_applied|qpos_post_step|qpos_pre_step,schema_incomplete,missing_fields=attack_attempted|controller_active|controller_stopped|effective_attack_step_idx|pgd_applied|qpos_post_step|qpos_pre_step,True,random_denominator_missing,False
vis_ketchup_s0_vis_pgd_full_d20_w93_112_seed0_min_hold_qpos_cap_K0_Q0.012_md20_114638_trace.csv,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d20_w93_112_seed0_min_hold_qpos_cap_K0_Q0.012_md20_114638_trace.csv,,,176,True,False,26,attack_attempted|controller_active|controller_stopped|effective_attack_step_idx|pgd_applied|qpos_post_step|qpos_pre_step,schema_incomplete,missing_fields=attack_attempted|controller_active|controller_stopped|effective_attack_step_idx|pgd_applied|qpos_post_step|qpos_pre_step,True,random_denominator_missing,False
