task,state_id,window_start,window_end,phase,rel_timing,p_cmd_specific,source,excluded_from_training
tomato_sauce,3,20,30,approach,0.18,0.81,unseen,True
tomato_sauce,3,5,15,approach,0.07,0.77,unseen,True
tomato_sauce,3,10,20,approach,0.11,0.77,unseen,True
tomato_sauce,3,15,25,approach,0.14,0.77,unseen,True
ketchup,1,5,15,approach,0.06,0.74,unseen,True
ketchup,1,10,20,approach,0.08,0.74,unseen,True
ketchup,1,15,25,approach,0.11,0.74,unseen,True
ketchup,1,20,30,approach,0.14,0.74,unseen,True
ketchup,1,25,35,approach,0.17,0.74,unseen,True
ketchup,1,30,40,approach,0.2,0.73,unseen,True
ketchup,1,35,45,approach,0.22,0.73,unseen,True
tomato_sauce,5,5,15,approach,0.06,0.72,unseen,True
tomato_sauce,5,10,20,approach,0.09,0.72,unseen,True
tomato_sauce,5,15,25,approach,0.11,0.72,unseen,True
tomato_sauce,5,20,30,approach,0.14,0.72,unseen,True
tomato_sauce,5,25,35,approach,0.17,0.72,unseen,True
tomato_sauce,5,30,40,approach,0.2,0.72,unseen,True
tomato_sauce,5,35,45,approach,0.23,0.71,unseen,True
tomato_sauce,5,40,50,approach,0.26,0.66,unseen,True
tomato_sauce,5,45,55,approach,0.29,0.65,unseen,True
tomato_sauce,3,30,40,approach,0.25,0.63,unseen,True
ketchup,1,45,55,grasp_transition,0.28,0.61,unseen,True
tomato_sauce,5,55,65,approach,0.34,0.59,unseen,True
tomato_sauce,5,50,60,approach,0.31,0.58,unseen,True
ketchup,1,60,70,grasp_transition,0.36,0.49,unseen,True
tomato_sauce,3,35,45,approach,0.29,0.4,unseen,True
tomato_sauce,3,40,50,approach,0.32,0.31,unseen,True
tomato_sauce,3,125,135,preplace,0.93,0.31,unseen,True
tomato_sauce,5,140,150,transport,0.83,0.29,unseen,True
tomato_sauce,3,45,55,approach,0.36,0.28,unseen,True
tomato_sauce,3,130,140,place_or_done,0.96,0.28,unseen,True
tomato_sauce,5,135,145,transport,0.8,0.28,unseen,True
tomato_sauce,3,50,60,approach,0.39,0.27,unseen,True
tomato_sauce,3,65,75,grasp_transition,0.5,0.27,unseen,True
tomato_sauce,3,110,120,preplace,0.82,0.27,unseen,True
tomato_sauce,3,60,70,grasp_transition,0.46,0.26,unseen,True
tomato_sauce,3,115,125,preplace,0.86,0.26,unseen,True
tomato_sauce,3,120,130,preplace,0.89,0.26,unseen,True
tomato_sauce,5,130,140,transport,0.77,0.26,unseen,True
tomato_sauce,3,55,65,approach,0.43,0.25,unseen,True
tomato_sauce,5,125,135,transport,0.74,0.25,unseen,True
ketchup,1,145,155,transport,0.84,0.24,unseen,True
ketchup,1,125,135,transport,0.73,0.23,unseen,True
ketchup,1,160,170,preplace,0.92,0.23,unseen,True
tomato_sauce,3,105,115,transport,0.79,0.23,unseen,True
tomato_sauce,3,100,110,transport,0.75,0.22,unseen,True
tomato_sauce,3,90,100,transport,0.68,0.21,unseen,True
tomato_sauce,3,95,105,transport,0.71,0.21,unseen,True
tomato_sauce,3,85,95,transport,0.64,0.2,unseen,True
tomato_sauce,5,120,130,transport,0.71,0.2,unseen,True
tomato_sauce,3,80,90,transport,0.61,0.19,unseen,True
ketchup,1,85,95,grasp_transition,0.5,0.18,unseen,True
ketchup,1,75,85,grasp_transition,0.45,0.16,unseen,True
ketchup,1,80,90,grasp_transition,0.47,0.16,unseen,True
tomato_sauce,5,105,115,early_transport,0.63,0.15,unseen,True
tomato_sauce,5,110,120,transport,0.66,0.15,unseen,True
tomato_sauce,5,115,125,transport,0.69,0.15,unseen,True
ketchup,1,95,105,grasp_transition,0.56,0.13,unseen,True
