json_pointer,current_value,required_source,verified_value,verification_method,status,blocking_gate,notes
/status,DRAFT_NOT_AUTHORIZED,preregistration draft,DRAFT_NOT_AUTHORIZED,read JSON,VERIFIED,baseline_launch,"Draft does not authorize experiments."
/repository/final_commit_sha,null,GitHub base branch,93e2373bc06db7598eeb8f36ec0a0fbde349d319,git rev-parse,VERIFIED,baseline_launch,"Value is not written into draft."
/formal_panel/exact_state_selection_sha256,null,live golden bundle,457aadd2c93192418f0558249423889bb8def9e27198699dbaf39820187b5719,sha256sum,VERIFIED,baseline_launch,"Live server value only; must be frozen in prereg."
/formal_panel/exact_manifest_path,null,Formal CLEAN root,/mnt/sdc/dty_user/openvla_attack/evidence/sc5_object_privileged_loto_v1/vis_heldout_formal_v1/CLEAN/MANIFEST.jsonl,server file audit,VERIFIED,formal_clean_closure,"Manifest exists but condition freeze incomplete."
/formal_panel/exact_manifest_sha256,null,Formal CLEAN manifest,105f25a3b4bf1681eb4959ce63e17dec62296c0abb12db8ade969773ab375bc4,sha256sum,VERIFIED,formal_clean_closure,"No MANIFEST.sha256 file yet."
/threat_model/epsilon,null,condition runner/prereg,UNVERIFIED,code audit,MISSING,baseline_launch,"Bridge default uses EPSILON but current formal prereg has null."
/threat_model/epsilon_space,null,condition runner/prereg,processor_pixel_values_linf,server/log/code inference,VERIFIED,baseline_launch,"Must be explicitly frozen; do not rely on prose."
/threat_model/step_size,null,condition runner/prereg,UNVERIFIED,code audit,MISSING,baseline_launch,"Bridge code uses EPSILON*0.075 but prereg field remains null."
/threat_model/optimization_steps,null,condition runner/prereg,UNVERIFIED,code audit,MISSING,baseline_launch,"PGD_STEPS source must be frozen."
/threat_model/initialization,null,condition runner/prereg,random_start plus temporal_init prev_delta for targeted path,code search,VERIFIED,baseline_launch,"Needs condition-level freeze."
/threat_model/preprocessing_backend,null,runner config,UNVERIFIED,code/server audit,MISSING,baseline_launch,"Backend can drift through env/defaults."
/threat_model/victim_checkpoint_path,null,model freeze bundle,UNVERIFIED,server audit,MISSING,baseline_launch,"Live model path inferred from runner env only."
/threat_model/victim_checkpoint_sha256,null,model freeze bundle,UNVERIFIED,server audit,MISSING,baseline_launch,"Must hash checkpoint reference."
/threat_model/runner_path,null,condition runner,scripts/stageb/run_v2_vis_sc5_mlp_bridge.py,server SHA audit,VERIFIED,baseline_launch,"Live runner SHA differs from GitHub lineage context."
/threat_model/runner_sha256,null,condition runner,cf125d2393f2ca0a5ec1b62610b22b8d5c17733a647b9824edd2aab19995daa6,server sha256sum,VERIFIED,baseline_launch,"Server live SHA; must be bound or reconciled."
/contact_quality/rubric_path,null,CQFR protocol,UNVERIFIED,repo search,MISSING,analysis_freeze,"Legacy CQFR files exist but LOTO rubric not frozen."
/contact_quality/rubric_sha256,null,CQFR protocol,UNVERIFIED,repo search,MISSING,analysis_freeze,"Required before formal CQ claims."
/formal_launch_gates/formal_clean_closed_and_frozen,false,live Formal CLEAN,FORMAL_CLEAN_NOT_CLOSED,server audit,CONFLICT,baseline_launch,"107/162 summaries; freeze bundle absent."
/formal_launch_gates/exact_manifest_frozen,false,Formal CLEAN bundle,MANIFEST present but freeze files missing,server audit,CONFLICT,baseline_launch,"Manifest hash observed but no condition freeze."
/formal_launch_gates/all_objective_semantics_reviewed,false,baseline inventory,HOLD,code/doc audit,CONFLICT,baseline_launch,"UADA/UPA/FreezeVLA/original TMA unresolved."
/formal_launch_gates/all_script_sha256_recorded,false,server provenance,partial,sha256sum,CONFLICT,baseline_launch,"Some live SHAs observed; not all condition scripts/configs frozen."
/formal_launch_gates/all_conditions_emit_common_telemetry_schema,false,condition freeze,UNVERIFIED,not run,MISSING,baseline_launch,"No current LOTO condition bundles."
/formal_launch_gates/metric_implementation_frozen,false,analysis freeze,UNVERIFIED,repo/server audit,MISSING,analysis_freeze,"Metric schema exists; final analysis implementation not frozen."
/formal_launch_gates/contact_quality_rubric_frozen,false,CQFR freeze,UNVERIFIED,repo/server audit,MISSING,analysis_freeze,"Legacy CQFR pilot is not LOTO final rubric."
/formal_launch_gates/retry_and_quarantine_policy_frozen,false,Formal CLEAN/condition bundle,UNVERIFIED,server audit,MISSING,baseline_launch,"Failed jobs observed; retry legality must be frozen."
/formal_launch_gates/storage_capacity_checked,false,server audit,/ 97%; /mnt/sdc 88%; /llm_jzm 100%,df -h,VERIFIED,baseline_launch,"Storage pressure should block expansion until addressed."
/formal_launch_gates/condition_output_roots_empty_or_quarantined,false,condition roots,UNVERIFIED,server audit,MISSING,baseline_launch,"Only CLEAN root inspected."
