stage,commit,attack_seed,condition,candidate_id,candidate_seed,selection_metric,surrogate_target31744_margin,delta_sha256,processor_input_sha256,budget_quantized_correction_count,selected
M3_STEP78_TRUE_PGD_CANARY,af545e1c5eb1012ad5dc8b8872e50596315bd4d5,80,RAND20,0,94127280,surrogate_target31744_margin,5.75,59466036a88fca6f3dca9f10e76fad4675b528d2ee2c598d499afbb81015b576,6401e0b78830e3ce3eb1d8a5d8438b1a164d3bd674aa0fbf815aef3f64bcd02e,122,1
M3_STEP78_TRUE_PGD_CANARY,af545e1c5eb1012ad5dc8b8872e50596315bd4d5,80,RAND20,1,756585661,surrogate_target31744_margin,-0.25,e065d4c1758cfd1afd1a923a1048dd02b115af6ffa91b4444aa1e109c793effc,8207d4a6b228d447f9f142f7e8d643d00f9c60283a29285ff2cd5464579d2caf,115,0
M3_STEP78_TRUE_PGD_CANARY,af545e1c5eb1012ad5dc8b8872e50596315bd4d5,80,RAND20,2,856443815,surrogate_target31744_margin,5.5,deb4bd5cfc46983546613bb21df23d79766dc60cfc85aa15ecbc58d9b6cac505,8c97ae0e9ebf79fd9bb656fd800d65f9832eacd65575fd8e4b771b1a4fd14e2c,104,0
M3_STEP78_TRUE_PGD_CANARY,af545e1c5eb1012ad5dc8b8872e50596315bd4d5,80,RAND20,3,126453972,surrogate_target31744_margin,0.25,e858ad1badd8701600ababb42a13b7c7efb19d01c4f06572e4c153fb14667605,9cd000c258b12076cecade85b336ae383324c2f1905ef415024d05c380777c1d,110,0
M3_STEP78_TRUE_PGD_CANARY,af545e1c5eb1012ad5dc8b8872e50596315bd4d5,80,RAND20,4,1159078410,surrogate_target31744_margin,0.5,dd65314204f0bc29b255a0e4fdde2042e248f0171705628fdf6ac672fc52bdd6,c42966105b24f23680da010bb7a5f775f2363416d75229cfd6857dd01878ad8c,113,0
M3_STEP78_TRUE_PGD_CANARY,af545e1c5eb1012ad5dc8b8872e50596315bd4d5,80,RAND20,5,666188594,surrogate_target31744_margin,-0.25,eb08eade5819c435bca813f5093e82d7614b6f7d45bfa1d7f21662330f0b4f70,4bbcc2ba417a6eb50c1ec197088969ae2610d5055bfe9fae9265a7f9d8d7e23b,115,0
M3_STEP78_TRUE_PGD_CANARY,af545e1c5eb1012ad5dc8b8872e50596315bd4d5,80,RAND20,6,749393924,surrogate_target31744_margin,-0.25,6617abe808f7b8d3d0aae316bfec9e619d96afa39d126288d1979bb052c45be5,4a0d5b164affa1d7209a2499aadbd68c93203a4029fdad5722f0e3a5fde6b071,123,0
M3_STEP78_TRUE_PGD_CANARY,af545e1c5eb1012ad5dc8b8872e50596315bd4d5,80,RAND20,7,1279630807,surrogate_target31744_margin,0.25,dd4a78c1afaf4fc8cc55685566585e2d6d10c3a58ba6de7b7e817006286685ef,1f87b26dbd829c4d3a0499c473c97e6458d03eec3b9dcb854c2001d93653d7de,115,0
M3_STEP78_TRUE_PGD_CANARY,af545e1c5eb1012ad5dc8b8872e50596315bd4d5,80,RAND20,8,1752656248,surrogate_target31744_margin,0.25,089a3dfe5d0cbf4ec367f7dd1b865f9b6689d7317e7c42f94cd1c2900762102d,9e56d51a802924f4ef420aaa470ee142bdfac18b27be05a60eda19b476ada34b,115,0
M3_STEP78_TRUE_PGD_CANARY,af545e1c5eb1012ad5dc8b8872e50596315bd4d5,80,RAND20,9,1642996120,surrogate_target31744_margin,-0.25,576ee86a55454837a3395c2041da6a462200c4e3c2081da61b1c4e5b4983bca3,2936883c4f357ba5f7a97d6e7568b4f01023aa24fd48796d4827ee0dbc4abbd0,125,0
