task_name,scene_id,state_id,seed,run_id,num_steps,has_gripper_command,has_env_gripper,has_qpos,has_width,has_eef_pose,has_eef_velocity,has_action_history,has_done,runtime_feature_complete,privileged_available_for_labeling,missing_runtime_fields,input_leakage_risk
pick_up_the_alphabet_soup_and_place_it_in_the_basket,pick_up_the_alphabet_soup_and_place_it_in_the_basket_s0,0,0,obj100_alphabet_soup_alphabet_soup_s0,149,True,True,True,True,True,True,True,False,True,False,,none
pick_up_the_alphabet_soup_and_place_it_in_the_basket,pick_up_the_alphabet_soup_and_place_it_in_the_basket_s1,1,0,obj100_alphabet_soup_alphabet_soup_s1,280,True,True,True,True,True,True,True,False,True,False,,none
pick_up_the_alphabet_soup_and_place_it_in_the_basket,pick_up_the_alphabet_soup_and_place_it_in_the_basket_s2,2,0,obj100_alphabet_soup_alphabet_soup_s2,135,True,True,True,True,True,True,True,False,True,False,,none
pick_up_the_alphabet_soup_and_place_it_in_the_basket,pick_up_the_alphabet_soup_and_place_it_in_the_basket_s3,3,0,obj100_alphabet_soup_alphabet_soup_s3,155,True,True,True,True,True,True,True,False,True,False,,none
pick_up_the_alphabet_soup_and_place_it_in_the_basket,pick_up_the_alphabet_soup_and_place_it_in_the_basket_s4,4,0,obj100_alphabet_soup_alphabet_soup_s4,142,True,True,True,True,True,True,True,False,True,False,,none
pick_up_the_alphabet_soup_and_place_it_in_the_basket,pick_up_the_alphabet_soup_and_place_it_in_the_basket_s5,5,0,obj100_alphabet_soup_alphabet_soup_s5,280,True,True,True,True,True,True,True,False,True,False,,none
pick_up_the_alphabet_soup_and_place_it_in_the_basket,pick_up_the_alphabet_soup_and_place_it_in_the_basket_s6,6,0,obj100_alphabet_soup_alphabet_soup_s6,146,True,True,True,True,True,True,True,False,True,False,,none
pick_up_the_alphabet_soup_and_place_it_in_the_basket,pick_up_the_alphabet_soup_and_place_it_in_the_basket_s7,7,0,obj100_alphabet_soup_alphabet_soup_s7,169,True,True,True,True,True,True,True,False,True,False,,none
pick_up_the_alphabet_soup_and_place_it_in_the_basket,pick_up_the_alphabet_soup_and_place_it_in_the_basket_s8,8,0,obj100_alphabet_soup_alphabet_soup_s8,142,True,True,True,True,True,True,True,False,True,False,,none
pick_up_the_alphabet_soup_and_place_it_in_the_basket,pick_up_the_alphabet_soup_and_place_it_in_the_basket_s9,9,0,obj100_alphabet_soup_alphabet_soup_s9,163,True,True,True,True,True,True,True,False,True,False,,none
pick_up_the_cream_cheese_and_place_it_in_the_basket,pick_up_the_cream_cheese_and_place_it_in_the_basket_s0,0,0,obj100_cream_cheese_cream_cheese_s0,153,True,True,True,True,True,True,True,False,True,False,,none
