parent_id,frame_step,frame_denominator,raw_frame_status,processor_tensor_status,prompt_instruction_present,clean_generation_status,canonical_tensor_status,frame_package_status
butter_s11,58,PRIMARY,PASS,PASS,FALSE,MISSING_PACKAGE,MISSING_PACKAGE,FAIL
butter_s11,60,PRIMARY,PASS,PASS,FALSE,MISSING_PACKAGE,MISSING_PACKAGE,FAIL
butter_s11,68,DIAGNOSTIC,PASS,PASS,FALSE,MISSING_PACKAGE,MISSING_PACKAGE,FAIL
tomato_sauce_s23,69,DIAGNOSTIC,PASS,PASS,FALSE,MISSING_PACKAGE,MISSING_PACKAGE,FAIL
tomato_sauce_s23,139,PRIMARY,PASS,PASS,FALSE,MISSING_PACKAGE,MISSING_PACKAGE,FAIL
tomato_sauce_s23,141,PRIMARY,PASS,PASS,FALSE,MISSING_PACKAGE,MISSING_PACKAGE,FAIL
salad_dressing_s11,57,PRIMARY,PASS,PASS,FALSE,MISSING_PACKAGE,MISSING_PACKAGE,FAIL
salad_dressing_s11,59,PRIMARY,PASS,PASS,FALSE,MISSING_PACKAGE,MISSING_PACKAGE,FAIL
salad_dressing_s11,67,DIAGNOSTIC,PASS,PASS,FALSE,MISSING_PACKAGE,MISSING_PACKAGE,FAIL
salad_dressing_s11,128,DIAGNOSTIC,PASS,PASS,FALSE,MISSING_PACKAGE,MISSING_PACKAGE,FAIL
