task_key,state_id,parent_window_start,parent_window_end,subwindow_start,subwindow_end,window_start,window_end,compressed_len,position_rule,full_vis_label,source_batch,phase_bin_proxy,qpos_source,mujoco_qpos_mean,mujoco_qpos_min,mujoco_qpos_max,obs_qpos_mean,qpos_source_warning,qpos_phase_class,true_closed_score,natural_open_score,phase_proxy_mismatch,clean_open_ratio,clean_open_streak,clean_done,random_open_ratio,random_done,denominator_status,provenance_status,phase_alignment_source,recommended_for_phaseE,reason
cream_cheese,4,28,45,28,36,28,36,8,parent_start_aligned,1,batch3,near_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
cream_cheese,4,28,45,30,38,30,38,8,parent_start_plus_2,1,batch3,near_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
cream_cheese,4,28,45,32,40,32,40,8,parent_start_plus_4,1,batch3,near_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
cream_cheese,4,28,45,32,40,32,40,8,centered,1,batch3,near_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
cream_cheese,4,28,45,37,45,37,45,8,parent_end_aligned,1,batch3,near_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
cream_cheese,4,28,45,28,38,28,38,10,parent_start_aligned,1,batch3,near_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
cream_cheese,4,28,45,30,40,30,40,10,parent_start_plus_2,1,batch3,near_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
cream_cheese,4,28,45,32,42,32,42,10,parent_start_plus_4,1,batch3,near_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
cream_cheese,4,28,45,31,41,31,41,10,centered,1,batch3,near_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
cream_cheese,4,28,45,35,45,35,45,10,parent_end_aligned,1,batch3,near_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
cream_cheese,4,28,45,28,40,28,40,12,parent_start_aligned,1,batch3,near_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
cream_cheese,4,28,45,30,42,30,42,12,parent_start_plus_2,1,batch3,near_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
cream_cheese,4,28,45,32,44,32,44,12,parent_start_plus_4,1,batch3,near_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
cream_cheese,4,28,45,30,42,30,42,12,centered,1,batch3,near_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
cream_cheese,4,28,45,33,45,33,45,12,parent_end_aligned,1,batch3,near_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
milk,4,19,36,19,27,19,27,8,parent_start_aligned,1,batch3,near_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
milk,4,19,36,21,29,21,29,8,parent_start_plus_2,1,batch3,near_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
milk,4,19,36,23,31,23,31,8,parent_start_plus_4,1,batch3,near_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
milk,4,19,36,23,31,23,31,8,centered,1,batch3,near_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
milk,4,19,36,28,36,28,36,8,parent_end_aligned,1,batch3,near_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
milk,4,19,36,19,29,19,29,10,parent_start_aligned,1,batch3,near_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
milk,4,19,36,21,31,21,31,10,parent_start_plus_2,1,batch3,near_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
milk,4,19,36,23,33,23,33,10,parent_start_plus_4,1,batch3,near_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
milk,4,19,36,22,32,22,32,10,centered,1,batch3,near_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
milk,4,19,36,26,36,26,36,10,parent_end_aligned,1,batch3,near_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
milk,4,19,36,19,31,19,31,12,parent_start_aligned,1,batch3,near_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
milk,4,19,36,21,33,21,33,12,parent_start_plus_2,1,batch3,near_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
milk,4,19,36,23,35,23,35,12,parent_start_plus_4,1,batch3,near_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
milk,4,19,36,21,33,21,33,12,centered,1,batch3,near_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
milk,4,19,36,24,36,24,36,12,parent_end_aligned,1,batch3,near_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
ketchup,1,21,38,21,29,21,29,8,parent_start_aligned,1,batch3,near_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
ketchup,1,21,38,23,31,23,31,8,parent_start_plus_2,1,batch3,near_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
ketchup,1,21,38,25,33,25,33,8,parent_start_plus_4,1,batch3,near_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
ketchup,1,21,38,25,33,25,33,8,centered,1,batch3,near_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
ketchup,1,21,38,30,38,30,38,8,parent_end_aligned,1,batch3,near_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
ketchup,1,21,38,21,31,21,31,10,parent_start_aligned,1,batch3,near_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
ketchup,1,21,38,23,33,23,33,10,parent_start_plus_2,1,batch3,near_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
ketchup,1,21,38,25,35,25,35,10,parent_start_plus_4,1,batch3,near_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
ketchup,1,21,38,24,34,24,34,10,centered,1,batch3,near_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
ketchup,1,21,38,28,38,28,38,10,parent_end_aligned,1,batch3,near_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
ketchup,1,21,38,21,33,21,33,12,parent_start_aligned,1,batch3,near_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
ketchup,1,21,38,23,35,23,35,12,parent_start_plus_2,1,batch3,near_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
ketchup,1,21,38,25,37,25,37,12,parent_start_plus_4,1,batch3,near_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
ketchup,1,21,38,23,35,23,35,12,centered,1,batch3,near_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
ketchup,1,21,38,26,38,26,38,12,parent_end_aligned,1,batch3,near_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
butter,5,25,42,25,33,25,33,8,parent_start_aligned,1,batch3,far_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
butter,5,25,42,27,35,27,35,8,parent_start_plus_2,1,batch3,far_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
butter,5,25,42,29,37,29,37,8,parent_start_plus_4,1,batch3,far_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
butter,5,25,42,29,37,29,37,8,centered,1,batch3,far_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
butter,5,25,42,34,42,34,42,8,parent_end_aligned,1,batch3,far_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
butter,5,25,42,25,35,25,35,10,parent_start_aligned,1,batch3,far_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
butter,5,25,42,27,37,27,37,10,parent_start_plus_2,1,batch3,far_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
butter,5,25,42,29,39,29,39,10,parent_start_plus_4,1,batch3,far_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
butter,5,25,42,28,38,28,38,10,centered,1,batch3,far_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
butter,5,25,42,32,42,32,42,10,parent_end_aligned,1,batch3,far_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
butter,5,25,42,25,37,25,37,12,parent_start_aligned,1,batch3,far_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
butter,5,25,42,27,39,27,39,12,parent_start_plus_2,1,batch3,far_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
butter,5,25,42,29,41,29,41,12,parent_start_plus_4,1,batch3,far_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
butter,5,25,42,27,39,27,39,12,centered,1,batch3,far_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
butter,5,25,42,30,42,30,42,12,parent_end_aligned,1,batch3,far_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
salad_dressing,0,7,24,7,15,7,15,8,parent_start_aligned,0,batch3,far_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
salad_dressing,0,7,24,9,17,9,17,8,parent_start_plus_2,0,batch3,far_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
salad_dressing,0,7,24,11,19,11,19,8,parent_start_plus_4,0,batch3,far_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
salad_dressing,0,7,24,11,19,11,19,8,centered,0,batch3,far_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
salad_dressing,0,7,24,16,24,16,24,8,parent_end_aligned,0,batch3,far_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
salad_dressing,0,7,24,7,17,7,17,10,parent_start_aligned,0,batch3,far_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
salad_dressing,0,7,24,9,19,9,19,10,parent_start_plus_2,0,batch3,far_closed,missing,,,,,MISSING_QPOS_TRACE,missing,0,0,false,,,,,,missing,missing,missing_trace,false,rejected_missing_qpos
