sample_id,source_batch,task_key,state_id,window_start,window_end,trigger_step,batch3_summary_found,localized_trace_found,manifest_path,trigger_rgb_found,past_rgb_found,missing_visual_path,image_trigger_path,image_trigger_minus4_path,image_trigger_minus8_path,missing_visual_reason
batch2b_alphabet_soup_s2_w11_28,batch2b,alphabet_soup,2,11,28,11,false,false,,false,false,true,,,,missing_trigger_rgb|missing_past_rgb
batch3_alphabet_soup_s4_w4_21,batch3,alphabet_soup,4,4,21,4,true,false,,false,false,true,,,,missing_trigger_rgb|missing_past_rgb
batch2b_bbq_sauce_s0_w25_42,batch2b,bbq_sauce,0,25,42,25,false,false,,false,false,true,,,,missing_trigger_rgb|missing_past_rgb
batch2b_bbq_sauce_s4_w14_31,batch2b,bbq_sauce,4,14,31,14,false,false,,false,false,true,,,,missing_trigger_rgb|missing_past_rgb
batch3_bbq_sauce_s5_w27_44,batch3,bbq_sauce,5,27,44,27,true,false,,false,false,true,,,,missing_trigger_rgb|missing_past_rgb
batch3_bbq_sauce_s9_w22_39,batch3,bbq_sauce,9,22,39,22,true,false,,false,false,true,,,,missing_trigger_rgb|missing_past_rgb
batch1_butter_s0_w29_46,batch1,butter,0,29,46,29,false,false,,false,false,true,,,,missing_trigger_rgb|missing_past_rgb
batch2b_butter_s0_w32_49,batch2b,butter,0,32,49,32,false,false,,false,false,true,,,,missing_trigger_rgb|missing_past_rgb
batch2b_butter_s2_w23_40,batch2b,butter,2,23,40,23,false,false,,false,false,true,,,,missing_trigger_rgb|missing_past_rgb
batch3_butter_s5_w25_42,batch3,butter,5,25,42,25,true,false,,false,false,true,,,,missing_trigger_rgb|missing_past_rgb
batch3_cream_cheese_s4_w28_45,batch3,cream_cheese,4,28,45,28,true,false,,false,false,true,,,,missing_trigger_rgb|missing_past_rgb
batch1_ketchup_s0_w16_33,batch1,ketchup,0,16,33,16,false,false,,false,false,true,,,,missing_trigger_rgb|missing_past_rgb
batch2b_ketchup_s1_w28_45,batch2b,ketchup,1,28,45,28,false,false,,false,false,true,,,,missing_trigger_rgb|missing_past_rgb
batch3_ketchup_s1_w21_38,batch3,ketchup,1,21,38,21,true,false,,false,false,true,,,,missing_trigger_rgb|missing_past_rgb
batch3_ketchup_s5_w9_26,batch3,ketchup,5,9,26,9,true,false,,false,false,true,,,,missing_trigger_rgb|missing_past_rgb
batch3_milk_s1_w8_25,batch3,milk,1,8,25,8,true,false,,false,false,true,,,,missing_trigger_rgb|missing_past_rgb
batch3_milk_s4_w19_36,batch3,milk,4,19,36,19,true,false,,false,false,true,,,,missing_trigger_rgb|missing_past_rgb
batch3_milk_s5_w25_42,batch3,milk,5,25,42,25,true,false,,false,false,true,,,,missing_trigger_rgb|missing_past_rgb
batch3_salad_dressing_s0_w7_24,batch3,salad_dressing,0,7,24,7,true,false,,false,false,true,,,,missing_trigger_rgb|missing_past_rgb
