task,state_id,split,teacher_anchor,teacher_ws,teacher_we,d5_emit,d5_score,emit_class,trace_dir,n_candidates
alphabet_soup,14,train,48,46,56,48,0.08716888725757599,exact,orig/alphabet_soup_s14_shadow_attempt1,4
alphabet_soup,20,train,54,52,62,54,0.2731132507324219,exact,orig/alphabet_soup_s20_shadow_attempt1,1
alphabet_soup,22,train,70,68,78,70,0.13020305335521698,exact,orig/alphabet_soup_s22_shadow_attempt1,4
alphabet_soup,2,train,55,53,63,55,0.3036101162433624,exact,orig/alphabet_soup_s2_shadow_attempt1,1
alphabet_soup,18,train,61,59,69,61,0.2838362455368042,exact,orig/alphabet_soup_s18_shadow_attempt1,7
alphabet_soup,40,train,51,49,59,51,0.17740172147750854,exact,orig/alphabet_soup_s40_shadow_attempt1,7
alphabet_soup,44,train,85,83,93,85,0.2889043986797333,exact,orig/alphabet_soup_s44_shadow_attempt1,7
cream_cheese,47,train,43,41,51,43,0.24600575864315033,exact,gpu13/cream_cheese_s47_shadow_attempt1,3
cream_cheese,4,train,106,104,114,52,0.2768828570842743,early,gpu26/cream_cheese_s4_shadow_attempt1,7
cream_cheese,20,train,61,59,69,53,0.25366708636283875,early,gpu13/cream_cheese_s20_shadow_attempt1,5
cream_cheese,2,train,63,61,71,59,0.2179124802350998,early,gpu26/cream_cheese_s2_shadow_attempt1,4
cream_cheese,1,val,128,126,136,56,0.172005295753479,early,gpu26/cream_cheese_s1_shadow_attempt1,8
cream_cheese,29,val,59,57,67,59,0.2335864156484604,exact,gpu26/cream_cheese_s29_shadow_attempt1,20
salad_dressing,32,train,81,79,89,62,0.25230342149734497,early,gpu13/salad_dressing_s32_shadow_attempt1,2
salad_dressing,3,train,58,56,66,58,0.16891708970069885,exact,gpu50/salad_dressing_s3_shadow_attempt1,1
salad_dressing,48,train,68,66,76,68,0.21779696643352509,exact,gpu26/salad_dressing_s48_shadow_attempt1,3
salad_dressing,16,train,48,46,56,48,0.16824162006378174,exact,gpu13/salad_dressing_s16_shadow_attempt1,1
salad_dressing,11,train,59,57,67,125,0.17702510952949524,late,gpu50/salad_dressing_s11_shadow_attempt1,4
salad_dressing,14,train,63,61,71,63,0.15115925669670105,exact,gpu26/salad_dressing_s14_shadow_attempt1,1
salad_dressing,26,val,44,42,52,44,0.20143122971057892,exact,gpu26/salad_dressing_s26_shadow_attempt1,2
salad_dressing,24,val,161,159,169,81,0.188009575009346,early,gpu26/salad_dressing_s24_shadow_attempt1,11
bbq_sauce,29,train,62,60,70,62,0.23191356658935547,exact,gpu50/bbq_sauce_s29_shadow_attempt1,4
bbq_sauce,27,train,61,59,69,61,0.15719261765480042,exact,gpu26/bbq_sauce_s27_shadow_attempt1,2
bbq_sauce,30,train,109,107,117,42,0.16774898767471313,early,gpu26/bbq_sauce_s30_shadow_attempt1,9
bbq_sauce,5,val,74,72,82,74,0.054482996463775635,exact,gpu26/bbq_sauce_s5_shadow_attempt1,1
bbq_sauce,40,val,53,51,61,53,0.20925091207027435,exact,gpu26/bbq_sauce_s40_shadow_attempt1,3
